;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1411;93;181;61;52;334;8,36;16,32;15,03;19,82;16,55;0;24,82;00:15:12;1,16;1,4;4,33;3,6;23,33;12,44;4,44;3,44;16,11;16,67;0,33;16,67;119,53;36,39;0;
BELLODI ;1297;85;96;47;30;279;7,46;13,04;0;15,94;10,13;0;5,59;00:15:12;0,78;1,23;3,61;2,3;21,48;7,42;3;0;16;7;0;7;95,67;32,75;0;
COTALI;1427;94;178;65;50;330;8,41;15,78;8,89;22,91;14,72;0;19,33;00:15:12;1,03;1,61;4,57;3,47;23,14;12,51;3;5;20;16;0;16;148,39;36,32;0;
IOTTI;1316;87;93;60;54;275;7,83;16,99;0;22,31;19,66;0;15,03;00:15:12;1,49;1,7;4,53;4,08;20,89;7,1;4;0;14;19;0;19;89,98;33,47;0;
MURONI;1463;96;177;66;59;353;8,82;18,52;1,35;23,67;22,17;0;25,67;00:15:12;1,52;1,62;4,53;4,04;24,1;12,08;7;5;18;26;0;26;124,1;38,02;0;
PENNINGTON;1595;105;242;67;62;430;9,54;17,54;40,6;20,14;20,72;0;36,3;00:15:12;1,3;1,26;4,21;3,9;26,92;15,18;6;2;17;19;2;19;123,11;40,34;0;
PINNA S.;1110;73;86;39;28;186;6,4;13,41;1,34;10,72;8,8;0;6,55;00:15:12;0,79;0,97;3,55;2,56;16,8;7,71;1;1;8;6;0;6;56,89;27,91;0;
RAGATZU;1520;100;290;76;65;411;9,16;18,35;17,07;25,21;14,65;0;40,06;00:15:12;0,96;1,66;5,02;4,26;27,01;19,11;6;9;18;24;0;24;182,53;42,41;0;
SENESI;1588;104;293;72;66;427;9,48;17,27;54,37;19,14;24,13;0;47,63;00:15:12;1,52;1,21;4,5;4,18;26,9;18,43;5;5;17;19;1;19;150,36;39,96;0;
VALLOCCHIA;1379;91;172;61;50;314;8,14;15,98;11,6;18,33;13,98;0;27,23;00:15:12;1,01;1,33;4,4;3,6;22,73;12,47;5;4;17;14;0;14;104,77;36,35;0;
