;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1526;101;264;90;81;428;9,53;22,04;26,57;34,08;27,71;0;44,54;00:15:07;1,82;2,24;5,89;5,3;27,98;17,21;8,1;8,9;26,3;28,4;0,8;28,4;171,06;43,71;0;
BELLODI ;1498;99;200;68;65;396;9,04;17,95;13,16;26,05;18,77;0;19,76;00:15:07;1,25;1,74;4,54;4,34;26,46;13,35;6;5;25;22;0;22;127,13;40,35;0;
BIANCU;1681;111;331;100;103;525;10,65;23,74;31,96;38,79;35,55;0;59,66;00:15:07;2,11;2,31;5,93;6,13;31,22;19,69;10;11;27;34;1;34;229,27;47,72;0;
CALAMAI;1651;109;348;100;93;517;10,42;23,33;20,07;37,25;30,71;0;37;00:15:07;1,86;2,26;6,03;5,65;31,3;21,07;10;9;29;32;0;32;262,76;47,48;0;
CETER;1352;89;290;110;93;386;8,97;29,64;70,59;49,29;37,37;0;83,25;00:15:07;2,76;3,64;8,11;6,89;28,53;21,44;9;15;37;37;2;37;170,44;47,73;0;
COTALI;1535;101;269;69;59;373;9,21;17,27;6,82;23,21;14,67;0;29,29;00:15:07;0,96;1,51;4,51;3,84;24,33;17,55;5;4;19;19;0;19;176,42;37,57;0;
IOTTI;1376;91;157;74;65;345;8,43;19,7;0;26,26;21,42;0;23,97;00:15:07;1,56;1,91;5,41;4,71;25,08;11,38;6;4;15;21;0;21;110,6;39,03;0;
MURONI;1600;106;243;92;72;423;9,91;20,99;23,66;40,26;27,03;0;38,35;00:15:07;1,69;2,52;5,72;4,53;26,45;15,16;8;12;27;31;1;31;140,52;42,77;0;
PINNA S.;1496;99;218;95;89;386;9,39;22,59;23,9;33,84;28,08;0;43,15;00:15:07;1,88;2,26;6,32;5,95;25,82;14,54;7;9;31;30;1;30;132,17;41,45;0;
RAGATZU;1532;101;278;85;84;459;9,57;22,11;29,65;29,57;31,22;0;45,53;00:15:07;2,04;1,93;5,55;5,51;29,96;18,15;11;10;22;30;1;30;182,93;45,6;0;
VALLOCCHIA;1537;102;304;104;83;471;9,68;23,09;45,86;36,29;32,3;0;65,4;00:15:07;2,1;2,36;6,79;5,42;30,67;19,8;9;10;31;28;2;28;178,36;47,36;0;
