;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1418;94;207;75;70;360;8,75;20,34;31,76;25,4;23,34;0;35,3;00:15:06;1,64;1,79;5,3;4,93;25,21;14,38;7,6;5,6;22;26,4;0,9;26,4;126,25;39,44;0;
BELLODI ;1474;98;189;76;69;373;9,13;20,92;31,91;25,68;26,72;0;34,54;00:15:06;1,81;1,74;5,12;4,68;25,27;12,84;10;5;16;30;2;30;131,66;40,05;0;
BIANCU;1511;100;310;81;81;478;9,39;21,2;80,95;23,1;26,1;0;52,24;00:15:06;1,73;1,53;5,35;5,33;31,63;20,5;10;3;14;29;2;29;155,29;45,77;0;
CETER;1226;81;148;71;60;263;7,57;20,54;0;28,04;20,34;0;27,72;00:15:06;1,66;2,29;5,76;4,93;21,48;12,03;4;9;25;21;0;21;91,46;35,78;0;
COTALI;1309;87;136;49;51;283;7,88;17,5;24,91;18,14;13,82;0;18,9;00:15:06;1,06;1,39;3,75;3,87;21,65;10,38;6;4;16;18;1;18;85,32;34,11;0;
IOTTI;1353;90;161;70;71;325;8,35;20,43;26,97;18,72;26,56;0;27,3;00:15:06;1,96;1,38;5,16;5,28;24,04;11,88;8;3;17;30;1;30;77,97;36,97;0;
MURONI;1544;102;174;86;74;398;9,48;19,83;3,37;29,66;19,47;0;18,78;00:15:06;1,26;1,92;5,54;4,81;25,78;11,3;6;7;28;30;0;30;131,69;41,03;0;
OGUNSEYE;1398;93;167;48;37;270;8,12;13,34;23,38;13,83;10,28;0;21,79;00:15:06;0,74;0,99;3,44;2,67;19,3;11,95;3;3;17;15;1;15;125,38;30,09;0;
PINNA S.;1359;90;160;82;70;322;8,43;21,12;13,87;28,3;23,32;0;30,99;00:15:06;1,72;2,08;6,06;5,15;23,72;11,8;5;5;31;23;0;23;114,2;38,99;0;
RAGATZU;1606;106;350;91;91;461;10,04;21,99;21,37;29,92;27,5;0;53,45;00:15:06;1,71;1,86;5,69;5,68;28,67;21,81;11;6;25;32;0;32;213,16;43,86;0;
VALLOCCHIA;1404;93;271;100;97;429;9,1;26,55;90,83;38,58;39,32;0;67,28;00:15:06;2,8;2,75;7,13;6,89;30,57;19,28;13;11;31;36;2;36;136,41;47,77;0;
