;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1544;102;216;85;79;393;9,63;21,9;21,44;31,44;26,32;0;36,84;00:15:07;1,71;2,06;5,54;5,1;25,16;13,75;8,5;8,9;23,9;26,5;0,5;26,5;136,03;40,17;0;
BELLODI ;1394;92;146;65;55;306;8,42;18,12;10,11;22,47;16,26;0;10,84;00:15:07;1,17;1,61;4,66;3,95;21,99;10,45;6;5;27;24;0;24;78,17;34,59;0;
BIANCU;1600;106;258;74;76;432;9,8;19,8;26,05;27,11;23,34;0;32,5;00:15:07;1,46;1,69;4,6;4,74;27,03;16,13;8;6;12;23;1;23;163,21;40,24;0;
CETER;1406;93;202;111;86;354;9,14;26,99;38,93;49,15;33,39;0;62,22;00:15:07;2,37;3,49;7,87;6,14;25,2;14,35;9;17;35;25;1;25;122,96;42,5;0;
COTALI;1533;101;176;84;66;342;9,4;19,93;6,2;29,67;19,69;0;29,49;00:15:07;1,28;1,94;5,48;4,32;22,34;11,48;4;9;24;24;0;24;111,19;37,22;0;
IOTTI;1361;90;142;79;64;267;8,43;21,03;41,31;24,83;22,22;0;38,59;00:15:07;1,63;1,82;5,79;4,71;19,65;10,45;7;3;15;19;1;19;67,73;33,9;0;
MURONI;1502;99;134;88;74;355;9,42;22,52;3,37;38,65;24,97;0;24,77;00:15:07;1,66;2,57;5,88;4,93;23,6;8,9;9;14;30;32;0;32;101,03;39,46;0;
OGUNSEYE;1455;96;173;88;92;362;9,28;24,71;9,81;32,92;29,66;0;35,52;00:15:07;2,04;2,26;6,08;6,31;24,89;11,9;11;12;25;26;0;26;118,46;40,87;0;
PENNINGTON;1837;121;297;83;97;542;11,47;22,04;26,83;30,84;34,15;0;37,1;00:15:07;1,86;1,68;4,52;5,26;29,53;16,15;14;7;22;35;1;35;194,63;44,88;0;
PINNA S.;1524;101;275;81;81;413;9,52;22,1;46,26;25,85;30,66;0;56,56;00:15:07;2,01;1,7;5,31;5,3;27,09;18,04;11;8;23;24;1;24;138,65;42,09;0;
RAGATZU;1827;121;359;95;98;552;11,38;21,76;5,5;32,88;28,81;0;40,87;00:15:07;1,58;1,8;5,22;5,38;30,23;19,67;6;8;26;33;0;33;264,28;45,99;0;
