;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1612;90;235;78;65;391;8,17;17,69;35,46;27,23;20,72;0;38,79;00:17:59;1,27;1,69;4,79;4,02;23,75;14,2;6,67;6;20,78;23,22;0,89;23,22;144,78;37,38;0;
BELLODI ;1805;100;179;73;56;409;9,01;15,98;1,35;29,45;17,13;0;21,3;00:17:59;0,95;1,63;4,06;3,12;22,64;9,91;4;3;12;18;0;18;153,13;35,76;0;
CETER;1458;81;172;72;55;287;7,35;17,25;40,45;20,72;17,61;0;31,38;00:17:59;1,21;1,42;4,92;3,75;19,66;11,79;6;7;27;19;1;19;99,74;32,56;0;
COTALI;1739;97;333;78;72;482;8,83;17,99;61,79;20,21;22,03;0;55,63;00:17:59;1,27;1,16;4,47;4,12;27,73;19,15;9;3;13;23;2;23;187,59;41,37;0;
IOTTI;1695;94;170;83;74;377;8,58;17,65;0;27,85;23,25;0;28,49;00:17:59;1,37;1,64;4,9;4,36;22,26;10,02;6;5;18;24;0;24;154,95;35,94;0;
MURONI;1859;103;324;105;81;524;9,57;19,64;84,79;36,19;31,44;0;57,56;00:17:59;1,69;1,95;5,66;4,35;28,19;17,43;9;8;32;36;2;36;186,17;42,79;0;
OGUNSEYE;1243;69;147;55;39;200;6,15;14,99;0;20,5;9,79;0;22,59;00:17:59;0,79;1,65;4,45;3,12;16,12;11,8;4;5;18;11;0;11;91,6;28,16;0;
PINNA S.;1693;94;261;84;73;428;8,58;17,78;58,01;23,95;24,82;0;44,75;00:17:59;1,47;1,41;4,98;4,29;25,31;15,44;6;4;20;26;1;26;119,76;38,83;0;
RAGATZU;1220;68;106;56;56;255;6,19;17,9;0;23,45;17,76;0;18,85;00:17:59;1,46;1,92;4,58;4,57;20,87;8,68;6;4;18;26;0;26;86,26;34,65;0;
VALLOCCHIA;1794;100;423;92;81;555;9,26;20,04;72,74;42,79;22,69;0;68,51;00:17:59;1,27;2,39;5,13;4,53;30,95;23,58;10;15;29;26;2;26;223,84;46,37;0;
