;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1479;98;282;80;66;419;9,05;19,72;28,42;27,99;20,25;0;40,57;00:15:09;1,37;1,9;5,43;4,42;28,04;18,76;5,5;7;24,4;19,6;0,7;19,6;179,32;43,23;0;
BELLODI ;1429;94;192;65;57;332;8,56;17,25;5,39;20,13;15,04;0;22,93;00:15:09;1,05;1,41;4,58;3,98;23,25;13,42;6;5;18;21;0;21;101,73;36,8;0;
CETER;1331;88;254;97;69;363;8,3;22,16;44,16;32,24;19,42;0;61,9;00:15:09;1,46;2,42;7,31;5,21;27,25;19,11;5;7;25;21;2;21;148,74;43,32;0;
COTALI;1407;93;266;59;50;380;8,44;17,47;26,8;22,05;15,76;0;29,45;00:15:09;1,12;1,57;4,2;3,56;26,99;18,89;6;6;21;21;1;21;164,37;40,56;0;
IOTTI;1324;87;105;64;49;265;7,95;17,57;50,82;21,27;15,29;0;25,25;00:15:09;1,15;1,61;4,83;3,68;20;7,94;4;2;17;17;1;17;43,28;32,92;0;
MURONI;1525;101;192;79;65;395;9,25;18,69;0,67;25,06;22,4;0;16,75;00:15:09;1,47;1,64;5,16;4,26;25,91;12,6;4;5;28;23;0;23;168,48;40,67;0;
OGUNSEYE;1444;95;335;99;65;443;9,01;22,11;69,17;36,29;24,73;0;64,31;00:15:09;1,71;2,51;6,87;4,48;30,69;23,23;7;6;26;16;2;16;177,76;47,46;0;
PENNINGTON;1508;100;307;77;75;457;9,31;20,82;13,73;32,64;18,04;0;36,96;00:15:09;1,2;2,16;5,08;4,98;30,3;20,36;3;12;32;20;0;20;225,09;46,96;0;
PERALTA;1795;118;490;98;84;634;10,96;19,59;28,15;30,15;21,23;0;64,26;00:15:09;1,18;1,68;5,45;4,68;35,35;27,3;2;9;27;14;1;14;357,03;52,06;0;
PINNA S.;1443;95;278;77;70;412;8,87;20,27;21,92;26,32;22,64;0;35,13;00:15:09;1,57;1,82;5,34;4,82;28,53;19,27;9;5;20;22;0;22;168,38;43,69;0;
VALLOCCHIA;1587;105;405;86;72;510;9,83;21,26;23,39;33,8;27,97;0;48,76;00:15:09;1,76;2,13;5,43;4,55;32,11;25,48;9;13;30;21;0;21;238,37;47,92;0;
