;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1356;90;178;71;59;310;8,3;18,71;31,35;24,16;18,42;0;30,76;00:15:01;1,36;1,79;5,27;4,33;22,76;13;5,11;4,67;18,11;18,78;0,89;18,78;107,45;36,25;0;
BELLODI ;1218;81;84;71;52;241;7,45;18,58;22,45;22,49;15,32;0;19,34;00:15:01;1,26;1,85;5,8;4,26;19,81;6,93;2;5;13;10;1;10;44,58;33,16;0;
BIANCU;1409;94;237;68;69;349;8,75;20,48;25,92;24,6;20,57;0;42,43;00:15:01;1,46;1,75;4,8;4,93;24,75;16,83;7;5;18;23;1;23;150,8;39,47;0;
IOTTI;1185;79;109;67;53;214;7,17;17,4;32,08;22,2;15,14;0;22,29;00:15:01;1,28;1,87;5,64;4,48;18,08;9,19;1;3;13;13;1;13;58,89;30,15;0;
MURONI;1548;103;174;73;56;352;9,33;16,91;0;23,39;17,3;0;15,99;00:15:01;1,12;1,51;4,71;3,62;22,7;11,26;4;6;22;21;0;21;165,85;36,34;0;
OGUNSEYE;1293;86;178;64;63;306;8,01;20,13;6,18;23,87;19,49;0;23,17;00:15:01;1,51;1,85;4,98;4,9;23,65;13,77;10;3;19;29;0;29;136,02;37,59;0;
PINNA S.;1396;93;281;79;59;391;8,65;20,21;103,43;24,68;23,3;0;53,75;00:15:01;1,67;1,77;5,67;4,25;27,99;20,12;6;1;20;15;3;15;111,6;42,05;0;
PITZALIS;1245;83;170;67;51;271;7,59;18,26;58,16;22,66;13,27;0;35,36;00:15:01;1,07;1,82;5,39;4,1;21,78;13,68;4;3;16;12;1;12;63,35;33,81;0;
RAGATZU;1459;97;149;76;57;324;8,86;17,77;0;28,79;18,46;0;28,13;00:15:01;1,27;1,97;5,24;3,89;22,23;10,18;5;9;24;21;0;21;106,49;36,78;0;
VALLOCCHIA;1452;97;219;76;66;346;8,88;18,69;33,91;24,74;22,96;0;36,36;00:15:01;1,58;1,7;5,22;4,55;23,82;15,07;7;7;18;25;1;25;129,43;36,93;0;
