;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1628;108;304;88;75;488;10,1;20,34;28,46;31,52;25,72;0;42,3;00:15:01;1,56;1,93;5,41;4,56;29,64;18,31;8,5;7,9;28,3;27,5;0,8;27,5;197,36;45,01;0;
BELLODI ;1434;95;171;74;62;388;8,83;19,59;21,61;25,5;19,35;0;28,17;00:15:01;1,35;1,78;5,18;4,3;27,08;11,95;5;4;29;21;1;21;110,57;42,14;0;
BIANCU;1740;116;456;105;100;617;11,01;22,83;46,36;40,75;36,08;0;62,96;00:15:01;2,07;2,34;6,03;5,77;35,47;26,22;13;9;30;41;1;41;274,11;52,2;0;
CETER;1709;114;485;113;92;583;10,93;24,09;121,46;37,96;35,66;0;98,21;00:15:01;2,09;2,22;6,63;5,36;34,08;28,37;14;8;33;25;5;25;221,59;50,24;0;
GEMMI;1804;120;392;97;94;622;11,34;22,06;0,67;37,41;38,21;0;43,13;00:15:01;2,12;2,07;5,36;5,19;34,46;21,73;14;8;30;37;0;37;312,67;50,03;0;
IOTTI;1475;98;122;74;60;354;9,04;19,04;0;19,36;20,73;0;6,99;00:15:01;1,41;1,31;5,04;4,08;24,04;8,29;6;2;16;23;0;23;120,51;38,96;0;
OGUNSEYE;1616;108;385;96;70;475;10,05;20,76;48,91;34,87;19,61;0;62,83;00:15:01;1,21;2,16;5,94;4,31;29,42;23,83;4;7;29;20;0;20;203,51;44,8;0;
PERALTA;1934;129;331;90;84;619;11,84;18,84;0;30,75;26,08;0;28,95;00:15:01;1,35;1,59;4,64;4,36;32,02;17,14;8;9;30;37;0;37;288,46;47,94;0;
PINNA S.;1454;97;291;85;61;416;8,96;19,66;21,34;34,15;18,37;0;42,88;00:15:01;1,26;2,35;5,86;4,16;28,59;19,99;6;12;32;26;0;26;182,64;44,05;0;
PISANO;1508;100;92;64;55;303;9,12;17,41;0;22,39;15,69;0;16,09;00:15:01;1,04;1,48;4,24;3,63;20,08;6,1;7;11;25;18;0;18;81,19;33,48;0;
VALLOCCHIA;1604;107;313;83;71;500;9,84;19,1;24,22;32,09;27,44;0;32,78;00:15:01;1,71;2;5,2;4,41;31,18;19,49;8;9;29;27;1;27;178,31;46,23;0;
