;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1688;87;269;81;78;457;8;18,63;16,84;29,12;25,97;0;32,64;00:19:25;1,56;1,71;4,74;4,67;26,6;15,79;8;7,44;22,67;24,56;0,33;24,56;166,32;40,46;0;
BELLODI ;1516;78;98;68;67;304;7,13;18,07;0;27,88;18,13;0;14,66;00:19:25;1,2;1,84;4,5;4,43;20,02;6,49;5;4;23;20;0;20;86,8;33,16;0;
GEMMI;1937;100;334;93;90;595;9,18;19,03;11,68;36,54;30,02;0;28,12;00:19:25;1,55;1,89;4,79;4,66;30,73;17,24;8;7;30;34;0;34;257,41;44,95;0;
IOTTI;1456;75;62;68;61;291;6,83;17,69;0;22,04;19,33;0;10,29;00:19:25;1,33;1,51;4,69;4,17;19,98;4,29;3;2;11;18;0;18;50,18;32,85;0;
PENNINGTON;1999;103;361;99;92;573;9,5;19,23;0;29,78;25,94;0;46,33;00:19:25;1,3;1,49;4,93;4,58;28,68;18,07;8;8;25;24;0;24;245,82;43,72;0;
PERALTA;2189;113;580;113;101;768;10,52;20,6;60,78;38,8;38,28;0;59,19;00:19:25;1,75;1,77;5,18;4,62;35,09;26,51;14;11;34;31;1;31;304;50,04;0;
PINNA S.;1635;84;203;78;72;360;7,73;18,6;9,7;31,05;20,14;0;33,92;00:19:25;1,23;1,9;4,75;4,41;22;12,41;6;6;17;24;0;24;130,88;35,45;0;
PISANO;1725;89;204;79;73;385;8,14;18,4;22,27;24,6;29,25;0;39,94;00:19:25;1,7;1,43;4,57;4,25;22,34;11,84;11;7;21;25;1;25;117,12;35,17;0;
SENESI;821;42;218;35;49;239;3,78;15,59;34,85;12,13;18,25;0;21,21;00:19:25;2,22;1,48;4,21;5,97;29,15;26,6;5;6;9;10;1;10;96,39;42,42;0;
VALLOCCHIA;1910;98;356;96;95;600;9,16;20,46;12,29;39,23;34,4;0;40,05;00:19:25;1,8;2,05;5,04;4,99;31,43;18,64;12;16;34;35;0;35;208,28;46,39;0;
