;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1496;100;269;87;73;409;9,31;20,6;35,69;33,03;22,9;0;45,52;00:15:00;1,52;2,2;5,8;4,89;27,23;17,82;5,6;8,4;24,7;26,5;0,9;26,5;152,61;42,53;0;
BELLODI ;1490;99;163;78;61;349;9,08;18,22;4,83;30,97;14,92;0;33,28;00:15:00;1;2,08;5,25;4,13;23,41;10,95;4;5;21;19;0;19;103;37,89;0;
CALIGARA;1550;103;289;97;77;423;9,82;22,98;18,84;38,54;28,25;0;48,86;00:15:00;1,82;2,49;6,27;5;27,29;18,66;11;12;27;30;1;30;195,64;43,44;0;
CETER;1311;87;263;89;75;366;8,3;22,74;54,11;36,93;24,58;0;59,53;00:15:00;1,87;2,82;6,83;5,72;27,91;20,04;5;11;24;23;1;23;139,92;44,11;0;
COTALI;1519;101;281;82;75;441;9,46;20,78;39,16;31,3;22,47;0;39,48;00:15:00;1,48;2,06;5,37;4,95;29;18,49;4;8;22;26;1;26;150,19;44,65;0;
GEMMI;1586;106;320;100;87;493;10,02;22,54;8,5;40,25;29,36;0;45,53;00:15:00;1,85;2,54;6,33;5,5;31,11;20,17;6;13;35;35;0;35;215,23;48,09;0;
PERALTA;1576;105;208;86;68;382;9,68;19,12;0,67;27,3;21,27;0;30,77;00:15:00;1,35;1,73;5,44;4,32;24,25;13,22;7;5;20;30;0;30;150,11;39,18;0;
PISANO;1334;89;63;45;36;236;7,81;13,6;0;16,34;7,82;0;9,84;00:15:00;0,59;1,23;3,39;2,71;17,72;4,69;1;4;11;15;0;15;40,46;28,99;0;
RAGATZU;1556;104;276;92;80;426;9,69;20,83;37,14;33,46;29;0;46,89;00:15:00;1,86;2,15;5,9;5,17;27,37;17,76;7;7;31;27;1;27;140,39;42,35;0;
SENESI;1501;100;414;97;82;507;9,43;21,87;54,92;37,7;25,84;0;63,24;00:15:00;1,72;2,51;6,43;5,47;33,77;27,57;5;9;25;27;1;27;258,41;49,68;0;
VALLOCCHIA;1535;102;409;104;92;468;9,76;23,3;138,77;37,46;25,5;0;77,77;00:15:00;1,66;2,44;6,81;5,97;30,49;26,63;6;10;31;33;4;33;132,76;46,96;0;
