;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1777;118;337;92;90;560;11,08;20,84;25,22;31,11;29,48;0;40,95;00:15:00;1,64;1,75;5,14;5,04;31,29;18,65;9,2;7,7;27,2;32,5;0,7;32,5;229,42;46,88;0;
BIANCU;1861;124;340;77;93;584;11,5;19,76;10,46;28,29;27,09;0;30,82;00:15:00;1,46;1,52;4,15;5,02;31,36;18,26;9;7;30;39;0;39;232,96;46,94;0;
CALIGARA;1875;125;411;107;99;627;11,82;22,14;45,93;28,77;31,4;0;51,08;00:15:00;1,67;1,53;5,72;5,3;33,45;21,89;9;8;26;28;1;28;234,16;49,27;0;
GEMMI;2019;135;505;93;89;716;12,46;19,65;12,67;31,97;37,17;0;35,75;00:15:00;1,84;1,58;4,61;4,43;35,44;25;11;8;32;36;0;36;426,13;50,17;0;
IOTTI;1786;119;259;103;88;521;11,19;21,43;33,04;33,8;27,14;0;43,14;00:15:00;1,52;1,89;5,75;4,95;29,16;14,52;9;6;26;35;2;35;159,68;45,42;0;
OGUNSEYE;1814;121;392;104;107;614;11,66;24,53;26,04;36,18;43,82;0;52,02;00:15:00;2,41;1,99;5,73;5,91;33,84;21,58;14;9;22;39;1;39;247,59;49,86;0;
PINNA S.;1540;103;172;66;64;380;9,29;16,89;0;21,98;14,38;0;15,16;00:15:00;0,93;1,43;4,28;4,15;24,65;11,2;2;4;26;29;0;29;154,96;39,23;0;
PISANO;1574;105;110;59;56;377;9,46;16,52;0;21,2;18,29;0;14,52;00:15:00;1,16;1,35;3,74;3,58;23,97;6,96;5;6;24;17;0;17;100,3;37,49;0;
PITZALIS;1834;122;369;93;89;585;11,42;20,75;37,87;34,35;25,89;0;59,38;00:15:00;1,41;1,87;5,1;4,85;31,88;20,14;6;12;25;29;1;29;237,91;48,14;0;
RAGATZU;1681;112;409;114;112;574;10,82;24,76;43;42,34;36,3;0;60,45;00:15:00;2,16;2,52;6,77;6,67;34,16;24,34;14;8;29;36;1;36;228,13;51,07;0;
VALLOCCHIA;1781;119;402;99;99;623;11,21;21,98;43,23;32,19;33,27;0;47,16;00:15:00;1,87;1,81;5,54;5,55;34,97;22,57;13;9;32;37;1;37;272,35;51,23;0;
