;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1746;99;346;95;93;537;9,35;21,69;42,47;32,73;35,05;0;53,82;00:17:36;1,99;1,87;5,44;5,32;30,47;19,5;12,7;9;27,5;31,2;1;31,2;199,56;45,5;0;
BIANCU;1795;102;430;90;100;623;9,62;21,94;19,26;29,7;34;0;49,07;00:17:36;1,89;1,65;5;5,58;34,73;23,97;16;10;32;35;0;35;218,37;49,7;0;
CALIGARA;1719;98;236;103;96;479;9,25;22,41;5,49;29,83;36,49;0;27,45;00:17:36;2,12;1,74;6,02;5,6;27,89;13,73;9;10;27;29;0;29;170,6;43,57;0;
GEMMI;2028;115;457;97;92;724;10,66;19,53;47,71;36,47;42,87;0;55,77;00:17:36;2,11;1,8;4,8;4,54;35,68;22,55;15;8;27;32;1;32;324,14;49,79;0;
IOTTI;1615;92;202;89;85;424;8,56;20,49;33,3;31,09;24,19;0;46,68;00:17:36;1,5;1,92;5,52;5,25;26,24;12,48;6;7;20;32;1;32;129,4;41,17;0;
OGUNSEYE;1800;102;410;104;96;598;9,73;22,99;48,21;35,77;35,16;0;65,61;00:17:36;1,95;1,99;5,79;5,33;33,24;22,78;15;9;29;35;0;35;229,98;48,67;0;
PINNA S.;1639;93;298;85;90;455;8,7;20,79;26,39;29,94;28,72;0;46,79;00:17:36;1,75;1,83;5,16;5,49;27,76;18,17;9;8;26;30;1;30;197,79;42,67;0;
PISANO;1615;92;214;72;69;382;8,41;18,5;33,33;27,03;23,36;0;43,51;00:17:36;1,45;1,67;4,46;4,27;23,66;13,24;12;7;20;25;1;25;114,79;37,6;0;
PITZALIS;1541;88;289;85;90;452;8,32;22,8;16,05;30,52;34,98;0;38,07;00:17:36;2,27;1,98;5,51;5,82;29,36;18,79;13;9;24;35;0;35;162,27;44,54;0;
RAGATZU;1776;101;343;99;91;497;9,51;21,74;3,35;34,43;34,09;0;44,08;00:17:36;1,92;1,94;5,6;5,1;27,96;19,3;12;8;36;26;0;26;216,34;43,11;0;
VALLOCCHIA;1935;110;580;127;120;738;10,69;25,72;191,59;42,53;56,61;0;121,18;00:17:36;2,93;2,2;6,56;6,19;38,16;29,97;20;14;34;33;6;33;231,9;54,22;0;
