;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;5325;110;1005;282;275;1648;10,29;21,3;89,24;96,89;96,84;0;136,94;00:48:36;1,81;1,82;5,29;5,16;30,72;18,63;33,48;23,54;80,15;95,17;2,13;95,17;635,3;46,07;0;
BIANCU;5425;113;1119;253;278;1742;10,58;20,48;47,57;88,18;89,68;0;118,89;00:47:48;1,65;1,63;4,66;5,13;32,1;20,63;36;26;89;101;0;101;670,46;47,31;0;
CALIGARA;5348;112;849;299;288;1601;10,55;21,8;56,78;84,88;97,01;0;106,5;00:47:48;1,81;1,59;5,59;5,38;29,94;15,88;26;20;72;85;1;85;560,26;45,71;0;
GEMMI;6006;126;1422;278;264;2166;11,62;19,53;60,38;98,12;111,99;0;116,62;00:47:48;1,86;1,63;4,62;4,39;36,06;23,68;40;23;83;101;1;101;1116,19;50,58;0;
IOTTI;4985;104;657;296;263;1380;9,84;21,9;73,89;100,27;81,41;0;125,56;00:47:48;1,63;2,01;5,94;5,28;27,69;13,18;26;16;72;98;3;98;420,01;43,69;0;
OGUNSEYE;5328;111;1060;308;296;1726;10,66;23,62;78,97;112,09;110,3;0;160,38;00:47:48;2,07;2,1;5,78;5,55;32,4;19,89;40;27;71;109;1;109;688,54;48,56;0;
PINNA S.;4826;101;798;223;246;1332;9,31;19,14;77,23;75,64;67,67;0;108,19;00:47:48;1,4;1,57;4,63;5,09;27,6;16,53;20;15;70;88;2;88;491,11;42,25;0;
PISANO;4723;99;469;199;186;1123;9,01;17,78;41;70,92;60,04;0;79,77;00:47:48;1,27;1,5;4,21;3,93;23,79;9,92;24;17;64;62;1;62;317,35;37,5;0;
PITZALIS;5022;105;938;275;265;1507;9,87;21,86;85,44;97,44;95,33;0;137,11;00:47:59;1,9;1,94;5,47;5,28;30,01;18,67;29;27;80;94;2;94;558,05;45,57;0;
RAGATZU;5339;110;1146;310;288;1647;10,39;22,2;56,62;113,48;101,78;0;150,25;00:48:36;1,91;2,13;5,81;5,39;30,84;21,47;38;23;91;89;1;89;690,56;46,55;0;
VALLOCCHIA;5478;115;1447;340;338;2017;11,06;24,67;301,66;113,94;139,2;0;246,45;00:47:48;2,54;2,08;6,2;6,18;36,82;26,41;51;38;98;111;9;111;749,05;52,99;0;
