;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;8138;93;1110;482;433;2050;8,75;22,03;127,1;171,39;151,38;0;219,24;01:27:52;1,85;2,1;5,91;5,31;25,08;13,57;45,2;35;122,8;139,3;3,7;139,3;681,9;40,11;0;
BIANCU;8001;98;1044;474;421;1996;9,24;21,88;45,37;172,69;124,9;0;194,79;01:21:39;1,56;2,16;5,92;5,27;24,94;13,05;36;29;112;129;2;129;688,04;40,28;0;
DALLA BERNARDINA ;8485;86;851;530;460;2031;8,13;21,95;84,18;196,99;145,18;0;156,14;01:38:28;1,71;2,32;6,24;5,42;23,94;10,03;41;39;128;131;3;131;549,24;38,92;0;
DORATIOTTO ;5523;92;737;366;305;1300;8,81;23,39;71,63;123,49;107,21;0;185,11;00:59:51;1,94;2,24;6,63;5,53;23,53;13,34;37;21;91;100;1;100;432,87;39,84;0;
LA ROSA ;8850;90;1012;564;441;2131;8,47;21,78;58,93;197,45;132,79;0;186,59;01:38:32;1,5;2,23;6,37;4,99;24,08;11,44;31;33;110;138;2;138;665,25;39,23;0;
LELLA ;9485;102;1389;596;542;2527;9,8;23,71;116,36;226,26;204,61;0;273,18;01:32:38;2,16;2,39;6,29;5,71;26,64;14,64;57;46;158;173;3;173;910,06;42,46;0;
MURONI;6052;100;647;338;287;1531;9,39;20,87;8,22;125;82,33;0;84,91;01:00:16;1,36;2,07;5,58;4,74;25,31;10,69;25;33;104;110;0;110;504,43;41,07;0;
OGUNSEYE;8060;82;1050;463;425;1808;7,7;21,62;147,46;156,85;149,38;0;239,91;01:38:31;1,85;1,95;5,75;5,27;22,43;13,03;40;37;129;127;5;127;614,75;36,39;0;
PISANO;8434;86;1316;434;417;2101;8;19,79;276,38;145,59;151,03;0;287,19;01:37:44;1,79;1,73;5,15;4,94;24,91;15,61;50;28;90;127;7;127;666,12;38,45;0;
PITZALIS;8530;92;1200;467;441;2135;8,67;21,71;217,62;166,2;174,92;0;252,12;01:32:38;2,05;1,95;5,47;5,17;25,03;14,07;51;39;125;124;5;124;642,11;39,72;0;
VALLOCCHIA;9958;101;1849;584;591;2942;9,69;23,76;244,81;203,35;241,49;0;332,43;01:38:28;2,43;2,04;5,87;5,93;29,55;18,57;84;45;181;234;9;234;1146,14;45,15;0;
