;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1532;101;240;73;65;387;9,33;18,7;25,83;25,76;23,83;0;32,51;00:15:05;1,55;1,69;4,77;4,24;24,97;15,46;7,7;4,3;19,2;21,7;0,5;21,7;148,9;38,37;0;
BIANCU;1683;111;288;82;55;459;10,14;17,57;12,25;26,37;17,16;0;32,71;00:15:05;1,02;1,57;4,9;3,28;27,27;17,1;6;5;24;17;0;17;226,82;42,04;0;
GEMMI;1318;87;166;55;52;276;7,95;17,72;41,19;20,37;19,22;0;25,21;00:15:05;1,46;1,55;4,2;3,97;20,91;12,56;6;4;16;17;1;17;85,81;32,18;0;
LA ROSA ;1493;99;159;81;66;355;9,11;18,99;8,89;26,29;17,51;0;19,78;00:15:05;1,17;1,76;5,45;4,42;23,77;10,62;4;4;20;18;0;18;105,8;37,62;0;
LELLA ;1580;105;336;80;80;439;9,76;20,48;31,91;29,17;34,34;0;44,31;00:15:05;2,17;1,85;5,08;5,04;27,75;21,25;9;7;20;29;0;29;189,52;41,71;0;
MURONI;1647;109;260;74;62;449;10,03;18,75;18,91;28,08;21,72;0;24,82;00:15:05;1,32;1,7;4,48;3,77;27,27;15,78;10;5;18;23;0;23;155,46;41,12;0;
OGUNSEYE;1378;91;165;66;61;291;8,45;19,63;34,99;27,17;27,37;0;40,44;00:15:05;1,99;1,97;4,79;4,41;21,11;11,94;9;3;18;20;1;20;83,42;34,08;0;
PENNINGTON;1789;118;407;80;90;574;11,02;20,16;69,69;23,45;34,95;0;47,26;00:15:05;1,95;1,31;4,49;5,03;32,08;22,76;6;4;21;24;2;24;216,76;46,07;0;
PISANO;1388;92;209;53;48;309;8,18;14,91;19,99;19,01;15,94;0;16,6;00:15:05;1,15;1,37;3,81;3,45;22,3;15,07;5;1;13;19;1;19;143,76;33,51;0;
PITZALIS;1571;104;179;77;69;356;9,58;18,9;17,76;29,27;22,68;0;35,46;00:15:05;1,44;1,86;4,92;4,41;22,64;11,39;11;4;19;25;0;25;119,76;36,2;0;
VERDE;1468;97;237;82;67;361;9,03;19,91;2,7;28,4;27,42;0;38,55;00:15:05;1,87;1,93;5,61;4,58;24,6;16,15;11;6;23;25;0;25;161,89;39,14;0;
