;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;4408;85;573;247;212;1098;7,93;20,53;54,08;90,78;71,29;0;94,4;00:51:51;1,61;2,06;5,61;4,79;24,83;12,91;23,96;21,89;74,3;75,22;1,61;75,22;365,89;39,75;0;
BIANCU;4543;92;742;230;207;1186;8,5;19,69;67,05;77,7;63,05;0;99,58;00:49:30;1,39;1,71;5,07;4,56;26,12;16,34;17;17;56;62;1;62;501,81;41,14;0;
DORATIOTTO ;4386;89;495;305;235;976;8,49;23,75;50,46;121,73;83,2;0;146,46;00:49:30;1,9;2,78;6,96;5,36;22,25;11,28;33;31;90;82;2;82;306,98;39,19;0;
LA ROSA ;3748;74;374;228;177;883;6,89;20,24;0;85,01;50,74;0;42,05;00:50:38;1,35;2,27;6,09;4,72;23,56;9,98;11;24;64;48;0;48;281,61;38,1;0;
LELLA ;4758;96;629;289;277;1291;9,21;23,84;28,86;111,4;109,19;0;115,77;00:49:30;2,29;2,34;6,08;5,82;27,13;13,21;40;28;90;117;0;117;384,28;43,21;0;
MASTINO;3652;70;467;204;177;883;6,57;20,6;67,55;77,97;62,2;0;88,2;00:51:51;1,7;2,14;5,58;4,85;24,17;12,79;19;22;63;62;2;62;272,53;38,83;0;
MURONI;4421;89;522;197;166;1123;8,1;17,18;3,35;68,52;49,71;0;39,61;00:49:30;1,12;1,55;4,45;3,75;25,41;11,82;19;13;73;71;0;71;395,63;39,49;0;
OGUNSEYE;4125;83;614;254;205;1040;7,8;20,98;73,91;90,9;64,92;0;103,89;00:49:30;1,57;2,2;6,15;4,96;25,21;14,88;17;20;74;69;3;69;417,18;40,02;0;
PISANO;4189;83;435;216;197;972;7,63;19,23;74,13;73,24;68,27;0;82,76;00:50:41;1,63;1,75;5,17;4,7;23,2;10,39;24;15;56;73;2;73;231,42;36,72;0;
VALLOCCHIA;4443;90;696;221;195;1176;8,29;19,28;104,22;81,59;67,57;0;101,23;00:49:30;1,52;1,84;4,98;4,39;26,48;15,66;28;20;79;69;4;69;385,01;41,19;0;
