;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;5653;125;352;259;263;1410;11,06;14,27;81,5;68,9;84,64;28,54;121,53;00:45:15;1,47;1,2;4,52;4,6;24,65;6,09;20,7;11,5;65,21;75,71;2,3;75,71;503,69;39,02;27,78;
ALTARE ;5606;124;391;314;293;1507;11,2;16,81;115,07;89,02;91,72;30,59;161,92;00:45:15;1,64;1,59;5,61;5,22;26,88;6,98;25;19;86;83;4;83;498,53;43,4;29,06;
DEMARCUS ;5993;132;686;344;370;1787;12,19;18,87;237,98;104,76;139,43;26,67;220;00:45:14;2,33;1,75;5,73;6,18;29,81;11,44;37;26;92;108;6;108;548,98;46,06;29,76;
EMERSON;5032;111;157;148;156;890;9,42;9,42;18,9;25,95;40,42;30,96;38,81;00:45:15;0,8;0,52;2,94;3,1;17,69;3,13;7;1;31;46;0;46;278,23;28,35;27,45;
GAGLIANO;5689;126;253;262;213;1405;10,97;12,8;48,7;73,28;62,61;29,05;102,82;00:45:15;1,1;1,29;4,6;3,75;24,69;4,44;14;11;67;56;1;56;552,01;39,61;25,94;
GIANDONATO;5128;113;121;147;166;902;9,62;9,74;4,18;39,63;42,03;29,28;45,44;00:45:15;0,82;0,77;2,86;3,24;17,6;2,36;5;5;36;47;0;47;269,27;28,76;24,35;
LADINETTI;5944;131;352;290;286;1511;11,71;15,17;58,49;78,72;92,44;25,62;126,17;00:45:15;1,56;1,32;4,88;4,81;25,41;5,92;27;8;73;94;1;94;526,41;40,77;28,87;
PENNINGTON;6319;140;457;256;268;1837;12,26;13,45;88,39;62,04;89,53;24,91;121,14;00:45:15;1,42;0,98;4,04;4,25;29,07;7,23;25;13;70;78;3;78;802,44;43,57;27,85;
PISANO;5152;114;204;194;203;1047;9,86;11,89;32,78;39,08;65,91;31,66;71,98;00:45:15;1,28;0,76;3,77;3,95;20,32;3,96;16;7;49;68;0;68;325,36;32,89;25,74;
PITZALIS;5741;127;475;283;315;1560;11,38;15,9;157,49;81,1;84,34;29,21;146,56;00:45:14;1,47;1,41;4,92;5,49;27,17;8,27;17;13;69;82;6;82;534,63;42,05;30,93;
UDHO;5918;131;424;349;358;1650;12;18,61;52,96;95,33;137,88;27,49;180,32;00:45:15;2,33;1,61;5,9;6,05;27,88;7,17;34;12;79;95;2;95;700,6;44,73;27,84;
