;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;10429;109;647;527;537;2454;9,8;15,98;136,67;158,61;184,15;36,7;243,12;01:35:40;1,74;1,51;5,01;5,09;23,17;6,05;40,52;26,15;131,3;157,33;3,51;157,33;866,04;37,93;28,46;
ALTARE ;7686;100;604;395;371;1763;8,92;15,2;224,26;133,66;108,59;41,43;212,65;01:16:51;1,41;1,74;5,15;4,83;22,93;7,85;29;33;122;113;5;113;533,95;37,78;30,76;
CADILI;10244;119;1044;685;664;2941;11,22;21,42;304,76;235,33;258,58;35,27;414,51;01:25:49;2,52;2,3;6,69;6,48;28,71;10,19;57;35;164;177;7;177;1053,69;46,14;30,46;
COCCO;8251;101;267;361;360;1727;8,87;13,77;0;97;113,88;39,78;123,62;01:21:56;1,38;1,18;4,37;4,36;20,93;3,24;16;18;90;107;0;107;616,27;34,86;23,84;
EMERSON;8330;91;313;364;346;1445;8,01;13,35;86,01;101,93;100,15;43,96;114,57;01:31:14;1,2;1,22;4,37;4,15;17,34;3,75;22;15;95;104;3;104;483,81;29,92;29,56;
GIANDONATO;9526;100;468;429;457;1874;8,87;15,05;94,49;137,5;168,95;39,14;190,5;01:35:40;1,77;1,44;4,5;4,79;19,68;4,91;38;24;120;144;3;144;550,91;33,46;27,31;
LADINETTI;10999;115;501;586;588;2669;10,44;17,31;62,93;174,41;206,54;34,58;214,7;01:35:39;1,88;1,59;5,33;5,34;24,26;4,55;44;16;122;169;1;169;959,6;40,03;28,18;
LELLA ;7992;127;749;509;548;2324;11,85;20,99;163,26;157,97;191,05;29,87;288,54;01:03:08;2,39;1,98;6,37;6,85;29,08;9,37;41;27;120;173;6;173;775,02;46,43;29,53;
PENNINGTON;12060;126;856;506;551;3207;11,1;13,7;185,85;130,58;176,09;29,43;209,74;01:35:39;1,46;1,08;4,19;4,57;26,59;7,1;41;25;119;164;5;164;1203,68;41;29,72;
PISANO;6537;103;366;303;285;1323;9,02;13,42;38,81;83,43;83,74;38,96;149,73;01:03:36;1,28;1,28;4,63;4,35;20,23;5,59;17;16;71;67;0;67;511,28;33,44;26,73;
RAGATZU;10512;110;545;517;574;2406;9,9;16,39;47,09;149,49;219,41;34,58;229,43;01:35:38;2,09;1,42;4,92;5,46;22,88;5,18;53;22;137;172;1;172;963,25;37,63;28,53;
