;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;5057;109;327;244;240;1175;9,76;15,05;65,39;70,62;89,95;36,04;130,32;00:46:12;1,76;1,37;4,77;4,69;22,98;6,34;21,92;11,77;61,65;67,68;1,01;67,68;421,63;37,38;28,4;
ALTARE ;4548;98;169;212;190;969;8,67;13,75;51,35;54,76;69,7;43,16;83,85;00:46:12;1,53;1,2;4,67;4,17;21,31;3,72;24;5;64;58;1;58;299,89;35,32;31,73;
BIANCU;5308;115;254;228;228;1234;10,13;13,89;17,09;57,22;82,19;33,09;91,44;00:46:12;1,55;1,08;4,3;4,29;23,25;4,79;14;5;46;63;0;63;500,37;37,3;27,66;
CADILI;5135;111;408;332;324;1334;10,36;20,47;90,71;114,5;122,72;38,47;198,22;00:46:12;2,39;2,23;6,47;6,32;25,99;7,95;26;18;84;99;2;99;452,09;43,62;28,72;
EMERSON;4482;97;165;155;146;755;8,28;10,31;38,53;31,25;47,41;39,72;67,63;00:46:12;1,06;0,7;3,45;3,26;16,85;3,68;11;5;31;30;0;30;204,22;27,81;26,52;
GIANDONATO;4677;101;138;143;156;813;8,65;10,35;22,49;31,84;53,93;34,94;43,78;00:46:12;1,15;0,68;3,05;3,33;17,38;2,95;14;0;35;47;0;47;269,17;28,56;26,32;
LADINETTI;5424;117;383;308;285;1416;10,62;16,84;57,06;82,15;103;33,79;140;00:46:12;1,9;1,51;5,67;5,26;26,1;7,06;24;10;73;79;1;79;526,41;41,91;26,97;
PENNINGTON;5668;123;440;233;249;1499;10,77;13,43;80,58;64,35;80,2;31,36;117,26;00:46:12;1,42;1,14;4,11;4,39;26,45;7,76;21;14;68;68;1;68;563,07;40,75;27,37;
PISANO;4746;103;334;191;191;979;8,97;12,85;96,24;50,59;68,51;39,17;111,56;00:46:12;1,44;1,07;4,03;4,03;20,64;7,04;21;12;47;67;3;67;360,01;33,31;29,47;
RAGATZU;5233;113;495;292;287;1246;10,28;17,29;113,41;94,51;120,02;32,45;209,57;00:46:12;2,29;1,81;5,58;5,48;23,81;9,45;27;20;75;78;1;78;415;39,38;28,64;
UDHO;5064;116;464;329;327;1437;10,94;21,69;82,78;121,07;146,77;34,11;232,58;00:43:36;2,9;2,39;6,49;6,46;28,37;9,17;36;28;90;84;1;84;602,38;46,27;30,64;
