;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;10914;113;888;529;547;2864;10,12;15,61;180,37;148,47;196,32;36,18;284,03;01:36:34;1,79;1,35;4,84;4,99;25,98;8,05;48,71;25,76;137,7;154,15;4,11;154,15;1106,37;40,85;29,75;
ARBOLEDA;10569;109;909;660;676;3002;10,26;21,04;159,32;222,47;280,57;38,52;385,55;01:36:32;2,65;2,1;6,25;6,39;28,41;8,6;77;42;194;212;4;212;1160,6;45,38;31,19;
BIANCU;9790;113;705;426;423;2405;9,97;13,59;140,1;107,42;133,41;34,32;214,16;01:26:19;1,36;1,1;4,35;4,32;24,56;7,21;31;19;106;102;3;102;979,67;38,8;28,13;
CADILI;11412;118;773;660;629;3158;10,77;17,74;127,82;191,98;223,58;35,66;331,24;01:36:34;1,96;1,68;5,78;5,51;27,67;6,77;37;38;183;177;3;177;1275,07;44,6;30,01;
EMERSON;9374;97;440;344;373;1843;8,41;11,97;73,39;74,27;116,35;42,35;132,34;01:36:34;1,24;0,79;3,67;3,98;19,66;4,7;28;13;70;99;2;99;643,73;31,86;28,95;
LA ROSA ;9846;102;688;429;400;2243;8,92;12,98;165,79;114,14;124,59;40,78;188,44;01:36:34;1,27;1,16;4,36;4,06;22,78;6,99;29;18;104;117;3;117;713,84;36,41;30,04;
LADINETTI;11691;121;732;525;523;3105;10,74;14,58;89,46;159,96;182,34;33,16;240,9;01:36:34;1,56;1,37;4,49;4,48;26,56;6,26;53;21;133;165;3;165;1270,98;41,3;27,3;
OCCHIONI;10775;127;1217;542;624;3438;11,58;17,38;257,43;151,61;237,47;31,5;299;01:24:32;2,2;1,41;5,03;5,79;31,91;11,3;69;24;149;183;5;183;1392,5;47,53;31,6;
PENNINGTON;11976;124;1216;499;555;3393;10,93;13,82;187,72;131,49;189,3;31,6;250,85;01:36:34;1,58;1,1;4,17;4,64;28,33;10,15;38;20;126;137;5;137;1392,82;42,55;29,19;
RAGATZU;5603;124;556;279;314;1526;11,19;16,8;173,56;72,3;130,13;27,29;204,13;00:45:14;2,32;1,29;4,98;5,61;27,24;9,93;36;16;71;89;4;89;628,25;42,51;29,03;
UDHO;9788;101;970;522;536;2338;9,16;16,8;291,56;145,89;195,75;41,13;377,18;01:36:34;2;1,49;5,33;5,47;23,89;9,91;52;27;136;143;6;143;762,7;39,08;32,05;
