;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1669;104;148;74;70;397;9,14;13,52;49,88;22,69;26,36;38,02;46,49;00:16:03;1,56;1,35;4,39;4,17;23,57;8,75;6,9;4,5;20,1;19;1,2;19;136,43;37,01;28,77;
ARBOLEDA;1673;104;197;75;88;448;9,4;16,6;31,93;26,51;39,79;40,61;54,3;00:16:03;2,38;1,58;4,51;5,26;26,77;11,75;10;7;26;19;1;19;206,51;40,72;28,55;
BIANCU;1580;98;103;66;65;322;8,67;13,84;31,42;20,45;24,59;40,91;38,23;00:16:03;1,56;1,29;4,16;4,11;20,36;6,53;7;6;18;16;1;16;107,7;33,9;26,85;
BRIGNANI;1802;112;160;81;78;486;9,85;13,44;57,45;26,25;31,21;33,6;45,89;00:16:03;1,73;1,46;4,5;4,32;27;8,91;11;6;25;25;2;25;165,4;40,86;28,89;
CHIERICO;1854;115;196;83;82;491;10,18;13,91;44,23;22,89;33,94;32,7;47,03;00:16:03;1,83;1,23;4,47;4,44;26,47;10,56;8;5;21;23;1;23;151,18;39,8;28,13;
EMERSON;1565;97;48;40;38;283;8,14;7,95;4,41;9,09;10,8;41,32;17,35;00:16:03;0,69;0,58;2,53;2,45;18,1;3,05;3;2;8;12;0;12;85,64;28,68;25,27;
GIANDONATO;1478;92;89;59;47;255;7,87;10,51;14,32;15,36;13,76;38,81;27,46;00:16:03;0,93;1,04;3,99;3,16;17,23;6;4;2;18;11;0;11;112,63;29,44;26,36;
LELLA ;1811;113;225;86;80;497;10,1;15,74;80,86;33,57;33,71;35,03;73,42;00:16:03;1,86;1,85;4,77;4,42;27,43;12,4;8;7;22;23;1;23;154,76;42,5;31,1;
MANCINI;1640;102;123;84;74;406;9,02;14,09;54,94;19,22;23,72;39,97;44;00:16:03;1,45;1,17;5,11;4,54;24,75;7,48;7;4;24;24;1;24;111,08;39,1;28,64;
TRAVAGLINI;1705;106;184;82;72;444;9,36;13,86;79,16;26,43;21,46;39,36;51,54;00:16:03;1,26;1,55;4,8;4,24;26,05;10,8;5;5;20;17;2;17;159,49;40,09;30,01;
UDHO;1586;99;159;81;75;341;8,81;15,26;100,1;27,11;30,63;37,94;65,67;00:16:03;1,93;1,71;5,1;4,74;21,5;10,01;6;1;19;20;3;20;109,88;34,99;33,89;
