;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1650;110;113;69;71;397;9,64;13,45;20,19;19,62;22,72;36,39;36,24;00:15:01;1,37;1,2;4,19;4,3;23,92;6,79;4,67;4,33;18,67;20,67;0,56;20,67;150,25;37,75;26,22;
ARBOLEDA;1516;101;185;91;89;486;9,24;18,29;19,1;27,33;30,55;47,49;40,67;00:15:01;2,01;1,8;6,02;5,89;32,08;12,18;11;8;32;34;0;34;185,9;48,11;25,5;
BIANCU;1655;110;103;61;62;353;9,56;12,09;50,8;17,2;20,53;35,79;30,66;00:15:01;1,24;1,04;3,71;3,75;21,31;6,19;2;3;20;16;1;16;68,61;34,38;26,89;
BOCCIA;1719;114;158;95;83;402;10,32;16,5;28,72;32,37;30,54;34,62;61,18;00:15:01;1,78;1,88;5,53;4,84;23,36;9,17;6;9;26;25;1;25;125,18;39,43;29,64;
CHIERICO;1845;123;70;48;60;412;10,42;9,6;0;10,34;16,97;25,3;22,15;00:15:01;0,92;0,56;2,59;3,27;22,36;3,81;2;2;9;14;0;14;148,12;34,21;23,5;
EMERSON;1555;104;85;63;55;333;8,94;11,63;21;12,97;17,97;40,88;25,74;00:15:01;1,16;0,83;4,06;3,56;21,42;5,48;3;1;13;16;1;16;148,8;34,07;27,64;
LELLA ;1767;118;119;79;86;467;10,47;15,03;18,75;25,58;30,42;31,89;35,19;00:15:01;1,72;1,45;4,45;4,85;26,41;6,73;8;7;26;30;1;30;152,31;40,81;25,47;
PALESI;1834;122;193;68;74;552;10,7;13,25;38,82;18,02;26,84;34,56;52;00:15:01;1,46;0,98;3,72;4,04;30,11;10,55;6;3;17;17;1;17;286,36;44,2;28,32;
RAGATZU;1492;99;42;55;65;274;8,58;11,55;4,54;18,92;12,23;36,01;31,15;00:15:01;0,82;1,27;3,69;4,39;18,39;2,79;1;3;14;14;0;14;119,83;31,57;25;
UDHO;1467;98;62;58;61;291;8,55;13,11;0;13,83;18,47;40,95;27,41;00:15:01;1,26;0,94;3,95;4,14;19,8;4,21;3;3;11;20;0;20;117,12;32,96;23,99;
