;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1959;99;122;93;86;443;8,78;12,37;26,29;27,47;29,12;40,43;48,2;00:19:43;1,3;1,23;4,16;3,85;19,73;5,34;6,89;5;24,78;23,44;0,44;23,44;155,03;32,46;24,29;
ARBOLEDA;4;0;0;0;0;0;0,01;-0,49;0;0;0;100;0;00:19:43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,86;
BRIGNANI;1991;101;79;90;78;363;8,81;12,75;17,2;23,71;22,76;35,02;32,58;00:19:43;1,14;1,19;4,54;3,9;18,21;3,99;6;5;28;23;0;23;75,72;32,04;25,62;
EMERSON;1911;97;69;76;65;326;8,34;11,2;3,4;22,65;22,85;39,12;26,26;00:19:43;1,2;1,19;3,97;3,38;17,06;3,62;5;4;22;19;0;19;117,58;28,93;24,84;
GIANDONATO;2005;102;25;83;87;308;8,85;12,42;0;25,65;30,23;33,86;28,28;00:19:43;1,51;1,28;4,16;4,32;15,34;1,25;9;5;26;30;0;30;64,69;27,65;21,67;
LA ROSA ;2341;119;118;97;87;557;10,33;12,44;20,64;20,34;29,74;30,62;38,29;00:19:43;1,27;0,87;4,14;3,73;23,78;5,03;7;1;27;21;0;21;165,13;37,99;27,03;
OCCHIONI;2609;132;256;163;167;805;12,25;19,66;59,11;51,17;61,4;26,62;104,59;00:19:43;2,35;1,96;6,23;6,4;30,85;9,82;18;14;48;50;1;50;313,59;48,33;28,3;
RAGATZU;2220;113;196;93;90;527;9,82;12,74;32,1;23,72;27,29;33,59;62,66;00:19:43;1,23;1,07;4,18;4,07;23,75;8,84;6;6;15;25;1;25;224,17;37,86;29,22;
TRAVAGLINI;2263;115;120;105;85;515;10,09;13,62;35,32;33,64;28,23;31,51;47,78;00:19:43;1,25;1,49;4,65;3,75;22,75;5,28;5;3;23;16;1;16;205,09;37,2;31,24;
UDHO;2288;116;234;127;116;590;10,5;16,94;68,86;46,33;39,63;33,49;93,39;00:19:43;1,73;2,03;5,54;5,05;25,8;10,23;6;7;34;27;1;27;229,33;42,1;28,82;
