;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;5351;116;358;246;253;1310;10,35;14,87;93,58;70,08;92,5;31,94;126,51;00:46:02;1,7;1,29;4,55;4,68;24,24;6,59;23,3;11,2;61,7;74,61;2,1;74,61;455,77;38,47;29,41;
BIANCU;5501;119;189;286;266;1363;10,76;16,36;15,64;79,09;101,57;30,83;102,91;00:46:02;1,85;1,44;5,2;4,84;24,78;3,43;18;12;75;72;0;72;504,27;40,65;26,42;
BRIGNANI;5264;114;298;204;230;1191;10,06;13,62;82,27;68,27;75,74;30,82;105,43;00:46:02;1,44;1,3;3,88;4,36;22,62;5,65;15;9;57;84;1;84;383,22;36,24;30,87;
EMERSON;4677;102;169;146;157;820;8,69;10,51;62,18;29,82;48,36;37,54;61,37;00:46:02;1,03;0,64;3,12;3,36;17,54;3,62;16;3;41;45;2;45;242,88;28,47;28,38;
GIANDONATO;5041;110;169;164;166;844;9,35;10,32;54,05;41,26;53,51;29,07;54,94;00:46:02;1,06;0,82;3,26;3,3;16,73;3,36;9;6;43;55;1;55;248,22;27,94;30,58;
LELLA ;5879;128;528;321;324;1680;11,67;18,03;115,12;100,55;134,77;28,12;180,71;00:46:02;2,29;1,71;5,46;5,51;28,57;8,97;35;8;92;89;4;89;643,51;44,66;29,56;
MANCINI;5352;116;536;309;288;1549;10,68;18,61;199,13;97,85;117,62;34,77;185,29;00:46:00;2,2;1,83;5,77;5,39;28,94;10,01;30;20;75;86;4;86;478,78;45,19;30,5;
PALESI;5796;126;501;294;319;1708;11,37;16,64;115,3;76,42;115,3;30,81;165,61;00:46:02;1,99;1,32;5,07;5,51;29,46;8,64;34;11;56;98;1;98;620,83;44,95;30,04;
PISANO;4995;109;336;189;209;1083;9,41;11,97;113,77;47,63;67,53;35,46;106,33;00:46:01;1,35;0,95;3,78;4,18;21,69;6,73;21;7;45;52;2;52;347,07;34,18;29,08;
RAGATZU;5358;116;446;273;287;1413;10,51;16,62;60,14;73,34;110,35;32,13;151,21;00:46:02;2,06;1,37;5,1;5,36;26,36;8,32;32;12;76;88;1;88;568,6;41,49;27,56;
TRAVAGLINI;5645;123;407;275;281;1451;11,02;16,06;118,12;86,56;100,14;29,89;151,18;00:46:02;1,77;1,53;4,88;4,98;25,7;7,2;23;24;57;77;5;77;519,95;40,98;31,08;
