;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;5492;117;558;280;278;1549;10,55;16,34;115,51;84,93;106,52;34,28;172,56;00:46:55;1,91;1,53;5,07;5,01;27,89;9,95;24,56;14;66,12;75,57;2,56;75,57;600,5;43,08;29,51;
BIANCU;6035;129;606;358;364;1824;11,83;18,84;90,72;108,51;143,3;29,73;207,96;00:46:55;2,37;1,8;5,93;6,03;30,23;10,04;28;13;81;88;2;88;729,9;46,8;29,57;
BRIGNANI;5339;114;445;282;242;1403;10,24;16,34;83,59;89,44;100,9;33,66;178,38;00:46:55;1,89;1,68;5,28;4,54;26,28;8,33;25;21;70;67;2;67;541,45;42;30,72;
CHIERICO;6129;131;858;305;350;2081;11,9;17,68;127,12;78,86;149,19;29,09;192,84;00:46:55;2,43;1,29;4,98;5,71;33,95;14;36;10;64;96;3;96;900,03;49,28;29,53;
EMERSON;4714;100;237;198;188;1023;8,83;13,52;91,11;51,42;64,85;40,55;81,35;00:46:55;1,38;1,09;4,21;3,99;21,7;5,03;14;9;53;51;2;51;280,61;35,06;28,5;
LELLA ;5896;126;755;295;300;1874;11,38;16,99;164,82;100,17;121,57;32;174;00:46:55;2,06;1,7;5;5,1;31,79;12,8;33;21;80;91;4;91;824,86;46,9;28,72;
MANCINI;5515;118;720;324;309;1804;10,78;18,52;144,57;105,67;123,02;38,27;221,06;00:46:55;2,23;1,92;5,87;5,6;32,71;13,05;30;18;85;85;3;85;713,98;49,58;29,24;
PISANO;5032;107;252;199;208;1002;9,33;12,37;68,47;51,85;65,8;34,93;119,04;00:46:54;1,31;1,03;3,96;4,13;19,92;5,01;15;7;40;60;1;60;319,16;32,55;29,72;
RAGATZU;5443;116;685;273;264;1482;10,4;15,8;170,83;98,14;94,9;34,23;228,97;00:46:53;1,74;1,8;5,02;4,85;27,22;12,59;23;21;65;69;3;69;540,32;42,57;31,25;
TRAVAGLINI;5322;113;462;284;274;1448;10,27;17;98,2;80,2;95;36,09;149,16;00:46:55;1,79;1,51;5,34;5,15;27,2;8,67;17;6;57;73;3;73;553,25;42,97;28,36;
