;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1010;71;192;96;94;318;7,27;31,12;20,48;35,55;39,13;0;38,92;00:13:35;3,65;3,34;8,97;8,74;29,61;17,94;11,26;6,89;26,26;34;1,74;34;109,22;45,91;0;
CAPELLO;1165;80;239;111;115;414;8,4;34,76;0;40,14;46,57;0;32,95;00:14:28;4;3,45;9,49;9,87;35,54;20,52;17;8;31;45;0;45;189,58;53,62;0;
COSSU;928;65;123;71;63;245;6,39;26,83;0;22,52;25,72;0;15,91;00:14:14;2,77;2,43;7,65;6,82;26,43;13,27;5;5;23;30;0;30;85,02;42,81;0;
COTALI;1096;76;240;112;99;342;7,77;32,49;28,84;41,6;36,78;0;51,18;00:14:28;3,35;3,79;10,24;9,06;31,23;21,87;9;4;29;31;3;31;105,69;48,54;0;
DAMETTO;909;64;215;80;82;287;6,49;30,44;11,7;29,39;35,8;0;32,33;00:14:07;3,94;3,23;8,84;9,05;31,53;23,66;16;5;26;32;2;32;121,37;47,8;0;
FEOLA;1211;84;229;103;123;411;8,6;32,75;13,18;40,07;46,62;0;38,86;00:14:28;3,85;3,31;8,5;10,13;33,98;18,87;9;9;26;41;1;41;147,39;50,84;0;
GERONI;1010;71;199;94;94;315;7,35;33,97;0;34,05;41,46;0;25,37;00:14:14;4,1;3,37;9,26;9,29;31,2;19,72;11;8;38;33;0;33;138,11;47,72;0;
MURGIA;984;68;192;78;86;302;6,79;29,03;0;27,42;34,04;0;25,59;00:14:28;3,46;2,79;7,93;8,7;30,66;19,55;10;7;19;35;0;35;144,32;46,08;0;
MURONI;1190;84;150;99;95;335;8,48;30,14;0;40,56;37,11;0;24,58;00:14:07;3,12;3,41;8,33;8,01;28,17;12,64;11;6;29;40;0;40;136,6;45,82;0;
PINNA S.;920;65;200;86;80;281;6,68;32,47;42,43;32,19;36,59;0;44,7;00:14:07;3,97;3,5;9,37;8,66;30,5;21,75;12;7;19;29;3;29;80,8;46,98;0;
PIREDDA;1082;76;249;122;115;363;8,15;38,7;17,08;46,19;56,2;0;63,71;00:14:14;5,19;4,27;11,32;10,59;33,54;22,98;21;8;26;40;2;40;115,16;52,35;0;
RUSSU;1282;91;167;99;112;368;9,08;29,28;23,16;35,73;43,64;0;42,94;00:14:07;3,4;2,79;7,69;8,7;28,7;13,03;10;6;26;38;2;38;92,01;45,07;0;
SCANU;848;59;39;84;72;173;5,96;29,46;0;34,42;25,48;0;9,89;00:14:14;3,01;4,06;9,91;8,49;20,38;4,57;9;9;35;38;0;38;37,61;36,93;0;
SENESI;995;70;147;81;79;254;7;29,55;13,9;30,01;29,97;0;25,68;00:14:14;3,01;3,02;8,13;7,97;25,55;14,75;6;6;24;32;2;32;88,16;41,99;0;
