;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;5749;70;587;369;337;1265;6,63;23,15;26,3;130,87;117,96;0;117,53;01:22:36;2,05;2,28;6,41;5,86;21,89;10,15;29,94;20,33;87,78;109,28;2,33;109,28;407,03;37,03;0;
CAPELLO;5348;65;634;409;378;1261;6,37;27,22;13,02;156,81;137,45;0;131,33;01:22:36;2,57;2,93;7,65;7,06;23,57;11,85;36;38;116;132;2;132;432,15;40,53;0;
COSSU;4817;58;450;274;247;912;5,42;20,2;0,67;99,56;80,39;0;76,59;01:22:36;1,67;2,07;5,69;5,14;18,94;9,34;23;15;70;78;0;78;366,17;32,35;0;
COTALI;6137;74;838;416;377;1478;7,11;23,58;155,55;144,79;140,53;0;185,39;01:22:36;2,29;2,36;6,77;6,14;24,08;13,66;39;26;104;114;9;114;469,6;39,62;0;
DAMETTO;5445;66;465;357;325;1169;6,3;23,58;0;119,58;120,59;0;104,71;01:22:36;2,21;2,2;6,56;5,98;21,46;8,55;36;14;81;123;0;123;331,65;36,89;0;
FEOLA;6398;77;524;456;404;1449;7,51;25,32;28,46;161,79;124,48;0;138,64;01:22:36;1,95;2,53;7,13;6,32;22,66;8,19;27;22;82;120;2;120;420,11;39,36;0;
GERONI;6031;73;432;300;290;1156;6,75;19,47;4,7;104,49;92,63;0;70,66;01:22:36;1,54;1,73;4,98;4,81;19,16;7,16;25;15;87;89;1;89;346,65;32,8;0;
KOUKO;4938;60;486;362;322;1093;5,79;25,1;32,74;134,1;112,18;0;101,71;01:22:36;2,27;2,72;7,32;6,51;22,14;9,84;29;23;116;98;2;98;328,78;37,86;0;
MURGIA;5331;65;345;303;294;1044;6,06;21,42;12,46;105,14;102,28;0;59,45;01:22:36;1,92;1,97;5,68;5,51;19,58;6,47;23;9;79;108;1;108;287,35;33,58;0;
MURONI;6186;75;805;401;372;1591;7,23;24,69;20,07;153,74;151,11;0;144,61;01:22:36;2,44;2,49;6,48;6,01;25,73;13,01;45;25;93;131;2;131;605,75;42,2;0;
PINNA S.;6015;73;931;396;378;1577;6,98;23,86;25,28;135,08;126,42;0;127,39;01:22:36;2,1;2,25;6,58;6,28;26,22;15,47;30;19;94;128;4;128;637,25;41,53;0;
PIREDDA;5821;70;760;380;372;1416;6,75;23,8;44,11;132,59;139,36;0;139,69;01:22:36;2,39;2,28;6,53;6,39;24,33;13,06;29;11;83;126;3;126;495,75;39,44;0;
PISANO;5648;68;495;349;298;1075;6,48;22,44;27,61;134,19;98,55;0;151,1;01:22:36;1,74;2,38;6,18;5,28;19,03;8,76;17;24;78;95;2;95;285,13;33,81;0;
QUARANTA;6136;74;528;484;422;1414;7,31;27,08;33,88;169,26;155,53;0;143,71;01:22:36;2,53;2,76;7,88;6,88;23,05;8,61;39;23;103;135;5;135;372,56;39,87;0;
RUSSU;6155;75;668;361;358;1351;7,08;22,81;42,54;122,41;149,34;0;137,58;01:22:36;2,43;1,99;5,87;5,81;21,95;10,86;47;18;88;110;5;110;440,58;36,67;0;
SCANU;6116;74;680;364;343;1514;7;22,16;5,4;124,62;98,62;0;96,9;01:22:36;1,61;2,04;5,94;5,6;24,75;11,12;30;21;78;127;1;127;470,4;39,87;0;
SENESI;5695;69;517;357;299;1127;6,52;22,16;15,98;130,11;105,68;0;133,95;01:22:36;1,86;2,28;6,26;5,25;19,79;9,07;17;17;76;77;2;77;348,91;35,08;0;
