;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;2856;90;331;211;193;712;8,79;25,85;23,38;76,18;65,82;0;75,67;00:31:38;2,3;2,66;7,37;6,76;24,76;11,5;17,5;13,11;51,33;63,11;2,28;63,11;214,41;41,32;0;
CAPELLO;2797;88;313;248;212;762;8,92;30,41;0,7;91,54;84,61;0;82,14;00:31:38;3,02;3,27;8,87;7,57;27,26;11,2;27;20;65;77;0;77;260,06;45,73;0;
COSSU;2355;74;271;134;126;497;6,94;20,54;13,04;49,04;37,14;0;60,77;00:31:38;1,58;2,08;5,68;5,36;21,09;11,5;11;7;37;41;1;41;150,05;35,36;0;
COTALI;3160;100;517;224;211;879;9,68;25,22;86,05;81,92;66,56;0;108,95;00:31:38;2,11;2,59;7,08;6,69;27,8;16,37;22;15;61;69;8;69;286,32;44,76;0;
DAMETTO;2673;84;280;200;191;601;8,24;26,02;26,6;75,91;63,18;0;86,71;00:31:38;2,36;2,84;7,5;7,16;22,5;10,48;17;8;50;72;3;72;161,21;38,96;0;
GERONI;3172;100;189;202;194;755;9,6;23,82;0,69;71,78;68,23;0;42,62;00:31:38;2,15;2,26;6,38;6,12;23,8;5,94;14;15;60;62;0;62;137,93;39,65;0;
KOUKO;2572;81;357;208;197;642;8,06;28,21;85,11;80,14;73,94;0;117,83;00:31:38;2,88;3,12;8,08;7,66;24,96;13,88;17;21;55;60;9;60;138,62;41,68;0;
MURGIA;2866;91;148;165;164;597;8,66;23,5;1,34;64,77;59,36;0;30,45;00:31:38;2,07;2,26;5,76;5,74;20,84;5,15;13;14;36;62;0;62;120,52;36,27;0;
PINNA S.;2984;94;414;213;196;762;9,1;24,75;11,13;76,02;62,87;0;69,89;00:31:38;2,11;2,55;7,13;6,58;25,52;13,86;13;15;50;52;1;52;267,64;41,75;0;
PIREDDA;2923;92;523;206;204;843;9,04;26,53;42,42;70,95;76,94;0;79,81;00:31:38;2,63;2,43;7,05;6,99;28,84;17,88;21;10;45;72;4;72;336,38;45,49;0;
PISANO;2842;90;336;249;197;715;8,8;26,55;47,09;76,1;52,45;0;92,69;00:31:38;1,85;2,68;8,76;6,93;25,17;11,83;15;7;45;59;5;59;216,19;43,47;0;
QUARANTA;2727;86;272;240;207;649;8,57;28,54;21,43;77,87;76,71;0;85,45;00:31:38;2,81;2,86;8,81;7,59;23,81;9,99;17;12;45;62;2;62;173,84;40,58;0;
RAGATZU;2608;82;256;213;189;549;8,07;26,58;4,05;82,15;62,63;0;86,54;00:31:38;2,4;3,15;8,17;7,24;21,04;9,81;16;14;55;58;1;58;186,26;37,77;0;
RIEHLE;3201;101;419;236;212;879;9,94;26,95;12,29;100,46;75,94;0;79,19;00:31:38;2,37;3,14;7,38;6,62;27,45;13,09;23;22;71;78;1;78;308,29;45,23;0;
SCANU;3104;98;435;254;237;880;9,79;28,97;4,1;98,64;86,25;0;86,99;00:31:38;2,78;3,18;8,19;7,64;28,37;14,03;30;15;58;83;1;83;286,26;46,48;0;
SENESI;2892;91;335;171;159;659;8,6;21,61;33,7;59,83;48,98;0;70,07;00:31:38;1,69;2,07;5,93;5,51;22,81;11,6;10;13;45;50;3;50;216,88;37,93;0;
TETTEH;2921;92;295;238;227;797;9,17;28,32;13,6;84,08;75,42;0;72,57;00:31:38;2,58;2,88;8,14;7,76;27,3;10,09;18;12;48;65;1;65;198,92;44,45;0;
