;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;5824;65;496;395;321;1230;6,16;22,34;34,71;144,07;102,33;0;120,04;01:29:47;1,74;2,45;6,74;5,49;21,07;8,48;26,7;29,8;120,1;111,15;3;111,15;350,01;36,64;0;
CAPELLO;6134;65;564;416;336;1342;6,21;22,51;41,17;145,75;104,52;0;130,59;01:33:42;1,7;2,38;6,78;5,48;21,87;9,19;29;28;148;120;4;120;377,37;37,57;0;
COSSU;5692;60;467;311;258;1134;5,56;19,2;33,7;103,13;78,12;0;92,65;01:34:30;1,37;1,81;5,47;4,53;19,92;8,2;22;22;102;80;4;80;299,49;33,79;0;
COTALI;6335;68;650;456;328;1330;6,43;22,76;77,39;187,62;112,23;0;158,31;01:33:32;1,77;2,96;7,2;5,18;20,99;10,26;30;41;155;107;5;107;401,87;37,15;0;
DAMETTO;5595;60;577;377;290;1221;5,63;22;61,6;149,26;84,59;0;147,34;01:33:51;1,51;2,67;6,73;5,18;21,82;10,31;17;38;136;101;6;101;401,53;38,58;0;
FEOLA;5065;74;196;275;269;1029;6,91;20,49;0;88,86;76,38;0;57,9;01:08:23;1,51;1,75;5,43;5,32;20,32;3,88;18;16;87;103;0;103;176,9;35,01;0;
GERONI;6230;66;482;447;359;1427;6,35;23,48;5,41;161,32;108,31;0;117,83;01:33:42;1,74;2,59;7,17;5,76;22,91;7,73;24;31;124;112;1;112;395,65;39,78;0;
KOUKO;6041;65;581;447;377;1456;6,25;24,71;27,06;162,56;127,47;0;145,3;01:33:16;2,11;2,69;7,4;6,25;24,09;9,61;32;43;149;116;2;116;413,58;41,09;0;
MURGIA;5892;63;270;333;286;1103;5,83;19,87;0;114,21;91,65;0;57,65;01:33:42;1,56;1,94;5,65;4,85;18,72;4,59;21;18;111;119;0;119;220,97;32,93;0;
MURONI;5605;60;512;377;289;1125;5,66;21,69;70,09;140,78;91,5;0;114,25;01:33:17;1,63;2,51;6,72;5,16;20,07;9,13;26;25;108;102;5;102;306,52;35,15;0;
PINNA S.;4751;70;629;309;270;1114;6,6;22,61;53,26;111,58;95,64;0;126,34;01:08:20;2,01;2,35;6,5;5,68;23,45;13,24;28;26;83;105;4;105;381,05;38,98;0;
PIREDDA;6149;66;715;455;415;1378;6,35;25,15;52,44;160,21;164,25;0;161,55;01:33:48;2,67;2,61;7,4;6,76;22,41;11,64;53;31;117;156;5;156;519,18;38,08;0;
PISANO;6543;70;554;475;371;1408;6,75;23,8;40,12;194,82;123,22;0;153,66;01:32:56;1,88;2,98;7,25;5,67;21,52;8,47;33;36;160;124;2;124;430,45;38,1;0;
QUARANTA;6444;69;459;513;441;1449;6,72;26,03;48,77;194,76;146,07;0;151,03;01:33:36;2,27;3,02;7,96;6,85;22,48;7,13;39;31;131;152;5;152;324,15;39,3;0;
RAGATZU;4288;63;318;285;224;951;5,94;21,77;3,37;104,38;63,3;0;64,78;01:08:01;1,48;2,43;6,65;5,23;22,19;7,43;14;29;93;86;1;86;251,06;38,08;0;
SCANU;5610;60;361;322;249;1088;5,56;19,08;36,02;112,28;65,72;0;66,19;01:33:02;1,17;2;5,74;4,45;19,39;6,44;18;21;91;98;4;98;243,61;32,98;0;
SENESI;6122;66;774;411;349;1328;6,28;23,36;99,96;154,64;125,24;0;208,18;01:33:03;2,05;2,53;6,71;5,7;21,7;12,64;29;34;113;115;6;115;467,2;37,81;0;
TETTEH;5885;62;386;412;310;1084;5,87;21,61;26,04;142,9;93,75;0;104,91;01:34:18;1,59;2,43;7;5,27;18,42;6,55;22;29;116;108;4;108;267,85;32,94;0;
