;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1526;70;277;105;75;442;6,57;20,43;9,45;34,54;17,28;0;28,54;00:21:39;1,13;2,25;6,87;4,89;28,88;18,01;2,94;5,18;29,59;22,06;0,59;22,06;198,35;44,19;0;
BENEDICIC;1452;67;180;108;72;359;6,28;21,14;0;39,73;19,06;0;17,82;00:21:41;1,31;2,74;7,44;4,96;24,7;12,38;8;6;26;23;0;23;174,58;40,53;0;
CAPELLO;1497;69;160;75;51;358;6,18;15,76;0;20,79;9,27;0;6,68;00:21:41;0,62;1,39;5;3,4;23,93;10,7;0;3;22;13;0;13;160,22;36,47;0;
COTALI;1559;72;348;109;75;489;6,7;20,41;52,89;38,73;15,91;0;39,21;00:21:41;1,02;2,48;6,97;4,83;31,39;22,3;3;5;31;24;1;24;249,68;46,76;0;
DAMETTO;1548;71;278;108;64;456;6,61;19,65;0;35,39;13,65;0;25,24;00:21:41;0,88;2,29;6,96;4,13;29,47;17,98;2;8;35;13;0;13;227,51;45,37;0;
FEOLA;1537;71;61;88;63;376;6,45;17,53;0;24,37;12,3;0;6,67;00:21:41;0,8;1,59;5,72;4,08;24,49;3,95;0;3;19;21;0;21;60,78;38,92;0;
GERONI;1664;77;362;125;86;541;7,22;21,49;0;37,78;17,75;0;26,09;00:21:41;1,07;2,27;7,54;5,15;32,53;21,78;2;4;42;22;0;22;302,39;48,9;0;
KOUKO;1505;69;124;73;42;324;6,18;15;0;19,22;8,34;0;4,14;00:21:41;0,55;1,28;4,88;2,82;21,56;8,26;0;0;17;10;0;10;124,23;34,15;0;
MURGIA;1518;70;368;96;75;478;6,51;20,14;0;28,68;16,93;0;19,04;00:21:41;1,11;1,89;6,31;4,93;31,51;24,27;4;7;28;28;0;28;284,94;47,1;0;
MURONI;1495;69;131;85;52;363;6,25;17,11;0;27,47;11,06;0;10,7;00:21:41;0,74;1,84;5,7;3,49;24,3;8,77;1;3;26;15;0;15;107,26;38,7;0;
OGUNSEYE;1553;72;530;132;113;570;6,98;25,83;26,09;48,54;28,16;0;71,54;00:21:41;1,81;3,13;8,53;7,28;36,68;34,1;4;5;34;29;2;29;191,28;53,53;0;
PINNA S.;1540;71;430;132;98;520;6,84;24,47;24,14;44,77;21,73;0;59,38;00:21:41;1,41;2,91;8,6;6,38;33,79;27,92;7;8;38;34;3;34;230,45;51,12;0;
PIREDDA;1425;66;229;73;62;383;5,97;17,4;0;19,02;10,89;0;16,32;00:21:41;0,76;1,33;5,1;4,35;26,9;16,08;1;1;18;17;0;17;208,46;39,95;0;
PISANO;1527;70;470;170;124;592;7,11;30,42;57,58;62,63;39,53;0;100,03;00:21:41;2,59;4,1;11,14;8,1;38,77;30,76;11;13;51;37;4;37;201,86;57,83;0;
QUARANTA;1595;74;406;162;132;626;7,33;28,75;0;57,4;32,23;0;40,59;00:21:41;2,02;3,6;10,13;8,27;39,22;25,44;4;12;55;45;0;45;301,52;58,66;0;
RAGATZU;1472;68;206;91;39;321;6,09;15,9;0;29,6;7,49;0;15,91;00:21:41;0,51;2,01;6,16;2,65;21,81;13,99;2;6;28;10;0;10;187,52;35,89;0;
SENESI;1544;72;251;80;60;389;6,63;18,42;0;29,37;15,8;0;15,29;00:21:21;1,02;1,9;5,18;3,91;25,19;16,27;1;2;17;16;0;16;208,69;39,15;0;
TETTEH;1508;70;168;82;67;372;6,35;17,97;0;23,74;13,72;0;10,5;00:21:41;0,91;1,57;5,41;4,42;24,69;11,15;0;2;16;18;0;18;150,6;38,11;0;
