;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;4316;94;629;237;213;1043;8,82;20,49;80,99;86,11;71,45;0;114,74;00:45:46;1,68;2,04;5,56;4,95;23,77;14,16;16;9,7;42,9;55,3;5,7;55,3;373,77;38,28;0;
COTALI;4782;95;643;259;233;1108;8,87;20,67;54,94;100,03;74,06;0;116,33;00:50:19;1,55;2,09;5,42;4,88;23,16;13,45;21;13;53;65;6;65;378,23;37,82;0;
DAMETTO;4043;80;408;204;180;830;7,4;19,05;63,76;75,69;63,12;0;77,78;00:50:19;1,56;1,87;5,04;4,45;20,52;10,1;18;6;32;60;3;60;252,79;34,04;0;
FEOLA;5250;104;846;280;276;1405;9,79;21,08;135,55;93,64;87,37;0;143,51;00:50:17;1,66;1,78;5,33;5,26;26,75;16,1;15;6;44;54;9;54;498,28;41,44;0;
GERONI;3135;89;291;153;131;661;8,13;18,19;0;57,62;38,73;0;44,93;00:35:17;1,24;1,84;4,88;4,17;21,07;9,27;7;4;20;32;0;32;229,82;34,61;0;
IOTTI;4329;86;412;267;213;865;8,07;21,26;36,16;103,51;63,82;0;95,35;00:50:19;1,47;2,39;6,16;4,91;19,98;9,51;19;12;49;54;3;54;240,28;34,62;0;
KOUKO;2384;98;391;179;153;594;9,42;24,79;45,6;70,42;60,39;0;98,84;00:24:26;2,53;2,95;7,49;6,41;24,9;16,38;16;13;51;43;4;43;245,3;42,27;0;
PINNA S.;5092;101;1159;259;248;1546;9,42;20,24;238,6;92,81;89,53;0;170,62;00:50:19;1,76;1,82;5,08;4,87;30,37;22,77;20;14;52;69;16;69;556,66;44,67;0;
PIREDDA;4932;98;691;251;240;1231;9,14;20,37;46,67;97,92;82,19;0;99,57;00:50:17;1,67;1,99;5,08;4,87;24,97;14,01;21;12;40;79;5;79;483,92;39,53;0;
PISANO;4004;80;374;199;167;687;7,25;17,13;89,43;67,72;61,57;0;100,38;00:50:04;1,54;1,69;4,97;4,17;17,17;9,34;8;7;32;35;6;35;159,58;29,22;0;
RAGATZU;5209;113;1076;320;289;1501;10,68;22,16;99,17;101,73;93,74;0;200,11;00:46:07;1,8;1,95;6,15;5,55;28,82;20,65;15;10;56;62;5;62;692,82;44,61;0;
