;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;9110;96;3596;346;251;3781;8,47;14,6;5,6;128,25;84,37;0;105,4;01:35:20;0,93;1,41;3,81;2,75;41,36;38,99;32,58;32,84;109,05;87,37;0,79;87,37;3391,27;54,19;0;
ARRAS;9337;98;4257;368;255;3981;8,69;14,71;28,08;144,08;92,4;0;117,23;01:35:21;0,99;1,54;3,94;2,73;42,63;45,59;36;37;116;90;5;90;4065,38;55,18;0;
BIANCU;8093;85;2113;346;261;3095;7,66;16,59;6,11;130,17;72,55;0;92,5;01:35:20;0,9;1,61;4,28;3,23;38,24;26,11;35;27;97;83;1;83;2015,83;52,78;0;
COTALI;9933;104;4934;370;280;4383;9,22;14,31;0;138,64;86,44;0;155,98;01:35:20;0,87;1,4;3,73;2,82;44,13;49,67;25;39;106;96;0;96;4451,76;56,43;0;
DAMETTO;9151;96;3747;321;237;3834;8,45;13,79;0;114,2;87,76;0;75,1;01:35:20;0,96;1,25;3,51;2,59;41,9;40,95;42;29;105;101;0;101;3638,65;53,97;0;
FEOLA;9807;103;3091;359;265;3683;9,12;14,59;10,02;138,53;85,28;0;110,21;01:35:20;0,87;1,41;3,66;2,7;37,56;31,51;31;32;98;91;1;91;3028,69;50,4;0;
GERONI;8803;92;3628;320;237;3666;8,15;14,09;0;110,93;85,68;0;77,71;01:35:20;0,97;1,26;3,64;2,69;41,64;41,21;36;21;93;80;0;80;3528,21;53,38;0;
IOTTI;9863;103;5011;343;283;4768;9,08;13,43;2,04;115,32;98,8;0;75,37;01:35:21;1;1,17;3,48;2,87;48,34;50,8;32;26;119;96;0;96;4832,67;58,87;0;
KOUKO;9457;99;4847;366;263;4284;8,82;14,88;4,07;134,61;81,56;0;144,39;01:35:20;0,86;1,42;3,87;2,78;45,3;51,26;37;31;111;76;1;76;4364,04;58,12;0;
MARONGIU;9571;100;4212;397;246;4003;8,91;14,7;0;150,87;73,01;0;147,71;01:35:20;0,76;1,58;4,15;2,58;41,82;44,01;37;41;117;83;0;83;3878,81;55,66;0;
MURGIA;8887;93;3473;329;227;3598;8,23;14,09;1,34;120,82;74,79;0;90,53;01:35:20;0,84;1,36;3,71;2,55;40,49;39,08;29;41;111;78;0;78;3383,51;53,75;0;
MURONI;10001;105;5057;381;268;4511;9,31;14,63;23,71;144,67;103,85;0;131,93;01:35:20;1,04;1,45;3,81;2,68;45,1;50,57;38;47;129;96;2;96;4644,04;57,27;0;
OGUNSEYE;9194;96;3849;375;267;3925;8,65;15,93;0;144,49;85,14;0;118,2;01:35:21;0,93;1,57;4,08;2,91;42,68;41,86;41;35;107;102;0;102;3688,59;56,45;0;
OLIVEIRA;8878;93;3705;346;273;3779;8,31;15,25;2,74;124,99;111,49;0;95,71;01:35:20;1,26;1,41;3,89;3,07;42,56;41,73;41;32;118;101;1;101;3529,59;54,79;0;
PENNINGTON;9583;101;3880;325;241;3831;8,86;13,88;0;123,83;79,43;0;80,02;01:35:20;0,83;1,29;3,39;2,51;39,98;40,49;21;30;112;81;0;81;3734,77;52,73;0;
PINNA S.;9227;97;3580;389;296;3836;8,69;16,05;4,06;138,02;96,63;0;153,79;01:35:20;1,05;1,5;4,22;3,21;41,57;38,8;37;35;128;105;0;105;3342,15;55,34;0;
PISANO;8046;84;1917;302;200;3018;7,44;13,85;14,06;122,54;75,99;0;88,85;01:35:20;0,94;1,52;3,75;2,49;37,51;23,83;35;32;102;75;2;75;1829,25;50,09;0;
RAGATZU;8215;86;1797;355;249;2978;7,66;14,89;0;116,68;62,63;0;85,94;01:35:20;0,76;1,42;4,32;3,03;36,25;21,88;8;34;115;69;0;69;1721,89;50,16;0;
SENESI;8456;89;3562;273;171;3507;7,73;12,62;3,46;107,38;68,37;0;90,69;01:35:20;0,81;1,27;3,23;2,02;41,48;42,12;27;31;90;64;1;64;3272,83;53,2;0;
VISPO;8590;90;1666;317;245;3154;8,03;15,11;6,73;115,95;81,29;0;70,69;01:35:20;0,95;1,35;3,69;2,85;36,72;19,39;31;24;98;93;1;93;1483,52;51,04;0;
