;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;4818;104;833;282;267;1385;9,9;22,62;87,26;93,25;94,89;0;133,73;00:46:11;1,97;1,94;5,85;5,55;28,67;17,26;25,7;12,6;56,7;79,8;5,7;79,8;513,56;43,89;0;
BIANCU;5128;111;825;279;262;1490;10,34;20,85;46,8;96,14;80,22;0;94,06;00:46:22;1,56;1,87;5,45;5,12;29,05;16,1;16;13;56;70;2;70;622,86;45,02;0;
COTALI;5048;109;1003;302;257;1464;10,24;21,49;208,03;87,69;87,96;0;194,7;00:46:22;1,74;1,74;5,98;5,09;29;19,88;20;7;53;64;8;64;522,38;43,47;0;
DAMETTO;4431;96;718;258;257;1241;9,11;23,14;87,01;87,3;98,09;0;139,58;00:46:22;2,21;1,97;5,83;5,8;28;16,21;33;10;54;91;6;91;358,31;43,23;0;
FEOLA;5145;111;931;333;320;1589;10,75;25,19;37,95;116,17;111,16;0;139,89;00:46:22;2,16;2,26;6,47;6,23;30,89;18,1;30;21;65;95;4;95;587,44;47,21;0;
GERONI;5248;113;918;294;299;1656;10,76;22,88;58,26;91,09;107,89;0;106,69;00:46:22;2,06;1,74;5,6;5,7;31,55;17,49;31;12;57;82;3;82;649,01;46,62;0;
KOUKO;4566;99;934;309;262;1325;9,47;23,62;162,07;100,45;89,81;0;188,64;00:46:08;1,97;2,2;6,76;5,75;29,03;20,45;28;14;64;74;12;74;443,72;45,15;0;
OGUNSEYE;4649;101;945;259;243;1313;9,45;21,21;53,79;86,32;73;0;123,54;00:46:08;1,57;1,86;5,56;5,22;28,24;20,33;13;14;57;73;5;73;647,46;43,34;0;
OLIVEIRA;4463;97;711;277;281;1296;9,47;25,52;124,35;97,52;121,03;0;126,03;00:45:47;2,71;2,19;6,2;6,3;29,04;15,94;34;13;55;95;9;95;427,88;44,42;0;
PIREDDA;4973;109;784;290;298;1417;10,36;23,25;69,85;92,44;121,41;0;136,58;00:45:47;2,44;1,86;5,84;5,99;28,5;15,76;35;11;53;100;5;100;511,5;43,6;0;
PISANO;4534;98;557;216;193;1059;9,05;19,06;24,53;77,33;58,32;0;87,55;00:46:08;1,29;1,71;4,77;4,26;23,37;12,3;17;11;53;54;3;54;365,1;36,84;0;
