;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;2926;50;208;219;189;585;4,88;25,19;5,52;84,21;70,11;0;65,61;00:58:19;2,36;2,85;7,4;6,41;20,01;7,1;24,79;19,11;77,21;77,63;0,58;77,63;161,02;35,82;0;
ARRAS;3321;58;324;278;228;682;5,71;27,96;18,08;103,22;89,25;0;108,85;00:57:38;2,69;3,11;8,36;6,88;20,53;9,76;38;21;99;97;2;97;226,86;37,32;0;
BIANCU;2856;50;108;215;185;530;4,8;25,27;0;77,84;63,81;0;38,05;00:57:38;2,23;2,73;7,54;6,48;18,57;3,77;21;16;78;92;0;92;85,84;34,16;0;
COTALI;2287;40;116;154;132;397;3,78;22,31;0;67,39;38,97;0;32,92;00:57:15;1,7;2,95;6,72;5,77;17,34;5,06;15;19;54;47;0;47;106,99;31,86;0;
DAMETTO;3040;53;192;254;225;624;5,26;28,77;4,81;111,96;89,02;0;91,26;00:57:38;2,93;3,68;8,36;7,41;20,53;6,31;32;28;92;102;1;102;137,51;38,24;0;
FEOLA;3213;56;160;238;207;567;5,46;24,9;0;91,14;75,92;0;56,36;00:56:56;2,36;2,84;7,4;6,44;17,65;4,98;20;12;79;83;0;83;144,03;32,68;0;
IOTTI;3304;53;312;296;235;732;5,37;29,78;22,34;121,15;104,85;0;122,63;01:01:47;3,17;3,67;8,96;7,11;22,16;9,45;41;29;108;94;2;94;206,54;40,13;0;
LEVERBE;3168;51;244;230;213;606;4,98;25,88;12,01;83,87;76,44;0;73,39;01:01:59;2,41;2,65;7,26;6,72;19,14;7,7;28;26;97;71;2;71;150,73;34,3;0;
MANCA NICOLA;2627;46;109;177;164;464;4,4;23,75;0,68;64,37;60,61;0;42,4;00:57:11;2,31;2,45;6,75;6,24;17,65;4,15;18;12;63;61;0;61;93,77;32,03;0;
MURGIA;2451;40;134;183;175;496;3,87;26,43;0;64,68;69,58;0;37,19;01:01:59;2,84;2,64;7,45;7,13;20,22;5,46;30;11;58;83;0;83;108,02;36,24;0;
MURONI;2678;43;106;179;163;496;4,15;23,56;0;61,62;62,02;0;33,16;01:01:42;2,32;2,3;6,67;6,08;18,53;3,95;17;12;60;79;0;79;89,45;33,61;0;
OGUNSEYE;3122;50;183;254;203;560;4,9;25,77;0;107,25;70,46;0;74,39;01:01:59;2,26;3,43;8,15;6,52;17,93;5,85;19;23;79;73;0;73;156,36;34,49;0;
OLIVEIRA;3149;51;210;269;226;684;5,04;28,27;0;107,5;90,08;0;62,47;01:01:59;2,86;3,41;8,55;7,17;21,72;6,66;39;18;94;99;0;99;182,02;38,62;0;
PENNINGTON;3240;61;177;207;206;648;5,89;24,07;0;78,65;66,7;0;57,06;00:52:48;2,06;2,43;6,4;6,37;19,99;5,45;16;22;83;67;0;67;150,04;35,6;0;
PINNA S.;2426;39;179;174;142;439;3,73;22,93;12,57;66,25;45,53;0;58,87;01:01:51;1,88;2,73;7,17;5,84;18,08;7,39;22;16;63;57;2;57;119,06;33,16;0;
PIREDDA;2541;52;429;94;92;822;4,59;14,91;0;28,42;28,25;0;14,42;00:49:16;1,11;1,12;3,69;3,62;32,34;16,89;9;9;35;32;0;32;394,13;44,77;0;
PISANO;3125;51;237;225;187;537;4,89;24,28;1,41;81,52;71,78;0;79,58;01:01:28;2,3;2,61;7,19;5,98;17,17;7,57;20;19;74;71;0;71;194,99;32,52;0;
RAGATZU;2758;52;189;204;168;531;4,98;23,25;14,2;73,1;47,28;0;53,94;00:52:48;1,71;2,65;7,41;6,08;19,26;6,86;14;14;65;77;1;77;149,35;34,49;0;
SENESI;3103;54;281;264;210;608;5,36;27,65;18,75;104,73;86,02;0;117,04;00:57:11;2,77;3,37;8,52;6,77;19,58;9,06;34;30;95;82;1;82;177,82;36,79;0;
VISPO;3178;56;270;258;230;696;5,58;28,8;0;105,42;95,54;0;92,59;00:56:49;3,01;3,32;8,1;7,23;21,89;8,49;38;26;91;108;0;108;185,77;39,65;0;
