;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;7647;79;653;447;407;1617;7,44;21,55;27,42;157,48;139,95;0;128,59;01:36:45;1,83;2,06;5,85;5,31;21,07;8,52;46,16;31,68;130,26;156,16;2,63;156,16;481,61;35,55;0;
BIANCU;8076;83;657;470;443;1807;7,83;21,64;0;160,89;136,57;0;107,19;01:37:10;1,69;1,99;5,82;5,48;22,38;8,14;45;28;114;170;0;170;509,1;36,86;0;
COTALI;7192;74;792;390;338;1510;6,82;19,1;32,6;129,83;99,42;0;120,98;01:37:10;1,38;1,81;5,42;4,7;20,99;11,01;28;22;104;127;4;127;566,27;34,58;0;
DAMETTO;7373;76;434;437;381;1401;7,1;20,86;3,38;153,9;121,61;0;92,13;01:37:10;1,65;2,09;5,93;5,17;19;5,89;44;20;136;170;0;170;370,77;33,58;0;
FEOLA;8127;84;612;420;415;1641;7,8;20,53;30,64;144,94;143,93;0;110,69;01:37:10;1,77;1,78;5,17;5,11;20,19;7,54;38;21;87;140;3;140;440,14;33,64;0;
IOTTI;7618;78;623;455;408;1608;7,4;21,97;33,57;151,45;144,76;0;129,27;01:37:10;1,9;1,99;5,97;5,35;21,1;8,18;37;28;125;122;2;122;462,74;35,48;0;
LEVERBE;7537;78;592;463;424;1526;7,36;22,56;45,68;160,9;146,4;0;148,44;01:37:10;1,94;2,13;6,14;5,62;20,25;7,85;51;30;142;152;6;152;411,55;35,01;0;
MANCA NICOLA;6605;68;586;399;380;1281;6,43;22,27;18,83;144,92;129,06;0;124,64;01:37:10;1,95;2,19;6,05;5,75;19,39;8,87;49;36;135;147;2;147;412,57;33,4;0;
MURGIA;7949;82;626;402;415;1824;7,63;20,5;11,57;131,68;128,25;0;93,51;01:37:10;1,61;1,66;5,06;5,23;22,94;7,87;49;24;99;175;2;175;549,77;37,5;0;
MURONI;8013;82;458;437;364;1599;7,69;20,5;5,51;168,25;131,49;0;100,86;01:37:10;1,64;2,1;5,45;4,54;19,95;5,72;50;35;144;158;1;158;375,99;34,19;0;
OLIVEIRA;7865;81;754;519;511;2034;7,81;24,66;8,84;182,04;183,93;0;122,57;01:37:10;2,34;2,31;6,59;6,5;25,86;9,58;66;36;152;199;1;199;625,16;41,81;0;
PENNINGTON;8579;88;699;439;433;1877;8,26;20,84;9,03;146,42;160,67;0;97,02;01:37:10;1,87;1,71;5,12;5,05;21,87;8,15;55;35;145;158;1;158;575,8;35,97;0;
PINNA S.;7678;79;937;416;387;1641;7,36;20,29;109,94;150,32;126,46;0;170,24;01:37:10;1,65;1,96;5,42;5,04;21,37;12,2;47;40;125;162;9;162;560,28;35,08;0;
PISANO;6689;69;405;353;301;1114;6,34;18,91;11,24;125,78;99,91;0;79,9;01:37:10;1,49;1,88;5,28;4,5;16,65;6,06;25;26;118;110;1;110;319,87;29,18;0;
RAGATZU;7912;81;834;467;391;1653;7,61;20,82;34,14;165,38;127,7;0;186,77;01:37:10;1,61;2,09;5,91;4,94;20,89;10,53;49;38;133;155;5;155;499,42;35,44;0;
SENESI;7762;80;944;503;446;1724;7,63;23,45;82,1;175,11;174;0;215,36;01:37:10;2,24;2,26;6,48;5,74;22,22;12,16;47;38;139;157;5;157;645,79;37,52;0;
SILENZI;7760;87;658;521;467;1703;8,41;25,06;39,33;201,26;187,7;0;169,52;01:29:21;2,42;2,59;6,72;6,02;21,94;8,48;53;31;125;171;5;171;482,83;37,85;0;
SONG ;7266;75;512;408;387;1489;7,01;21,13;0;137,7;145,21;0;113,08;01:37:10;2;1,9;5,61;5,33;20,5;7,05;44;27;120;151;0;151;410,56;34,84;0;
VALLOCCHIA;7799;80;874;541;459;1847;7,68;23,62;41,9;201,01;159,43;0;168,35;01:37:10;2,04;2,58;6,93;5,88;23,69;11,21;59;54;189;192;3;192;601,41;39,71;0;
VISPO;7498;77;409;455;376;1441;7,21;20,75;2,69;160,45;112,54;0;92,73;01:37:10;1,5;2,14;6,06;5,01;19,21;5,45;41;33;143;151;0;151;330,66;33,7;0;
