;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;739;61;39;54;48;151;5,99;25,87;0;21,67;16,28;0;11,36;00:12:17;2,2;2,94;7,31;6,53;20,37;5,32;5,74;4,95;20,42;21,58;0;21,58;35,16;36,66;0;
BIANCU;648;42;27;45;40;115;4,07;24,69;0;17,42;12,82;0;7,24;00:15:22;1,98;2,69;6,97;6,13;17,69;4,15;5;2;14;19;0;19;23,48;33,11;0;
COTALI;805;52;39;54;44;155;4,96;22,31;0;21,42;11,19;0;13,38;00:15:22;1,39;2,66;6,68;5,42;19,21;4,87;4;2;18;18;0;18;23,52;34,24;0;
DAMETTO;810;53;17;45;44;135;4,89;19,82;0;17,89;15,02;0;4,87;00:15:22;1,85;2,21;5,58;5,42;16,67;2,1;5;5;15;17;0;17;17;29,99;0;
FEOLA;774;71;55;54;57;167;6,99;26,59;0;22,39;16,75;0;13,2;00:10:51;2,16;2,89;6,99;7,31;21,52;7,17;3;6;17;21;0;21;55,49;37,41;0;
GERONI;650;60;37;45;41;138;5,84;25,85;0;18,86;14,03;0;9;00:10:51;2,16;2,9;6,84;6,28;21,16;5,66;3;2;16;12;0;12;25,57;37,62;0;
IOTTI;756;61;57;46;49;162;5,87;24,54;0;18,03;16,24;0;9,93;00:12:25;2,15;2,38;6,12;6,44;21,46;7,56;6;4;14;19;0;19;55,48;37,06;0;
LEVERBE;678;55;27;49;41;110;5,23;23,58;0;20,54;11,24;0;8,17;00:12:25;1,66;3,03;7,2;5,98;16,26;3,92;4;6;23;17;0;17;21,98;31,84;0;
MANCA NICOLA;653;66;21;49;46;120;6,49;27,08;0;20,39;16,48;0;9,87;00:09:53;2,52;3,12;7,55;7,12;18,32;3,22;5;4;20;18;0;18;21,01;34,84;0;
MURGIA;634;61;38;53;53;149;6,33;33,14;0;21,72;20,97;0;15,42;00:10:18;3,31;3,43;8,42;8,29;23,51;6,04;9;5;18;32;0;32;30,89;42,47;0;
MURONI;650;63;42;57;41;151;6,31;29,28;0;21,83;18,68;0;14,13;00:10:18;2,87;3,36;8,77;6,34;23,19;6,45;10;5;21;17;0;17;41,37;41,8;0;
OLIVEIRA;1264;55;68;101;93;282;5,41;28,16;0;42,96;33,34;0;17,69;00:23:10;2,64;3,4;7,98;7,35;22,31;5,41;10;10;38;53;0;53;62,51;38,87;0;
PENNINGTON;695;62;5;44;39;140;5,87;21,71;0;16;11,4;0;2,34;00:11:09;1,64;2,3;6,28;5,55;20,16;0,65;2;2;19;14;0;14;4,54;34,84;0;
PINNA S.;670;70;67;54;55;162;7,06;29,76;0;20,67;18,2;0;17,22;00:09:31;2,72;3,09;7,99;8,26;24,15;9,94;7;7;23;25;0;25;63,76;42,53;0;
RAGATZU;793;66;57;65;54;181;6,46;25,62;0;27,31;13,46;0;13,87;00:11:56;1,7;3,44;8,14;6,78;22,77;7,2;4;5;26;22;0;22;54,8;40,09;0;
SENESI;578;61;5;40;28;91;5,88;23,98;0;16,46;11,48;0;4,38;00:09:26;1,98;2,84;6,83;4,84;15,66;0,94;7;5;17;14;0;14;5,45;31,05;0;
SILENZI;976;64;34;67;57;171;6,1;23,98;0;22,61;22,32;0;12,11;00:15:22;2,29;2,32;6,91;5,88;17,51;3,52;7;2;20;25;0;25;34,4;31,66;0;
SONG ;720;70;56;57;52;165;6,81;25,96;0;22,97;14,12;0;10,68;00:10:18;1,96;3,19;7,89;7,16;22,88;7,78;4;6;26;25;0;25;56,06;39,78;0;
VALLOCCHIA;646;65;46;56;44;139;6,55;29,59;0;23,48;18,69;0;17,18;00:09:53;2,89;3,63;8,6;6,74;21,45;7,08;9;12;27;20;0;20;27,62;39,66;0;
VISPO;643;68;47;46;44;136;6,65;25,95;0;18,74;12,88;0;15,07;00:09:25;2;2,92;7,22;6,77;21,1;7,33;5;4;16;22;0;22;43,15;37,76;0;
