;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1632;40;87;105;94;255;3,84;22,81;1,6;42,98;36,5;0;30,81;00:40:22;2,23;2,62;6,44;5,74;15,59;5,3;13,21;12,89;40,68;41,53;0,21;41,53;71,88;30,12;0;
BIANCU;1351;34;24;65;54;142;3,04;17,15;0;24,62;22,47;0;11,25;00:40:19;1,66;1,82;4,79;3,98;10,53;1,79;5;7;27;27;0;27;24,25;21,11;0;
COTALI;2072;51;93;126;109;316;4,81;22,77;1,35;52,48;46,3;0;36,5;00:40:53;2,23;2,53;6,09;5,27;15,25;4,48;14;15;50;40;0;40;75,97;29,66;0;
DAMETTO;1306;35;41;80;71;181;3,31;21,91;0;31,57;28,44;0;17,82;00:37:13;2,18;2,42;6,1;5,44;13,89;3,12;16;8;34;32;0;32;34,51;27,29;0;
DELVECCHIO;1471;36;106;79;76;237;3,4;22,09;0;34,6;35,11;0;21,23;00:40:50;2,39;2,35;5,37;5,19;16,13;7,23;19;14;33;32;0;32;85,8;30,37;0;
FEOLA;1899;47;36;120;93;211;4,4;21,52;0;43,36;34,42;0;19,66;00:40:36;1,81;2,28;6,33;4,91;11,12;1,91;11;10;44;50;0;50;34,61;23,51;0;
GERONI;1537;39;104;105;82;256;3,69;21,91;0;41,84;21,85;0;36,2;00:39:17;1,42;2,72;6,81;5,31;16,67;6,77;8;10;35;31;0;31;97,46;32,35;0;
IOTTI;1808;44;181;137;134;362;4,32;27,79;6,18;63,73;54,15;0;68,6;00:41:24;3;3,53;7,58;7,41;20,01;9,99;18;23;50;47;1;47;130,47;37,95;0;
MANCA NICOLA;1844;45;80;127;110;303;4,3;23,17;3,57;50,66;39,26;0;41,16;00:40:56;2,13;2,75;6,86;5,94;16,45;4,35;12;17;49;43;1;43;42,19;31,28;0;
MURGIA;1282;32;70;82;81;217;3,03;21,85;11,08;33,32;32,19;0;25,71;00:39:50;2,51;2,6;6,39;6,29;16,92;5,48;9;12;32;36;1;36;47,82;31,93;0;
MURONI;1764;44;117;108;103;313;4,25;23,88;0;44,6;45,3;0;34,31;00:39:48;2,57;2,53;6,14;5,84;17,74;6,66;14;17;40;48;0;48;110,55;33,45;0;
OLIVEIRA;1588;37;80;112;106;272;3,56;23,85;0;42,06;37,23;0;26,3;00:42:48;2,34;2,65;7,02;6,71;17,14;5,04;13;10;42;51;0;51;72,02;32,11;0;
PENNINGTON;1585;40;120;91;84;254;3,77;21,01;1,35;33,45;31,52;0;28,08;00:39:22;1,99;2,11;5,77;5,29;16,02;7,56;13;6;28;36;0;36;100,64;30,06;0;
PINNA S.;1653;40;150;121;112;297;3,96;26,52;6,24;51,67;49,73;0;51,59;00:40:51;3,01;3,13;7,3;6,79;17,99;9,06;21;16;47;59;1;59;122,51;34,46;0;
PISANO;1682;41;37;93;76;176;3,84;19,9;0;39,42;29,77;0;24,74;00:40:39;1,77;2,34;5,5;4,53;10,47;2,21;11;11;35;44;0;44;30,2;22,84;0;
RAGATZU;1642;40;73;112;91;221;3,74;21,45;0;43,06;31,08;0;21,11;00:41:18;1,89;2,62;6,79;5,56;13,44;4,47;12;10;42;41;0;41;71,66;25,96;0;
SILENZI;1607;40;49;115;100;233;3,94;26,08;0;51,58;39,68;0;31,22;00:39:46;2,47;3,21;7,17;6,21;14,49;3,06;18;21;43;42;0;42;49,2;30,62;0;
SONG ;1530;38;102;101;99;262;3,71;25,05;0,68;40,74;43,2;0;32,91;00:39:52;2,82;2,66;6,59;6,44;17,14;6,68;15;14;39;46;0;46;83,45;32,53;0;
VALLOCCHIA;1580;38;56;113;95;269;3,62;22,9;0;47,02;29,9;0;23,34;00:41:33;1,89;2,98;7,16;6;17,04;3,53;9;14;56;36;0;36;44,19;32,46;0;
VISPO;1800;45;130;119;108;320;4,28;22,68;0;46,8;41,89;0;33,58;00:39:53;2,33;2,6;6,64;5,98;17,77;7,24;13;10;47;48;0;48;108,26;32,31;0;
