;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;4496;54;291;341;285;803;5,22;24,34;23,93;134,38;98,85;0;79,72;01:22:45;2,21;3;7,62;6,37;17,89;6,56;31,8;35,93;132,33;117,67;2,13;117,67;192,78;32,74;0;
BIANCU;5075;60;359;367;312;925;5,72;22,78;1,4;136,52;90,59;0;76,45;01:24:16;1,78;2,69;7,23;6,15;18,22;7,07;27;25;121;120;0;120;285,9;32,8;0;
CETER;4387;52;281;395;327;779;5,15;27,79;24,26;167,42;121,72;0;106,76;01:24:15;2,77;3,82;9;7,46;17,77;6,41;40;46;167;143;3;143;164,84;34,38;0;
COTALI;4430;53;333;302;229;740;4,91;20,64;42,99;111,76;67,11;0;74,81;01:24:16;1,51;2,52;6,82;5,18;16,69;7,51;17;29;113;73;4;73;166,83;30,01;0;
CUSUMANO;4540;54;95;358;280;671;5,16;23,72;0;136,86;101,36;0;43,84;01:24:15;2,23;3,01;7,89;6,16;14,78;2,09;29;35;131;101;0;101;75,46;28,66;0;
MARTINIELLO;4091;49;194;331;266;653;4,7;24,91;6,88;134,7;93,7;0;53,16;01:24:07;2,29;3,29;8,09;6,5;15,96;4,74;29;34;122;102;1;102;155,7;30,27;0;
MASTINO;4547;54;372;381;346;968;5,37;28,61;51,64;158,53;138,51;0;112,66;01:24:16;3,05;3,49;8,38;7,62;21,28;8,19;57;45;175;170;6;170;214,32;37,82;0;
MURONI;4987;59;191;368;296;835;5,71;24,75;3,37;149,41;110,29;0;66,55;01:24:21;2,21;3;7,38;5,94;16,73;3,83;39;38;147;136;0;136;164,62;31,76;0;
PENNINGTON;5626;67;359;385;325;1089;6,37;23,47;3,45;147,5;118,28;0;71,52;01:24:25;2,1;2,62;6,84;5,78;19,35;6,38;45;53;156;126;0;126;312,5;34,08;0;
PINNA S.;4153;49;342;266;231;710;4,63;21,63;93,84;94,79;89,13;0;85,61;01:24:25;2,15;2,28;6,4;5,57;17,1;8,23;33;22;95;100;6;100;161,35;29,5;0;
PISANO;4490;53;84;322;271;594;5,03;22,02;2,03;123,61;88,67;0;52,34;01:24:20;1,97;2,75;7,17;6,04;13,22;1,87;23;37;120;112;0;112;57,33;26,75;0;
PITZALIS;4509;53;295;347;295;852;5,16;24,8;13,19;139,94;100,05;0;68,84;01:24:25;2,22;3,1;7,69;6,55;18,89;6,54;32;44;134;121;2;121;211,84;34,39;0;
RAGATZU;4268;51;371;325;256;773;4,83;23,5;13,01;123,8;95,38;0;97,04;01:24:25;2,23;2,9;7,62;6;18,11;8,7;27;28;126;110;2;110;235,95;32,88;0;
RUSSU;3910;54;381;298;279;823;5,29;26,34;70,49;116,97;98,86;0;117,35;01:12:17;2,53;2,99;7,61;7,14;21,05;9,73;28;26;110;128;6;128;181,55;36,75;0;
SENESI;4681;55;351;347;272;857;5,29;23,22;19,33;142,49;76,89;0;83,95;01:24:25;1,64;3,04;7,42;5,82;18,3;7,51;27;47;155;104;1;104;265,19;34,09;0;
TETTEH;3747;51;357;331;288;784;5,05;26,89;13,13;131,41;92,23;0;84,98;01:12:55;2,46;3,51;8,84;7,68;20,91;9,52;24;30;113;119;1;119;238,34;37,03;0;
