;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;561;67;15;56;50;110;6,91;31,49;0;22,1;20,49;0;8,63;00:08:19;3,47;3,83;9,76;8,68;18,44;2,52;8;6,06;23,75;25,81;0;25,81;14,24;34,16;0;
BIANCU;464;56;4;44;32;48;5,39;24,82;0;15,96;10,47;0;3,32;00:08:19;2,25;3,44;9,37;6,88;10,43;0,82;5;4;20;16;0;16;3,8;22,22;0;
CETER;597;72;5;47;44;113;7;26,06;0;16,56;14,76;0;6,09;00:08:19;2,47;2,77;7,88;7,44;18,91;0,79;2;5;23;20;0;20;4,72;34,63;0;
COTALI;631;76;12;59;54;144;7,68;30,98;0;25,29;21,2;0;7,88;00:08:19;3,36;4,01;9,42;8,62;22,78;1,87;7;8;30;24;0;24;11,79;39,82;0;
CUSUMANO;396;48;0;33;29;23;4,5;22,26;0;10,77;8,46;0;0,44;00:08:19;2,13;2,72;8,44;7,37;5,76;0;2;1;15;18;0;18;0;13,14;0;
MARTINIELLO;527;63;10;57;46;94;6,69;36,61;0;27,54;20,65;0;10,4;00:08:19;3,92;5,23;10,74;8,82;17,88;1,92;6;9;21;20;0;20;10,11;35,29;0;
MASTINO;679;81;7;70;62;138;8,5;34,74;0;28,56;28,54;0;10,81;00:08:19;4,21;4,21;10,29;9,19;20,36;1,1;11;6;42;33;0;33;7,43;38,52;0;
MURONI;548;66;0;39;32;41;6,16;20,98;0;12,36;9,94;0;2,75;00:08:19;1,81;2,26;7,05;5,89;7,46;0,08;2;1;11;13;0;13;0,45;16,64;0;
PENNINGTON;677;81;44;72;71;166;8,7;38,22;0;28,68;31,39;0;18,55;00:08:19;4,63;4,23;10,59;10,42;24,5;6,54;14;7;24;39;0;39;40,37;43,73;0;
PINNA S.;594;71;49;72;59;159;7,54;36,52;0;27,26;24,83;0;16,44;00:08:19;4,18;4,59;12,18;9,99;26,69;8,3;13;6;31;30;0;30;39,48;46,25;0;
PISANO;311;37;0;18;12;8;3,3;14,42;0;6,33;2,09;0;0;00:08:19;0,67;2,04;5,9;3,76;2,5;0;0;0;7;0;0;0;0;7,08;0;
PITZALIS;660;79;14;72;69;163;8,5;38,6;0;30,6;31,04;0;14,17;00:08:19;4,7;4,64;10,93;10,42;24,64;2,11;11;10;26;35;0;35;13,9;44,92;0;
RAGATZU;504;61;11;45;40;92;6,01;28,25;0;16,06;14,58;0;4,7;00:08:19;2,89;3,18;8,91;7,93;18,29;2,13;5;8;20;24;0;24;10,72;33,16;0;
RUSSO;652;78;21;70;77;183;8,57;41,53;0;30,75;35,93;0;12,08;00:08:19;5,51;4,72;10,72;11,85;28,04;3,23;18;7;27;51;0;51;21,08;48,28;0;
SENESI;577;69;24;65;55;118;7,29;35,88;0;28,54;20,44;0;12,36;00:08:19;3,54;4,94;11,28;9,5;20,35;4,22;7;11;27;24;0;24;24,34;39,7;0;
TETTEH;603;72;8;70;61;129;7,54;34,61;0;25,41;25,3;0;6,58;00:08:19;4,2;4,22;11,58;10,19;21,39;1,31;11;6;26;32;0;32;7,9;38,62;0;
VALLOCCHIA;553;66;33;61;59;139;7,17;39,36;0;22,9;28,16;0;11,54;00:08:19;5,09;4,14;10,93;10,62;25,15;5,96;14;8;30;34;0;34;31,83;44,58;0;
