;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;3531;38;139;239;173;525;3,53;20,35;0,42;97,08;58,89;0;42,41;01:33:49;1,66;2,73;6,74;4,87;14,79;3,83;17,31;28,12;102,94;73,5;0,06;73,5;119,92;28,06;0;
BIANCU;4048;42;281;287;211;674;3,96;21,33;0;112,86;66,05;0;68,06;01:35:54;1,63;2,79;7,08;5,2;16,65;6,93;22;27;104;96;0;96;250,7;30,91;0;
CETER;3482;36;24;226;162;421;3,34;19,58;0;100,1;59,06;0;28,08;01:36:33;1,7;2,87;6,49;4,65;12,09;0,69;15;27;117;72;0;72;23,94;24,73;0;
COTALI;4082;42;221;272;200;647;3,89;20,33;0;111,24;65,02;0;60,22;01:37:38;1,59;2,73;6,67;4,9;15,86;5,41;15;38;117;86;0;86;175,81;29,32;0;
CUSUMANO;3657;38;108;278;207;597;3,64;22,31;0;110,34;69,41;0;29,79;01:35:14;1,9;3,02;7,59;5,66;16,33;2,96;23;33;117;85;0;85;106,44;30,3;0;
MARTINIELLO;3240;33;51;225;153;382;3,05;20,49;0;87,53;51,66;0;25,23;01:39:12;1,59;2,7;6,95;4,71;11,78;1,56;14;23;86;66;0;66;41,49;23,58;0;
MASTINO;3403;35;159;220;183;572;3,3;22,09;0;89,54;75,13;0;27,96;01:37:29;2,21;2,63;6,46;5,37;16,81;4,66;28;22;103;83;0;83;158,7;30,26;0;
MURONI;4500;46;203;328;236;710;4,34;21,65;0;133,16;88,5;0;59,22;01:37:33;1,97;2,96;7,3;5,25;15,77;4,5;30;48;168;103;0;103;186,85;29,87;0;
PENNINGTON;3363;35;84;229;157;534;3,26;20,39;0;104,38;52,53;0;52,19;01:36:04;1,56;3,1;6,82;4,68;15,87;2,51;16;36;119;65;0;65;56,65;30,44;0;
PINNA S.;3264;34;162;226;161;502;3,19;20,36;0,68;82,34;54,54;0;41,06;01:35:09;1,67;2,52;6,93;4,94;15,38;4,96;16;26;86;66;0;66;134,68;28,73;0;
PISANO;3576;36;94;248;175;498;3,34;20,3;1,35;107,55;56,15;0;41,85;01:39:33;1,57;3,01;6,93;4,89;13,93;2,64;12;30;119;74;0;74;86,7;27,82;0;
PITZALIS;2233;47;48;128;83;317;4,26;16,49;0;45,12;27,53;0;16,02;00:47:12;1,23;2,02;5,73;3,71;14,19;2,15;10;8;49;26;0;26;38,84;25,19;0;
RAGATZU;3776;39;148;228;164;555;3,56;17,88;4,71;84,52;35,75;0;28,87;01:36:51;0,95;2,24;6,05;4,35;14,71;3,92;5;21;101;85;1;85;105,39;26,67;0;
RUSSO;3379;35;184;220;147;493;3,27;19,09;0;80,75;46,73;0;40,54;01:35:21;1,38;2,39;6,52;4,36;14,59;5,45;13;17;93;55;0;55;167,44;27,92;0;
SENESI;3682;38;136;256;184;559;3,54;20,97;0;115,4;64,54;0;48,08;01:37:25;1,75;3,13;6,96;4,99;15,18;3,69;21;37;120;69;0;69;124,26;29,38;0;
TETTEH;3287;34;146;217;160;461;3,18;20,32;0;85,98;56,76;0;39,24;01:36:07;1,73;2,62;6,6;4,88;14,02;4,45;17;24;68;66;0;66;134,18;26,56;0;
VALLOCCHIA;3517;36;170;235;189;475;3,4;21,98;0;102,4;72,87;0;72,07;01:37:43;2,07;2,91;6,69;5,36;13,52;4,82;20;33;80;79;0;79;126,64;27,21;0;
