;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;709;72;70;53;46;154;7,02;24,85;8,13;19,46;17,1;0;16,25;00:09:48;2,34;2,68;7,32;6,36;20,89;9,43;6,27;4,73;18,55;20,27;0,55;20,27;45,01;36;0;
BIANCU;789;80;80;71;68;217;8,24;32,52;0;27,24;26,65;0;18,8;00:09:48;3,38;3,45;9,03;8,6;27,46;10,13;10;6;20;32;0;32;68,04;46,6;0;
COTALI;730;74;98;58;46;171;7,18;24,79;23,61;20,2;14,3;0;24,35;00:09:48;1,96;2,77;7,96;6,34;23,37;13,46;3;7;21;12;3;12;49,59;40,91;0;
CUSUMANO;728;74;59;43;41;150;6,97;21,39;0;12,97;16,11;0;10,41;00:09:48;2,21;1,78;5,9;5,61;20,68;8,06;6;4;18;17;0;17;49,9;35,33;0;
MASTINO;768;78;97;59;56;203;7,9;30,35;30,25;23,77;25,76;0;26,71;00:09:48;3,35;3,1;7,72;7,35;26,42;12,65;12;6;15;31;1;31;47,8;42,51;0;
MURONI;698;71;28;63;52;130;7;27,18;0;21,77;20,14;0;8,8;00:09:48;2,89;3,12;9,05;7,38;18,67;3,99;8;6;25;28;0;28;27,87;34,96;0;
PENNINGTON;870;89;83;38;43;165;8,19;19,34;4,14;11,33;15,79;0;11,27;00:09:48;1,81;1,3;4,42;4,95;18,91;9,52;3;2;9;13;1;13;47,87;30,09;0;
PINNA S.;709;72;93;67;59;197;7,29;30,32;30,8;25,49;21,9;0;32,59;00:09:48;3,09;3,59;9,38;8,38;27,77;13,1;11;7;25;27;1;27;37,68;46,53;0;
PISANO;393;40;0;12;11;10;3,46;11,63;0;3,2;2,79;0;0;00:09:48;0,71;0,81;3;2,83;2,57;0;0;0;5;4;0;4;0;6,38;0;
SENESI;802;82;112;56;42;181;7,81;23,6;0,67;22,51;13,6;0;15,13;00:09:48;1,7;2,81;6,98;5,21;22,55;14,02;4;5;23;16;0;16;72,57;38,54;0;
TETTEH;578;59;57;41;33;113;5,56;22,11;0;15,7;10,47;0;8,7;00:09:48;1,81;2,72;7,04;5,63;19,61;9,8;7;2;18;16;0;16;46,28;34,29;0;
VALLOCCHIA;739;75;67;74;57;161;7,58;30,09;0;29,93;20,59;0;22;00:09:48;2,79;4,05;10,04;7,67;21,76;9,03;5;7;25;27;0;27;47,48;39,89;0;
