;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;2467;89;249;165;152;530;8,55;24,15;24,97;59,19;55,58;0;64,25;00:27:47;2,25;2,38;6,66;6,15;21,37;9,97;16,28;10,7;44,75;53,17;0,64;53,17;159,61;36,82;0;
BIANCU;2790;100;329;174;159;645;9,61;23,75;21,62;70,76;53,08;0;70,34;00:27:48;1,9;2,54;6,23;5,7;23,13;11,79;18;16;42;51;0;51;234,91;39,03;0;
CALIGARA;1663;57;151;104;97;360;5,41;22,78;9,75;30,75;35,9;0;32,96;00:29:13;2,16;1,85;6,26;5,82;21,66;9,1;13;8;27;38;0;38;115,54;36,93;0;
CETER;2600;94;331;183;170;556;9,17;26,04;36,56;78,71;65,05;0;94,95;00:27:39;2,5;3,03;7,03;6,52;21,39;12,74;17;17;53;52;1;52;211,15;37,78;0;
CUSUMANO;2585;93;202;143;160;471;8,93;23,36;0;60,01;58,36;0;42,94;00:27:39;2,26;2,32;5,52;6,21;18,22;7,8;15;8;39;67;0;67;166,57;32,23;0;
IOTTI;2436;88;142;149;146;455;8,32;22,05;18,22;44,73;46,11;0;30,29;00:27:39;1,89;1,84;6,12;5,98;18,66;5,81;10;4;48;48;0;48;103,28;32,03;0;
MARTINIELLO;2315;84;166;195;163;460;8,3;28,15;0;66,43;62,84;0;59,9;00:27:39;2,71;2,87;8,41;7,06;19,88;7,18;18;10;46;58;0;58;128,19;36,37;0;
MURONI;2571;93;87;157;133;429;8,83;22,77;0;61,07;51,27;0;33,45;00:27:39;1,99;2,38;6,1;5,17;16,69;3,4;18;15;62;54;0;54;71,49;31,82;0;
PENNINGTON;2090;74;249;115;122;497;7,05;22,55;10,05;37,15;44,66;0;46,77;00:28:06;2,14;1,78;5,52;5,82;23,76;11,94;13;5;23;38;0;38;175,66;38,99;0;
PINNA S.;2823;103;350;187;172;691;9,87;23,98;37,98;65,24;58,12;0;74,64;00:27:27;2,06;2,31;6,63;6,1;24,46;12,41;17;12;48;64;1;64;192,99;40,84;0;
PISANO;2445;89;324;147;126;523;8,36;21,3;52;54,91;44,57;0;80,86;00:27:27;1,82;2,25;6,02;5,16;21,4;13,27;13;9;33;36;1;36;163,65;35,68;0;
PITZALIS;2939;105;386;189;183;709;10,1;24,24;25,39;66,22;68,62;0;94,73;00:27:58;2,33;2,25;6,44;6,21;24,12;13,14;23;9;47;59;0;59;213,73;40,03;0;
RAGATZU;2150;77;201;152;146;414;7,41;24,36;17,66;49,78;54,37;0;58,35;00:27:56;2,53;2,32;7,05;6,77;19,25;9,35;14;9;37;53;1;53;119,29;34,03;0;
SENESI;2472;85;324;160;142;531;8,05;22,94;80,3;51,9;55,74;0;89,23;00:29:13;2,26;2,1;6,47;5,76;21,46;13,11;15;6;35;47;4;47;180,72;36,34;0;
TETTEH;2591;100;224;178;165;616;9,7;25,27;16,6;65,5;58,29;0;53,23;00:25:54;2,25;2,53;6,87;6,35;23,77;8,65;19;13;57;66;0;66;151,54;40;0;
VALLOCCHIA;2774;101;355;231;212;717;10,05;28,55;41,89;87,46;84,96;0;119,56;00:27:27;3,06;3,15;8,34;7,63;25,87;12,81;25;22;76;73;1;73;222,64;44,1;0;
VERGARA;2288;83;157;175;143;418;7,98;24,62;29,4;59,45;48,82;0;46;00:27:39;2,13;2,6;7,63;6,25;18,27;6,86;13;9;46;49;1;49;103,09;33,08;0;
