;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1753;75;84;156;137;331;7,56;29,5;1,05;62,15;50,23;0;37,18;00:23:15;2,84;3,54;8,89;7,81;18,78;4,77;18,12;14,38;53,94;59,06;0,06;59,06;70,59;35,48;0;
BIANCU;1576;67;71;130;123;284;6,63;27,78;0;50,93;41,6;0;28,34;00:23:30;2,64;3,23;8,26;7,8;18,01;4,48;15;7;40;50;0;50;64,12;33,91;0;
CALIGARA;1769;78;114;157;145;352;7,89;30,56;1,35;61,97;53,56;0;47,43;00:22:40;3,03;3,5;8,9;8,21;19,88;6,43;17;14;55;58;0;58;89,64;37,24;0;
CETER;1646;70;114;162;135;359;7,1;30,42;0;71,8;45,69;0;37,37;00:23:24;2,78;4,36;9,84;8,23;21,78;6,92;13;17;63;59;0;59;101,87;40,47;0;
COTALI;1852;82;105;159;130;375;8,1;28,42;0;61,87;41,22;0;42,61;00:22:43;2,23;3,34;8,58;7;20,24;5,68;18;16;55;50;0;50;79,81;37,6;0;
CUSUMANO;1754;76;24;127;113;223;7,24;23,69;0;41,24;34,79;0;14,25;00:23:10;1,98;2,35;7,25;6,47;12,69;1,38;10;4;40;51;0;51;17,15;25,47;0;
IOTTI;1574;68;36;112;91;201;6,42;22,89;0;41,42;30,24;0;13,55;00:23:19;1,92;2,63;7,08;5,77;12,77;2,28;12;13;37;34;0;34;34,14;24,87;0;
MARTINIELLO;1707;74;92;177;153;332;7,64;33,32;0;72,51;52,08;0;37,54;00:23:03;3,05;4,25;10,37;8,97;19,42;5,38;16;12;66;64;0;64;82,4;37,07;0;
MASTINO;2006;85;131;185;177;467;8,86;35,17;3,39;78,16;79,65;0;57,67;00:23:40;3,97;3,9;9,25;8,84;23,26;6,54;39;27;71;84;0;84;97,77;42,41;0;
MURONI;1769;76;87;192;162;377;7,93;34,82;0;72,87;72,99;0;49,47;00:23:16;4,13;4,12;10,83;9,14;21,33;4,91;31;19;71;79;0;79;73,63;40,03;0;
PENNINGTON;2001;86;49;161;155;372;8,68;30,56;0;63,74;67,62;0;29,64;00:23:17;3,38;3,19;8,04;7,72;18,61;2,46;34;13;61;70;0;70;40,71;35,27;0;
PINNA S.;1814;77;104;144;135;309;7,62;27,61;2,05;61,48;44,23;0;45,29;00:23:30;2,44;3,39;7,91;7,46;17,02;5,73;14;12;51;70;0;70;85,38;32,87;0;
PISANO;1806;79;150;178;156;405;8,09;32,68;10,03;73,74;56,64;0;61,99;00:22:55;3,14;4,08;9,87;8,64;22,39;8,29;17;25;61;63;1;63;117,19;41,4;0;
PITZALIS;1799;77;51;152;138;323;7,64;28,24;0;56,7;50,61;0;30,09;00:23:23;2,81;3,15;8,47;7,65;17,96;2,86;13;9;44;59;0;59;43,36;33,86;0;
RAGATZU;1629;70;90;139;113;307;6,86;26,82;0;58,77;34,25;0;34,79;00:23:17;2,1;3,61;8,51;6,93;18,87;5,51;9;16;51;52;0;52;89,15;35,36;0;
SENESI;1770;75;72;159;137;335;7,52;29,57;0;71,71;52,38;0;36,65;00:23:36;2,96;4,05;8,98;7,75;18,93;4,07;16;15;52;48;0;48;64,53;36,73;0;
TETTEH;1570;67;53;158;131;272;6,74;29,36;0;55,48;46,13;0;28,2;00:23:19;2,94;3,53;10,06;8,35;17,34;3,39;16;11;45;54;0;54;48,59;33,05;0;
