;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;904;67;15;74;42;126;6,31;20,63;0;29,09;10,55;0;7,09;00:13:23;1,14;3,16;8,07;4,6;13,74;1,61;1,07;5,79;26,57;8,07;0;8,07;13,78;27,22;0;
BIANCU;979;69;6;86;44;124;6,41;20,65;0;37,36;10,78;0;7,31;00:14:16;1,1;3,82;8,76;4,46;12,67;0,61;3;7;32;7;0;7;5,99;26,24;0;
CETER;945;68;12;85;50;149;6,5;22,95;0;35,25;15,32;0;5,69;00:13:50;1,62;3,73;9,03;5,32;15,75;1,27;1;3;29;21;0;21;12,04;30,49;0;
CUSUMANO;1004;72;12;92;55;162;6,9;24,11;0;36,34;14,78;0;9,08;00:13:59;1,47;3,62;9,16;5,43;16,16;1,17;1;11;34;11;0;11;11,76;32,24;0;
DAMETTO;995;79;52;108;58;230;7,75;26,86;0;49,46;11,62;0;20;00:12:37;1,17;4,97;10,87;5,88;23,1;5,27;0;14;50;8;0;8;41,4;43,68;0;
IOTTI;790;63;8;53;26;107;5,65;16,32;0;19,49;4,31;0;2,57;00:12:35;0,55;2,47;6,72;3,3;13,53;0,97;0;8;20;1;0;1;7,68;26,12;0;
MARTINIELLO;950;69;16;78;48;133;6,5;22,27;0;30,16;12,41;0;7,29;00:13:50;1,31;3,18;8,24;5,04;13,98;1,65;3;6;30;10;0;10;15,65;26,91;0;
MURONI;943;78;17;64;28;129;7,09;17,22;0;23,47;9,11;0;5,37;00:12:03;0,97;2,49;6,83;2,96;13,64;1,86;0;2;29;5;0;5;16,36;26,03;0;
PENNINGTON;957;72;15;66;36;127;6,56;18,38;0;23,34;9,5;0;6,27;00:13:22;0,99;2,44;6,89;3,8;13,28;1,54;2;6;24;5;0;5;14,74;25,91;0;
PINNA S.;787;62;13;53;32;92;5,73;18,5;0;18;7,65;0;4,34;00:12:36;0,97;2,29;6,78;4,02;11,74;1,67;0;4;10;4;0;4;13,14;23,46;0;
PISANO;728;58;2;43;28;64;5,19;16,14;0;16,22;5,88;0;0,51;00:12:36;0,81;2,23;5,92;3,86;8,73;0,31;0;2;10;4;0;4;2,28;17,89;0;
PITZALIS;966;63;6;68;43;108;5,8;19,46;0;26,9;10,25;0;5,61;00:15:23;1,06;2,79;7,03;4,47;11,15;0,57;1;4;18;6;0;6;5,51;22,84;0;
SENESI;957;69;40;76;48;130;6,51;22,62;0;32,34;16,49;0;13,09;00:13:56;1,72;3,38;7,92;5,01;13,55;4,16;3;8;36;11;0;11;31,79;28,18;0;
TETTEH;978;69;14;103;61;143;6,58;23,9;0;39,46;13,81;0;11,14;00:14:16;1,41;4,03;10,51;6,19;14,6;1,4;1;5;36;15;0;15;13,73;29,85;0;
VERGARA;683;56;1;57;32;72;5,18;19,47;0;19,44;5,86;0;1,05;00:12:11;0,86;2,85;8,34;4,7;10,47;0,13;0;1;14;5;0;5;0,9;21,29;0;
