;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;3038;60;103;223;165;497;5,63;22,08;3,34;85,01;55,63;0;35,13;00:50:59;1,81;2,81;7,35;5,38;16,18;3,36;17,64;21,29;98,86;74,64;0,07;74,64;81,57;30,31;0;
BIANCU;3498;69;88;281;220;692;6,65;25,09;0;111,63;69,02;0;41,78;00:50:57;1,97;3,19;8,05;6,28;19,79;2,52;26;29;117;102;0;102;88,08;36,5;0;
CETER;3084;60;89;231;152;466;5,62;21,88;0;83,54;53,87;0;29,7;00:51:45;1,75;2,71;7,49;4,92;15,11;2,89;17;21;109;64;0;64;76,18;29,35;0;
CUSUMANO;3197;62;68;200;158;448;5,75;20,55;0;76,03;55,47;0;26,82;00:51:52;1,74;2,38;6,25;4,95;14,03;2,13;13;18;78;70;0;70;60,62;26,85;0;
IOTTI;3026;59;253;206;172;622;5,65;23,02;14,58;76,5;59,29;0;49,81;00:50:57;1,96;2,53;6,82;5,69;20,57;8,37;9;20;92;63;0;63;177,24;35,75;0;
MARTINIELLO;2730;54;115;209;140;411;5,08;22,1;0,67;84,96;49,43;0;40,13;00:50:49;1,81;3,11;7,65;5,13;15,05;4,22;19;22;90;61;0;61;81,65;28,93;0;
PENNINGTON;3200;63;64;180;112;416;5,69;16,96;18,42;63,52;32,75;0;26,55;00:50:56;1,02;1,99;5,62;3,51;13,01;1,98;8;15;80;46;1;46;31,4;24,37;0;
PINNA S.;3021;59;117;219;175;491;5,68;23,32;13,09;86,75;68,21;0;39,72;00:50:47;2,26;2,87;7,26;5,79;16,24;3,86;31;27;100;93;0;93;70,27;30,48;0;
PISANO;2893;57;143;245;187;483;5,52;25,02;0;98,8;67,3;0;61,32;00:50:43;2,33;3,42;8,48;6,47;16,7;4,95;27;21;110;93;0;93;118,04;32,08;0;
PITZALIS;3296;65;148;244;204;673;6,2;23,55;0;84,17;73,7;0;38,18;00:50:48;2,24;2,55;7,41;6,19;20,41;4,5;25;19;97;86;0;86;114,32;35,33;0;
RAGATZU;3065;60;167;236;174;545;5,72;22,85;0;90,25;59,4;0;47,29;00:50:59;1,94;2,94;7,71;5,67;17,77;5,45;17;29;91;87;0;87;139,27;32,97;0;
SENESI;3465;68;120;255;202;624;6,51;23,72;0;104,58;77,87;0;43,61;00:50:56;2,25;3,02;7,37;5,82;18,01;3,47;26;24;122;92;0;92;115,57;33,53;0;
TETTEH;3045;60;12;232;174;449;5,61;20,83;0;70,99;50,57;0;7,55;00:50:46;1,66;2,33;7,61;5,71;14,76;0,4;15;15;100;77;0;77;12,1;27,08;0;
VALLOCCHIA;2676;53;58;224;139;414;5;22,58;0;97,02;41,58;0;30,51;00:50:47;1,55;3,63;8,36;5,18;15,46;2,15;8;30;128;83;0;83;53,06;31,19;0;
VERGARA;2337;46;4;160;95;224;4,19;17,69;0;61,36;20,34;0;8,78;00:50:47;0,87;2,63;6,84;4,07;9,58;0,18;6;8;70;28;0;28;4,11;19,94;0;
