;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1519;81;94;115;101;301;7,89;25,41;3,34;40,85;36,62;0;26,14;00:18:43;2,4;2,73;7,64;6,62;19,59;6,14;12,64;8,93;46,5;45,07;0,07;45,07;72,13;34,85;0;
BIANCU;1875;100;87;149;135;431;9,83;27,05;0;54,26;41,14;0;25,77;00:18:45;2,19;2,89;7,93;7,18;23;4,63;16;9;55;69;0;69;86,74;40,68;0;
CETER;1481;73;68;100;75;213;6,87;21,34;0;30,95;26,56;0;16,74;00:20:15;1,79;2,09;6,78;5,07;14,4;4,62;7;6;46;25;0;25;55,56;27,91;0;
CUSUMANO;1661;86;67;103;100;275;8,19;22,66;0;35,86;37,91;0;17,3;00:19:16;2,28;2,16;6,21;6,01;16,54;4,02;9;9;33;43;0;43;59,27;29,82;0;
IOTTI;1587;88;239;111;121;457;8,71;28,49;14,58;39,65;43,73;0;42,73;00:18:07;2,76;2,5;7,02;7,61;28,8;15,09;7;7;36;42;0;42;163,25;45,69;0;
MARTINIELLO;1397;74;113;126;96;289;7,32;27,82;0,67;50,84;37,06;0;35,34;00:18:53;2,65;3,64;9,04;6,86;20,71;8,11;14;15;51;44;0;44;79,83;37,49;0;
PENNINGTON;1682;92;57;89;76;257;8,45;19,1;18,42;25,89;23,87;0;20,78;00:18:21;1,42;1,54;5,28;4,54;15,29;3,41;7;7;32;28;1;28;25,23;27,38;0;
PINNA S.;1396;75;86;105;94;271;7,39;27,22;13,09;40,02;40,24;0;29,11;00:18:37;2,88;2,87;7,54;6,77;19,39;6,16;20;13;46;47;0;47;39,54;34,95;0;
PISANO;1298;70;133;128;117;287;7,18;33;0;52,79;48;0;52,46;00:18:37;3,7;4,07;9,85;9,01;22,08;10,23;19;12;55;56;0;56;107,71;40,36;0;
PITZALIS;1623;90;147;120;118;396;8,81;26,68;0;37,98;52,11;0;30,89;00:18:03;3,21;2,34;7,37;7,28;24,38;9,03;21;9;42;52;0;52;112,51;39,88;0;
RAGATZU;1462;79;161;126;112;350;7,74;27,25;0;45,33;37;0;35,79;00:18:36;2,53;3,1;8,65;7,69;23,92;11,01;12;13;40;50;0;50;133,19;41,2;0;
SENESI;1760;96;113;135;133;430;9,54;28,98;0;51,34;57,75;0;34,72;00:18:25;3,28;2,92;7,65;7,56;24,46;6,42;22;6;55;61;0;61;108,42;41,85;0;
TETTEH;1607;85;10;117;94;247;7,99;21,63;0;32,64;28,05;0;3,84;00:18:56;1,75;2,03;7,3;5,87;15,39;0,64;10;7;53;44;0;44;10,26;28,03;0;
VALLOCCHIA;1239;67;29;106;77;178;6,43;23,66;0;39,32;23,72;0;14,5;00:18:27;1,91;3,17;8,53;6,22;14,36;2,32;7;9;60;46;0;46;24,24;29,16;0;
VERGARA;1203;64;4;94;61;138;5,98;20,78;0;35,06;15,52;0;6,02;00:18:48;1,29;2,91;7,85;5,07;11,48;0,34;6;3;47;24;0;24;4,11;23,43;0;
