;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;484;55;44;15;7;45;4,63;9,7;1,77;3,33;0,97;0;2,57;00:08:52;0,2;0,7;3,18;1,48;9,32;9,07;0;0,6;3,53;1,13;0;1,13;16,09;13,48;0;
BIANCU;497;56;41;23;16;50;4,93;13,87;0;3,66;2,59;0;1,44;00:08:52;0,52;0,74;4,66;3,31;9,99;8,32;0;0;2;2;0;2;9,99;15,25;0;
CETER;525;59;39;10;4;36;4,92;7,56;0;1,39;0,12;0;2,44;00:08:52;0,02;0,26;1,88;0,77;6,89;7,47;0;1;1;0;0;0;16,45;9,82;0;
CUSUMANO;446;50;42;13;5;40;4,25;9,44;0;2,25;0,77;0;3,97;00:08:52;0,17;0,51;2,9;1,22;8,98;9,32;0;1;2;1;0;1;12,47;13,32;0;
IOTTI;462;52;44;13;5;49;4,38;8,77;0;2,73;0,44;0;0,26;00:08:52;0,09;0,59;2,71;0,98;10,55;9,48;0;0;5;0;0;0;15,26;14,16;0;
MARTINIELLO;458;52;41;18;7;43;4,44;11,34;0;4,96;1,65;0;2,34;00:08:52;0,36;1,08;4,03;1,63;9,43;9;0;1;4;2;0;2;10,03;14,18;0;
MURONI;515;58;76;13;5;83;4,83;7,65;0;2,84;0,52;0;0,83;00:08:52;0,1;0,55;2,58;0,92;16,05;14,68;0;0;7;1;0;1;36,58;20,35;0;
PENNINGTON;512;58;44;12;6;41;4,84;8,34;0;1,57;1,03;0;2,27;00:08:52;0,2;0,31;2,31;1,15;7,98;8,64;0;0;3;2;0;2;7,37;10,78;0;
PINNA S.;415;47;43;15;6;40;3,95;9,14;10,86;3,18;1,87;0;7,21;00:08:52;0,45;0,77;3,5;1,44;9,55;10,4;0;1;4;1;0;1;8,73;13,47;0;
PISANO;437;49;42;18;6;42;4,2;10,25;0;4,01;0,32;0;2,26;00:08:52;0,07;0,92;4,2;1,27;9,63;9,71;0;1;5;0;0;0;11,73;13,99;0;
PITZALIS;554;62;40;17;8;42;5,26;8,93;0;3,86;0,58;0;1;00:08:52;0,11;0,7;3;1,44;7,55;7,28;0;0;3;2;0;2;30,6;11,23;0;
RAGATZU;516;58;37;13;8;35;4,88;8,49;0;2,45;0,7;0;0,88;00:08:52;0,14;0,48;2,55;1,5;6,72;7,08;0;0;4;1;0;1;35,98;10,22;0;
SENESI;499;56;45;18;5;45;4,73;8,74;15,08;4,14;0,16;0;6,52;00:08:52;0,03;0,83;3,55;1;8,92;9,11;0;1;4;0;0;0;8,57;13,24;0;
TETTEH;486;55;40;11;9;38;4,65;9,76;0;1,66;1,97;0;1,41;00:08:52;0,41;0,34;2,21;1,8;7,8;8,24;0;1;1;1;0;1;13,24;10,8;0;
VALLOCCHIA;479;54;42;18;6;50;4,62;10,48;0,68;4,88;0,09;0;3;00:08:52;0,02;1,02;3,79;1,18;10,49;8,86;0;1;6;0;0;0;11,43;17,06;0;
VERGARA;466;52;39;18;12;43;4,58;12,72;0;6,28;1,68;0;2,69;00:08:52;0,36;1,35;3,88;2,54;9,21;8,43;0;1;2;4;0;4;12,97;14,39;0;
