;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;2160;47;179;150;111;399;4,45;20,63;12,16;55,91;35,11;0;39,23;00:45:05;1,57;2,47;6,72;5,01;17,81;8,28;9,49;15,35;53,49;38,08;0,21;38,08;117,02;31,46;0;
BIANCU;2690;58;123;190;154;443;5,4;21,02;0;65,78;36,3;0;28,92;00:46:41;1,35;2,45;7,05;5,71;16,45;4,56;6;16;52;48;0;48;106,7;29,58;0;
CALIGARA;355;48;0;15;8;31;4,18;11,58;0;5,54;1,22;0;0,6;00:07:19;0,35;1,56;4,36;2,19;8,75;0;0;1;3;2;0;2;0;18,1;0;
CETER;1515;36;195;108;86;296;3,36;22,04;11,4;43,41;31,49;0;41,19;00:42:35;2,08;2,87;7,1;5,67;19,54;12,85;8;10;41;28;0;28;119,44;34,25;0;
MARTINIELLO;1822;39;227;135;111;379;3,79;24,39;28,32;49,87;42,04;0;45,91;00:46:12;2,31;2,74;7,41;6,08;20,8;12,46;14;7;40;35;1;35;148,51;35,65;0;
MURONI;3134;67;220;230;156;639;6,35;22,75;11,16;96,19;50,04;0;47,66;00:46:53;1,6;3,07;7,32;4,99;20,39;7;13;35;106;62;0;62;167,86;35,78;0;
OGUNSEYE;1930;40;214;129;99;343;3,74;19,86;3,41;41,61;32,54;0;39,1;00:47:52;1,69;2,16;6,67;5,13;17,77;11,11;8;9;30;30;0;30;149,76;31,27;0;
PENNINGTON;2191;46;183;129;89;383;4,22;18,26;0;48,08;21,92;0;36,4;00:47:34;1;2,19;5,9;4,08;17,5;8,33;5;19;44;24;0;24;142,96;30,92;0;
RAGATZU;1099;37;71;45;36;139;3,27;14,06;0;10,49;9,34;0;10,27;00:29:38;0,85;0,95;4,1;3,25;12,68;6,47;4;0;10;10;0;10;48,06;22,07;0;
SENESI;1799;38;28;91;50;194;3,34;14,73;0;29,95;12,68;0;12,29;00:47:46;0,7;1,66;5,06;2,79;10,77;1,53;3;6;40;13;0;13;27,53;21,04;0;
TETTEH;1865;40;174;150;116;365;3,81;23,23;10,19;60,04;34,54;0;32,21;00:46:41;1,85;3,22;8,03;6,2;19,55;9,33;11;13;48;32;0;32;101,11;34,16;0;
VALLOCCHIA;3349;69;344;267;203;749;6,67;25,15;53,66;102,77;74,93;0;92,43;00:48:39;2,24;3,07;7,98;6,06;22,38;10,26;22;34;113;92;1;92;151,05;38,73;0;
