;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;668;71;0;52;31;114;6,63;20,25;0;20,16;8,07;0;2,16;00:09:23;1,2;3,01;7,77;4,57;17,03;0,02;3,39;5,48;28,47;14,07;0;14,07;0,16;31,66;0;
BIANCU;642;71;0;61;42;153;6,86;24,73;0;20,06;9,94;0;0,71;00:09:01;1,55;3,13;9,44;6,57;23,84;0,07;5;7;29;12;0;12;0,44;40,5;0;
CETER;717;77;0;65;32;134;7,32;22,36;0;30,95;7,3;0;5,87;00:09:17;1,02;4,31;9,05;4,48;18,7;0,06;0;13;39;13;0;13;0,45;36,69;0;
COTALI;737;73;0;48;29;115;6,64;17,54;0;15,52;8,21;0;0,47;00:10:06;1,11;2,1;6,57;3,92;15,57;0;6;3;27;13;0;13;0;27,78;0;
CUSUMANO;749;80;0;57;39;145;7,52;22;0;19,76;10,58;0;1,48;00:09:23;1,41;2,64;7,56;5,27;19,37;0,06;2;9;24;22;0;22;0,45;34,14;0;
IOTTI;716;75;0;62;37;130;7,13;22,14;0;25,2;11,78;0;4,68;00:09:29;1,64;3,52;8,62;5,2;18,2;0;5;6;31;17;0;17;0;33,77;0;
MARTINIELLO;613;65;0;51;22;93;5,99;19,44;0;20,68;6,1;0;1,97;00:09:27;0,99;3,37;8,37;3,56;15,12;0;2;8;27;12;0;12;0;29,76;0;
MURONI;728;75;0;57;35;126;7,09;21,62;0;25,76;10,62;0;4,24;00:09:39;1,46;3,54;7,83;4,77;17,37;0,06;5;8;30;18;0;18;0,47;33,16;0;
OGUNSEYE;638;67;0;42;21;84;6,07;16,11;0;13,8;4,14;0;0,18;00:09:27;0,65;2,16;6,6;3,25;13,17;0;0;2;28;7;0;7;0;25,22;0;
PENNINGTON;688;73;0;43;25;94;6,58;17,14;0;15,74;6,73;0;1,05;00:09:28;0,98;2,29;6,32;3,6;13,71;0;5;3;21;12;0;12;0;26;0;
PINNA S.;634;67;0;44;32;101;6,22;19,87;0;17,08;10,44;0;0,5;00:09:27;1,65;2,69;6,86;5,01;15,93;0;5;4;30;18;0;18;0;29,3;0;
PISANO;550;66;0;41;26;82;6,03;18,38;0;15,55;6,79;0;1,5;00:08:21;1,23;2,83;7,54;4,69;14,87;0;0;2;19;13;0;13;0;28,29;0;
PITZALIS;623;65;0;47;24;98;5,99;18,9;0;20,11;6,08;0;1,38;00:09:34;0,98;3,23;7,52;3,87;15,66;0;1;2;26;14;0;14;0;29,84;0;
RAGATZU;717;76;0;67;36;146;7,28;23,45;0;27,98;7,86;0;6,14;00:09:24;1,1;3,9;9,4;4,99;20,35;0,06;2;10;37;15;0;15;0,45;38,53;0;
SENESI;706;75;0;55;33;120;6,98;20,3;0;18,64;12,67;0;0,9;00:09:24;1,79;2,64;7,79;4,63;16,99;0;11;4;36;18;0;18;0;30,71;0;
TETTEH;603;67;0;40;27;90;6,09;18,19;0;13,05;6,55;0;0,57;00:09:03;1,09;2,16;6,63;4,46;14,92;0;5;2;25;16;0;16;0;26,95;0;
VALLOCCHIA;634;67;0;52;29;123;6,31;21,43;0;21,45;6,92;0;2,13;00:09:26;1,09;3,39;8,14;4,65;19,45;0,07;3;6;34;12;0;12;0,45;35,76;0;
VERGARA;642;69;0;51;31;106;6,48;20,81;0;20,97;4,18;0;2,98;00:09:16;0,65;3,27;8,01;4,9;16,51;0;0;4;20;7;0;7;0;32,01;0;
