;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1024;59;64;75;61;171;5,66;23,36;3,72;29,99;20,95;0;18,95;00:17:18;2,03;2,94;7,27;5,93;16,03;5,87;7,02;7,63;28,15;26,38;0,06;26,38;46,4;30,37;0;
BELLODI ;968;57;43;58;41;98;5,23;18,49;0;22,93;17,19;0;11,7;00:16:58;1,78;2,37;6,01;4,19;10,08;4,48;8;6;22;20;0;20;38,83;21,01;0;
BIANCU;1009;59;39;76;64;171;5,8;26,09;0;32,99;22,14;0;15,66;00:16:59;2,19;3,27;7,52;6,37;16,94;3,83;7;8;23;29;0;29;38,63;32,75;0;
CETER;1111;63;104;108;86;235;6,34;29,31;2,03;44,53;29,31;0;35,78;00:17:31;2,64;4,01;9,76;7,76;21,17;9,32;7;10;44;34;0;34;82,45;39,62;0;
COTALI;928;54;49;67;54;143;5,21;24,02;6,87;28,74;16,39;0;14,37;00:17:06;1,77;3,1;7,23;5,87;15,42;5,24;5;6;24;21;0;21;27,33;29,18;0;
CUSUMANO;967;54;36;70;56;118;5,14;22,97;0;26,47;21,16;0;14,71;00:17:54;2,19;2,74;7,23;5,78;12,2;3,7;9;5;22;28;0;28;31,09;25;0;
IOTTI;815;46;33;66;49;98;4,37;23,41;0;30,26;16,95;0;18,19;00:17:48;2,08;3,71;8,14;5,98;12,07;4,09;8;10;25;21;0;21;33,33;26,18;0;
MARTINIELLO;842;48;58;59;46;127;4,57;22,56;0;25,29;15,17;0;12,46;00:17:28;1,8;3;7,02;5,52;15,07;6,91;5;6;22;18;0;18;43,19;29,15;0;
MURONI;1299;76;53;88;75;242;7,31;24,33;0;35,19;26,11;0;10,96;00:17:06;2,01;2,71;6,79;5,77;18,6;4,11;12;11;44;35;0;35;53,43;34,09;0;
OGUNSEYE;1403;82;192;106;91;341;7,97;25,53;19,22;42,19;31,39;0;43,65;00:17:06;2,24;3,01;7,56;6,49;24,27;13,69;11;9;39;43;0;43;123,57;41,16;0;
PENNINGTON;1166;68;86;75;62;241;6,38;22,19;0;26,78;24,66;0;21,26;00:17:16;2,11;2,3;6,47;5,34;20,68;7,34;5;7;35;18;0;18;70,5;35,48;0;
PINNA S.;890;53;53;41;34;99;4,72;14,93;27,42;11,74;9,71;0;12,11;00:16:47;1,09;1,32;4,61;3,86;11,09;5,98;1;1;12;15;1;15;4,41;19,23;0;
PISANO;672;40;21;47;44;81;3,78;23,46;0;21,52;15,51;0;10,87;00:16:58;2,31;3,2;7,04;6,56;12,06;3,06;8;7;16;17;0;17;20,53;25,16;0;
PITZALIS;770;46;5;49;34;66;4,27;18,84;0;21,22;10,71;0;4,68;00:16:35;1,39;2,76;6,36;4,37;8,54;0,66;3;3;15;13;0;13;5,1;19,41;0;
RAGATZU;1210;65;76;79;63;194;6,06;20,19;0;28,6;19,33;0;15,89;00:18:35;1,6;2,36;6,56;5,23;16,02;6,28;7;7;28;29;0;29;52,32;29,06;0;
SENESI;1223;73;68;84;73;212;7,05;23,95;0;30,19;24,97;0;23,57;00:16:38;2,04;2,47;6,9;5,97;17,37;5,55;7;9;31;31;0;31;59,29;33,01;0;
TETTEH;1067;62;99;89;74;206;5,98;23,77;8,85;31,22;23,23;0;22,71;00:17:06;2,18;2,93;8,37;6,95;19,34;9,28;8;5;30;30;0;30;48,48;34,06;0;
VALLOCCHIA;1054;59;64;103;92;223;6,03;32,55;0;48,44;31,42;0;32,47;00:17:56;2,98;4,6;9,81;8,68;21,17;6,07;8;19;45;45;0;45;53,58;41,95;0;
