;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;667;62;38;66;38;136;6,02;25,47;0;30,75;9,06;0;15,05;00:10:45;1,36;4,6;9,8;5,65;20,25;5,66;0,84;11,33;32,36;10,76;0;10,76;33,07;39,06;0;
BELLODI ;718;69;37;77;44;181;6,79;26,46;0;34,91;7,36;0;14,9;00:10:21;1,02;4,86;10,77;6,14;25,22;5,15;0;12;29;12;0;12;35,79;46,15;0;
BIANCU;616;58;50;60;37;137;5,73;27,81;0;28,87;6,24;0;17,93;00:10:37;1,01;4,69;9,81;6,04;22,25;8,1;0;11;25;6;0;6;35,97;42,39;0;
CETER;696;64;38;68;32;140;6,15;24,58;0;32,01;7,11;0;14,79;00:10:54;1,02;4,6;9,8;4,64;20,19;5,5;0;14;30;7;0;7;38,25;39,39;0;
COTALI;601;57;27;54;27;114;5,38;22,82;0;26,78;8,73;0;9,65;00:10:37;1,45;4,45;9,04;4,57;18,93;4,51;0;9;30;8;0;8;26,54;37;0;
CUSUMANO;738;68;78;84;62;178;6,9;30,37;0;41,78;14,9;0;21,69;00:10:47;2,02;5,66;11,34;8,41;24,14;10,63;2;18;42;18;0;18;69,89;43,83;0;
IOTTI;665;60;27;66;38;144;5,82;25,86;0;31,34;6,32;0;14,38;00:11:08;0,95;4,71;9,98;5,76;21,65;4,12;0;10;40;12;0;12;22,23;41,45;0;
MARTINIELLO;677;62;47;67;37;146;6,09;26,72;0;34,92;6,47;0;19,74;00:10:54;0,96;5,15;9,88;5,39;21,53;6,87;1;13;33;12;0;12;46,56;41,59;0;
MURONI;709;68;32;67;28;124;6,43;22,38;0;28,6;7,85;0;12,05;00:10:25;1,11;4,04;9,47;4,01;17,54;4,45;0;11;36;7;0;7;31;34,63;0;
OGUNSEYE;611;63;22;57;31;103;5,97;23,07;0;29,86;6,81;0;12,21;00:09:45;1,11;4,88;9,31;5,06;16,88;3,61;1;10;30;6;0;6;22,08;33,38;0;
PENNINGTON;709;66;38;64;31;147;6,16;21,54;0;27,81;4,96;0;14,07;00:10:48;0,7;3,92;9,05;4,4;20,8;5,32;1;8;37;8;0;8;31,28;38,82;0;
PINNA S.;603;56;46;61;37;122;5,53;27,43;0;30,01;10,25;0;17,16;00:10:45;1,7;4,97;10,07;6,2;20,22;7,66;3;11;28;12;0;12;35,13;40,24;0;
PISANO;609;55;9;55;28;100;5,18;21,44;0;22,16;6,27;0;5,18;00:11:03;1,03;3,64;9,01;4,63;16,38;1,44;1;3;30;7;0;7;8,77;32,58;0;
PITZALIS;772;68;63;74;50;169;6,6;26,34;0;35,51;15,02;0;18,37;00:11:25;1,95;4,6;9,6;6,48;21,94;8,12;3;11;37;16;0;16;42,72;40,51;0;
RAGATZU;590;56;52;64;39;133;5,63;29,89;0;28,4;12,08;0;20,57;00:10:32;2,05;4,81;10,84;6,65;22,45;8,73;1;13;29;10;0;10;40,49;43,67;0;
SENESI;682;66;30;66;33;118;6,34;24,94;0;34;10,56;0;15,15;00:10:24;1,55;4,98;9,74;4,78;17,35;4,39;1;19;39;11;0;11;28,87;36,97;0;
TETTEH;599;56;39;53;39;123;5,45;25,01;0;23,87;10,16;0;13,21;00:10:37;1,7;3,99;8,89;6,58;20,54;6,55;0;9;19;11;0;11;39,21;38;0;
VALLOCCHIA;715;62;46;92;60;169;6,42;33,26;0;42,32;16,98;0;25,01;00:11:29;2,37;5,92;12,86;8,45;23,61;6,44;1;16;42;23;0;23;39,23;45,6;0;
VERGARA;677;63;0;46;22;84;5,73;17,96;0;19,42;4,08;0;3,94;00:10:47;0,6;2,87;6,73;3,21;12,37;0;0;6;25;6;0;6;0;26,05;0;
