;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;3917;59;304;265;224;778;5,64;22,73;8,89;99,33;85,12;0;69,16;01:05:55;2,17;2,54;6,75;5,73;19,79;7,77;33,78;26,22;86;93,44;0,11;93,44;231,85;34,84;0;
BELLODI ;5161;78;368;334;270;1041;7,35;21,37;13,57;120,08;108,29;0;67,89;01:05:58;2,1;2,33;6,47;5,23;20,18;7,14;49;23;93;113;0;113;292;35,18;0;
BIANCU;3645;55;145;183;161;511;5,03;17,15;16,34;63,61;36,44;0;37,06;01:05:41;1;1,75;5,02;4,41;14,02;3,98;14;20;51;51;0;51;95,12;25,98;0;
COTALI;3984;61;365;262;230;854;5,82;24;7,52;102,53;97,66;0;77,68;01:05:41;2,45;2,57;6,57;5,78;21,44;9,16;45;29;89;107;0;107;292,77;37,05;0;
CUSUMANO;3643;55;311;259;222;709;5,3;23,53;6,11;93,45;89,51;0;70,34;01:05:41;2,46;2,57;7,1;6,09;19,45;8,54;33;24;87;83;0;83;239,97;34,47;0;
IOTTI;3453;53;205;268;223;685;5,11;25,61;11,58;109,95;84,74;0;77,66;01:05:41;2,45;3,18;7,77;6,45;19,85;5,95;33;30;82;96;0;96;159,53;36,47;0;
MURONI;3547;53;272;211;174;703;5;21,7;2,69;87,78;72,58;0;53,96;01:06:52;2,05;2,47;5,96;4,92;19,82;7,66;38;29;91;86;0;86;217,5;34,43;0;
PINNA S.;3715;56;420;266;222;829;5,37;23,18;20,83;92,19;80,14;0;67,74;01:05:58;2,16;2,48;7,17;5,98;22,32;11,29;21;27;88;97;1;97;321,53;37,49;0;
PISANO;4248;64;324;329;282;917;6,23;25,01;1,36;121,91;105,45;0;83,95;01:05:58;2,48;2,87;7,75;6,64;21,58;7,63;41;25;108;120;0;120;247,4;37,83;0;
PITZALIS;3854;59;329;268;234;751;5,58;23,04;0;102,45;91,29;0;86,15;01:05:48;2,37;2,66;6,95;6,08;19,48;8,53;30;29;85;88;0;88;220,8;34,6;0;
