;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;794;73;62;74;43;177;7,03;24,39;0,04;33,84;10,35;0;14,89;00:10:52;1,31;4,27;9,28;5,39;22,27;7,81;1,6;11,67;36,4;12;0;12;54,66;40,37;0;
BELLODI ;845;78;57;77;46;203;7,49;24,36;0;33,62;7,66;0;14,78;00:10:52;0,91;3,98;9,1;5,44;23,97;6,8;1;10;27;5;0;5;57,49;43,19;0;
BIANCU;764;70;93;76;43;190;6,82;25,34;0;28,82;11,52;0;17,39;00:10:52;1,51;3,77;9,95;5,59;24,82;12,19;1;9;27;10;0;10;74,75;43,01;0;
COTALI;791;73;35;65;34;146;6,83;21,24;0;31,02;9,94;0;6,57;00:10:52;1,26;3,92;8,23;4,34;18,5;4,48;4;5;32;12;0;12;34,31;34,87;0;
CUSUMANO;826;76;48;84;57;192;7,49;27,29;0;39,26;14,48;0;14,95;00:10:52;1,75;4,75;10,15;6,89;23,23;5,84;2;15;47;21;0;21;48,23;42,25;0;
IOTTI;779;72;33;68;39;160;6,82;22,9;0;30,33;9,57;0;14,46;00:10:52;1,23;3,89;8,78;4,99;20,58;4,29;2;8;37;10;0;10;30;38,13;0;
MARTINIELLO;767;71;78;79;48;172;7,02;28,68;0;41,41;14,19;0;19,57;00:10:52;1,85;5,4;10,36;6,25;22,48;10,15;4;16;45;16;0;16;63,83;41,47;0;
MURONI;852;78;37;69;37;186;7,37;21,46;0;30,46;7,44;0;5,95;00:10:52;0,87;3,57;8,1;4,31;21,87;4,32;1;11;46;9;0;9;36,85;39,4;0;
OGUNSEYE;786;72;124;79;45;189;6,95;24,18;0;36,16;7,74;0;18,61;00:10:52;0,98;4,6;10,1;5,73;24,07;15,79;0;14;41;13;0;13;120,79;41,95;0;
PENNINGTON;808;74;72;67;34;171;6,97;21,13;0;31,63;5,86;0;16,69;00:10:52;0,73;3,92;8,25;4,24;21,21;8,89;1;10;36;5;0;5;53,08;38,38;0;
PINNA S.;764;70;73;74;49;198;6,97;28,04;0;34,8;14,72;0;20,47;00:10:52;1,93;4,55;9,73;6,43;25,88;9,6;2;13;31;19;0;19;71,06;45,86;0;
PISANO;788;72;33;64;33;136;6,75;20,32;0;28,53;8,61;0;5,49;00:10:52;1,09;3,62;8,14;4,17;17,3;4,15;1;6;29;9;0;9;28,7;32,27;0;
PITZALIS;882;81;92;95;59;232;8,05;28,13;0;39,12;16,18;0;22,93;00:10:52;1,83;4,43;10,78;6,74;26,32;10,4;1;13;40;12;0;12;76,71;45,95;0;
RAGATZU;757;70;46;62;35;154;6,59;22,33;0;29,59;7,64;0;12,36;00:10:52;1,01;3,91;8,17;4,69;20,34;6,05;1;15;32;9;0;9;31,76;37,62;0;
SENESI;798;73;52;70;44;142;7,01;23,34;0,67;35,28;10,25;0;17,18;00:10:52;1,28;4,42;8,78;5,45;17,75;6,55;1;15;40;17;0;17;42,63;34,72;0;
VALLOCCHIA;698;64;53;74;39;179;6,32;27,1;0;37,49;9,44;0;15,99;00:10:52;1,35;5,37;10,64;5,64;25,69;7,6;2;15;36;13;0;13;49,66;46,54;0;
