;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;3528;54;322;189;164;679;4,97;18,71;17,26;59,2;50,73;0;53,41;01:05:15;1,4;1,68;5,37;4,58;19,2;9,39;13,93;13,53;58,87;55,47;0,27;55,47;212,09;31,8;0;
BELLODI ;4115;63;86;193;181;575;5,75;17,11;0;61,1;48,28;0;16,24;01:04:48;1,17;1,48;4,7;4,39;13,98;2,09;10;18;88;52;0;52;78,4;24,81;0;
BIANCU;5373;77;574;289;278;1265;7,16;20,86;9,52;86,67;96,01;0;88,24;01:10:13;1,79;1,61;5,38;5,17;23,55;10,68;30;15;63;118;0;118;442,42;37,7;0;
CETER;2630;40;827;183;115;862;3,76;19,98;88,94;70,82;35,46;0;101,24;01:05:00;1,35;2,69;6,94;4,39;32,79;31,45;5;24;54;42;2;42;254,5;45,7;0;
COTALI;3708;55;311;158;125;625;4,89;15,57;16,76;48;39,94;0;50,11;01:07:47;1,08;1,29;4,26;3,38;16,87;8,39;9;13;42;39;0;39;197,64;28,42;0;
CUSUMANO;3260;50;146;188;154;488;4,59;19,34;6,91;59,98;46,46;0;27,61;01:05:36;1,43;1,84;5,76;4,73;14,96;4,49;16;12;76;54;0;54;115,07;26,87;0;
IOTTI;3304;49;121;181;141;463;4,43;17,29;0;49,99;33,21;0;18,84;01:07:47;1;1,51;5,49;4,26;14,01;3,67;9;10;65;44;0;44;110,04;25,03;0;
MARTINIELLO;3200;49;129;194;153;524;4,57;19,98;0;58,11;42,42;0;38,83;01:05:00;1,33;1,82;6,07;4,79;16,36;4,04;12;10;54;48;0;48;109,74;29,54;0;
MURONI;4244;65;253;217;197;793;6,02;18,75;0;67;68,89;0;40,91;01:04:48;1,62;1,58;5,1;4,65;18,68;5,97;24;12;76;79;0;79;224,96;31,09;0;
OGUNSEYE;3422;51;271;151;136;609;4,59;16,09;13,21;44,16;36,9;0;32,45;01:06:59;1,08;1,29;4,4;3,99;17,8;7,93;6;6;37;38;0;38;204,31;29,39;0;
PENNINGTON;3020;49;174;102;96;460;4,32;14,25;0;25,55;23;0;19,15;01:01:52;0,76;0,85;3,37;3,17;15,22;5,75;5;5;24;22;0;22;123,2;25,37;0;
PINNA S.;2922;45;245;144;122;530;4,07;17,73;41;43,95;38,32;0;48,1;01:05:24;1,31;1,5;4,94;4,18;18,14;8,38;14;14;48;48;2;48;139,56;30,46;0;
PISANO;2842;44;274;133;116;507;3,97;16,89;19,85;38,82;31,28;0;43,4;01:04:45;1,1;1,37;4,67;4,08;17,84;9,66;5;9;38;28;0;28;181,16;29,49;0;
PITZALIS;3487;54;321;191;158;668;4,97;18,81;23,17;62,88;51,1;0;65,8;01:04:34;1,47;1,8;5,47;4,53;19,16;9,2;11;14;62;43;0;43;205,01;32,65;0;
RAGATZU;3532;57;512;260;243;857;5,48;24,51;11,84;87,4;83,83;0;87,49;01:02:06;2,37;2,47;7,37;6,87;24,26;14,51;31;20;82;98;0;98;408,36;40,05;0;
SENESI;3858;62;588;257;242;955;5,95;23,85;27,75;83,54;85,82;0;122,81;01:02:06;2,22;2,17;6,66;6,27;24,76;15,25;22;21;74;79;0;79;387,01;40,97;0;
