;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;928;33;35;64;49;112;3,09;20,69;0,99;27,51;17,77;0;13,79;00:28:12;1,83;2,88;6,68;5,1;11,15;3,11;5;7,72;25,06;20,67;0;20,67;28,97;23,18;0;
BELLODI ;921;32;1;54;41;74;2,86;17,06;0;17,57;14,69;0;2,25;00:29:09;1,6;1,91;5,84;4,44;7,98;0,1;2;2;19;17;0;17;0,91;16,74;0;
BIANCU;1299;46;105;101;81;221;4,43;24,23;0;37,71;31,59;0;32,88;00:28:13;2,43;2,9;7,77;6,27;17,02;8,1;13;7;24;27;0;27;76,05;31,36;0;
CALAMAI;1354;47;57;98;78;184;4,45;22,56;0;41,42;25,19;0;21,21;00:28:53;1,86;3,06;7,22;5,73;13,59;4,24;1;8;28;22;0;22;47,92;27,23;0;
CETER;802;29;2;54;40;74;2,68;20,26;0;23,99;13,73;0;3,83;00:27:51;1,71;2,99;6,79;5,04;9,19;0,23;4;4;23;17;0;17;1,88;20,22;0;
COTALI;970;35;19;69;57;121;3,3;22,77;0;27,13;23,99;0;8,55;00:27:57;2,47;2,8;7,13;5,93;12,51;1,92;9;9;29;31;0;31;18,66;24,77;0;
CUSUMANO;718;26;5;52;42;69;2,44;22,04;0;22,53;16;0;5,6;00:27:51;2,23;3,14;7,26;5,84;9,55;0,71;4;3;24;24;0;24;5,09;21,1;0;
IOTTI;842;30;6;50;39;72;2,73;19,4;0;24,74;15,81;0;8,06;00:28:29;1,88;2,94;5,99;4,61;8,61;0,66;4;7;25;21;0;21;5,57;19,5;0;
MARTINIELLO;751;27;15;58;42;78;2,57;23,31;0;25,69;14,13;0;11,53;00:27:51;1,88;3,42;7,71;5,6;10,41;1,93;6;6;25;19;0;19;14,52;23,62;0;
MURONI;953;36;14;49;32;82;3,22;14,97;0;21,18;8,62;0;11,26;00:26:19;0,9;2,22;5,13;3,38;8,65;1,43;4;7;20;12;0;12;8,35;18,67;0;
OGUNSEYE;627;23;2;31;20;41;1,99;14,14;0;15,3;6,48;0;2,46;00:27:51;1,03;2,44;5;3,15;6,61;0,3;1;4;15;11;0;11;1,88;16,04;0;
PENNINGTON;872;31;24;67;52;100;2,98;24,37;0;32,86;20,8;0;13,67;00:28:09;2,38;3,77;7,64;5,96;11,41;2,73;3;13;29;14;0;14;21,55;25,97;0;
PINNA S.;799;27;0;45;37;68;2,49;17,45;0;17,03;12,95;0;3,75;00:29:09;1,62;2,13;5,57;4,59;8,5;0,06;3;6;18;19;0;19;0,46;18,01;0;
PITZALIS;1212;42;73;87;68;176;4,02;22,77;6,18;35,77;21,27;0;22,89;00:28:41;1,75;2,95;7,15;5,61;14,53;6,02;3;9;32;20;0;20;58,02;28,62;0;
RAGATZU;1223;43;103;88;73;212;4,16;23,78;0;38,67;27,13;0;28,71;00:28:09;2,22;3,16;7,2;5,99;17,34;8,4;6;14;33;37;0;37;89,71;32,68;0;
SENESI;536;19;0;21;13;18;1,63;12,49;0;8,72;3,58;0;1,28;00:28:41;0,67;1,63;3,9;2,34;3,43;0;2;2;10;5;0;5;0;9,76;0;
TETTEH;1011;37;87;76;61;161;3,5;22,9;0;31,25;22,13;0;21,01;00:27:28;2,19;3,09;7,53;6,07;15,92;8,59;9;10;27;31;0;31;78,28;29,66;0;
VALLOCCHIA;1165;40;121;108;81;208;4,02;30,12;11,55;58,59;34,79;0;47,35;00:29:09;2,99;5,03;9,24;6,98;17,89;10,36;16;25;52;39;0;39;92,2;36,7;0;
VERGARA;648;23;0;40;27;47;2,11;17,43;0;14,96;6,94;0;1,95;00:27:51;1,07;2,31;6,16;4,11;7,32;0,07;0;3;18;6;0;6;0,44;16,26;0;
