;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;860;83;9;26;15;60;7,14;10,58;0;7,56;3;0;1,85;00:10:18;0,35;0,88;3,05;1,8;6,69;0,94;0,33;2,4;8,4;3,93;0;3,93;8,03;12,93;0;
BELLODI ;957;85;7;18;10;37;7,11;7,62;0;4,47;1,26;0;1,58;00:11:12;0,13;0,47;1,87;1,03;3,86;0,74;0;1;5;1;0;1;7,13;8,21;0;
BIANCU;848;86;12;33;21;90;7,53;13,06;0;9,22;3,26;0;2,49;00:09:51;0,38;1,09;3,89;2,52;10,59;1,47;0;4;12;5;0;5;12,48;18,95;0;
CALAMAI;1120;114;23;37;23;143;9,89;12,46;0;9,84;3,1;0;3,68;00:09:51;0,28;0,88;3,33;2,08;12,81;2,02;0;3;8;3;0;3;14,99;22,58;0;
CETER;674;69;0;22;13;32;5,91;10,99;0;5,39;2,62;0;1,59;00:09:48;0,39;0,8;3,31;1,94;4,72;0;0;2;4;4;0;4;0;9,91;0;
COTALI;726;74;9;19;12;30;6,24;9,5;0;5;3,06;0;0,86;00:09:51;0,42;0,69;2,68;1,7;4,16;1,21;0;1;5;2;0;2;8,78;8,76;0;
IOTTI;828;84;0;14;9;25;7,03;8,13;0;3,66;1,92;0;0,26;00:09:51;0,23;0,44;1,67;1,03;3,05;0;0;0;3;2;0;2;0;6,22;0;
MARTINIELLO;768;74;0;27;13;37;6,34;11,16;0;8,55;2,6;0;0,82;00:10:25;0,34;1,11;3,46;1,72;4,86;0;0;3;10;4;0;4;0;10,47;0;
MURONI;787;80;0;26;12;45;6,88;10,55;0;9,9;3,14;0;1,2;00:09:47;0,4;1,26;3,28;1,51;5,77;0;0;3;16;4;0;4;0;12,18;0;
OGUNSEYE;845;86;7;26;9;75;7,37;10,2;0;8,38;1,42;0;1,13;00:09:47;0,17;0,99;3,1;1,12;8,91;0,78;1;1;7;1;0;1;6,58;16,65;0;
PENNINGTON;913;84;5;21;15;36;7,07;9,36;0;6,08;3,6;0;2,03;00:10:55;0,39;0,67;2,35;1,64;3,93;0,59;1;3;6;4;0;4;5,36;8,49;0;
PINNA S.;1105;101;11;25;19;68;8,54;9,04;0;6,84;5,88;0;1,92;00:10:55;0,53;0,62;2,24;1,7;6,12;1;1;3;11;3;0;3;11,08;11,9;0;
PISANO;953;87;17;40;19;115;7,61;12,73;0;11,42;3,14;0;3,43;00:10:55;0,33;1,2;4,18;2,01;12,07;1,8;0;4;13;6;0;6;17,19;21,75;0;
RAGATZU;863;79;24;36;26;69;6,91;13,14;0;12,04;4,48;0;4,49;00:10:55;0,52;1,4;4,2;2,98;8,02;2,83;2;4;13;10;0;10;23,87;15,76;0;
SENESI;902;84;13;29;15;71;7,22;10,41;0;10,03;3,19;0;1,87;00:10:40;0,35;1,11;3,2;1,68;7,82;1,44;0;4;12;5;0;5;12,99;15,09;0;
TETTEH;607;62;0;18;14;23;5,27;10,54;0;2,56;2,31;0;0,38;00:09:51;0,38;0,42;2,96;2,38;3,76;0;0;0;1;5;0;5;0;6,9;0;
