;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;590;94;42;37;33;132;8,87;22,45;0,64;12,29;10,21;0;9,77;00:06:18;1,73;2,1;6,29;5,56;22,25;7;2,38;2,5;11,31;12,56;0;12,56;32,24;37,91;0;
BELLODI ;599;95;31;31;25;129;8,76;19,31;0;7,55;10,17;0;5,24;00:06:18;1,7;1,26;5,1;4,22;21,47;5,22;4;1;12;8;0;8;14,82;34,98;0;
BIANCU;689;109;86;47;49;194;10,8;27,83;0;16,5;17,07;0;22,56;00:06:18;2,48;2,4;6,84;7,18;28,18;12,43;4;2;11;15;0;15;55,11;46,12;0;
CALAMAI;658;104;24;28;27;124;9,5;17,7;0;9,86;6,28;0;4,56;00:06:18;0,95;1,5;4,32;4,13;18,87;3,69;0;1;5;6;0;6;24,3;32,16;0;
CETER;490;78;18;36;28;103;7,39;23,05;0;11,31;9,18;0;7,52;00:06:18;1,87;2,31;7,38;5,66;20,99;3,74;3;2;7;10;0;10;12,96;37,07;0;
COTALI;518;82;12;29;14;77;7,39;16,43;0;11,82;4,28;0;6,82;00:06:18;0,83;2,28;5,55;2,76;14,8;2,29;1;5;13;7;0;7;11,27;28,68;0;
CUSUMANO;616;98;32;37;24;117;9,05;19,7;0;12,74;9,04;0;11,16;00:06:18;1,47;2,07;6,06;3,93;18,96;5,12;3;4;10;15;0;15;26,35;33,37;0;
IOTTI;544;86;29;31;29;102;7,92;18,75;0;8,41;5,71;0;2,11;00:06:18;1,05;1,55;5,63;5,26;18,71;5,36;1;2;12;7;0;7;29,12;32,02;0;
MARTINIELLO;545;86;57;34;34;151;8,42;25,88;0;13,19;12,94;0;10,67;00:06:18;2,37;2,42;6,25;6,27;27,68;10,39;3;3;13;11;0;11;50,33;44,9;0;
MURONI;658;104;33;45;35;151;9,91;22,71;0;14,84;8,3;0;6,45;00:06:18;1,26;2,26;6,91;5,33;22,93;4,94;2;4;14;12;0;12;32,53;40,06;0;
OGUNSEYE;617;98;54;42;41;153;9,33;23,3;0;11,95;12,72;0;11,37;00:06:18;2,06;1,94;6,81;6,58;24,87;8,69;2;1;11;17;0;17;52,41;41,15;0;
PENNINGTON;723;115;42;27;37;152;10,54;18,8;5,55;7,71;8,79;0;7,88;00:06:18;1,22;1,07;3,68;5,09;21,08;5,76;0;2;12;11;0;11;23,46;34,69;0;
PITZALIS;632;100;71;50;46;162;9,91;27,79;2,02;18,82;15,54;0;19,03;00:06:18;2,46;2,98;7,94;7,32;25,59;11,15;2;4;18;21;0;21;42,22;44,34;0;
RAGATZU;520;82;65;35;36;133;8,05;26,22;0;13,27;11,86;0;6,15;00:06:18;2,28;2,55;6,83;6,9;25,48;12,52;4;2;9;17;0;17;52,92;41,89;0;
TETTEH;523;83;24;37;30;108;7,85;22,22;0;12,52;7,39;0;7,2;00:06:18;1,41;2,39;7,08;5,78;20,7;4,5;1;2;7;12;0;12;23,58;35,82;0;
VALLOCCHIA;583;92;88;46;46;159;9,27;29,57;2,71;14,48;20,03;0;23,93;00:06:18;3,43;2,48;7,96;7,92;27,26;15,16;8;3;13;20;0;20;59,01;45,45;0;
VERGARA;530;84;5;33;24;98;7,79;19,86;0;11,67;4,03;0;3,66;00:06:18;0,76;2,2;6,31;4,61;18,44;1,03;0;2;14;12;0;12;5,47;33,84;0;
