;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;360;63;37;35;29;93;6,23;27,5;0;13,29;7,42;0;10,04;00:05:41;2,04;3,78;9,72;8,01;25,57;9,43;2,24;4,94;15,47;12,59;0;12,59;35,35;45,12;0;
BELLODI ;380;67;93;43;38;126;6,72;30,44;0;16,35;7,14;0;15,92;00:05:43;1,88;4,3;11,36;10,09;33,09;24,48;2;5;19;16;0;16;86,83;54,87;0;
BIANCU;342;60;19;30;32;93;5,98;28,94;0;9,96;9,12;0;7,56;00:05:43;2,66;2,91;8,68;9,37;27,21;5,66;3;1;8;16;0;16;19,36;44,33;0;
CALAMAI;443;83;102;50;39;123;8,4;30,36;0;20,32;11,56;0;27,76;00:05:19;2,61;4,58;11,24;8,81;27,65;23,05;2;1;23;13;0;13;91,1;49,47;0;
CETER;344;60;22;30;30;93;6;28,67;0;12,13;12,39;0;5,14;00:05:43;3,6;3,52;8,59;8,85;27;6,42;4;5;16;16;0;16;22,11;44,92;0;
COTALI;382;67;10;27;17;81;6,19;19,69;0;7,72;1,8;0;2,84;00:05:43;0,47;2,02;6,96;4,57;21,14;2,64;0;0;8;2;0;2;10,07;37,38;0;
IOTTI;328;57;24;40;29;79;5,82;31,14;0;17,52;6,57;0;12,04;00:05:43;2;5,34;12,12;8,91;24,01;7,21;2;10;22;17;0;17;23,66;46,68;0;
MARTINIELLO;363;63;13;34;23;73;6,11;24,38;0;12,92;4,46;0;8,61;00:05:43;1,23;3,56;9,46;6,22;20,13;3,59;1;6;13;7;0;7;13,02;39,23;0;
MURONI;294;51;1;30;10;67;4,92;23,46;0;14,23;0,44;0;5,66;00:05:43;0,15;4,84;10,09;3,45;22,74;0,46;0;10;15;5;0;5;1,35;45,04;0;
OGUNSEYE;360;63;12;30;24;68;6,07;24,48;0;11,31;6,77;0;5,71;00:05:43;1,88;3,14;8,35;6,66;18,73;3,42;4;4;15;16;0;16;12,34;34,7;0;
PENNINGTON;334;58;20;38;32;85;5,9;30,49;0;15,22;11,4;0;9,15;00:05:43;3,41;4,56;11,44;9,61;25,57;5,99;4;7;20;14;0;14;20,02;46,27;0;
PINNA S.;273;48;2;27;15;60;4,63;25,43;0;14,22;1,03;0;8,46;00:05:43;0,38;5,21;9,86;5,54;21,91;0,67;0;10;17;7;0;7;1,83;44,88;0;
PITZALIS;382;67;20;37;30;89;6,47;25,22;0;12,59;8,03;0;8,05;00:05:43;2,1;3,3;9,66;7,91;23,3;5,36;0;3;14;11;0;11;20,46;42,15;0;
RAGATZU;428;75;87;37;35;129;7,35;26,95;0;12,25;7,07;0;11,96;00:05:43;1,65;2,86;8,66;8,27;30,03;20,3;1;6;13;13;0;13;86,31;49,4;0;
SENESI;473;83;117;40;39;140;8,11;26,76;0;12,53;11,69;0;18,16;00:05:43;2,47;2,65;8,55;8,33;29,5;24,79;3;2;9;14;0;14;107,49;48,43;0;
TETTEH;356;62;31;33;36;99;6,32;31,39;0;11,78;12,65;0;8,23;00:05:43;3,56;3,31;9,18;10,03;27,91;8,82;8;3;16;15;0;15;31,36;45,94;0;
VALLOCCHIA;287;50;48;40;36;88;5,32;36,8;0;16,89;10,8;0;13,32;00:05:43;3,76;5,88;13,78;12,43;30,51;16,79;3;9;18;19;0;19;48,21;53,23;0;
VERGARA;347;61;5;25;25;85;5,78;23,16;0;7,91;3,13;0;2,11;00:05:43;0,9;2,28;7,28;7,18;24,39;1,57;1;2;17;13;0;13;5,44;40,42;0;
