;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;418;28;1;37;28;43;2,72;24,19;0;14,76;10,99;0;3,36;00:14:47;2,61;3,5;8,92;6,72;10,26;0,21;3,94;4,31;15,62;15,25;0;15,25;0,91;23,44;0;
BIANCU;426;29;5;40;30;47;2,84;27,23;0;16,63;10,81;0;5,81;00:14:47;2,54;3,9;9,33;7,01;11,1;1,13;2;5;19;14;0;14;4,82;26,84;0;
CALAMAI;535;36;0;53;40;61;3,57;27,59;0;24,33;16,31;0;6,19;00:14:47;3,05;4,54;9,88;7,49;11,45;0,09;3;5;19;20;0;20;0,46;26,22;0;
COTALI;402;27;0;29;23;40;2,53;20,45;0;11,12;9,4;0;3,42;00:14:47;2,34;2,77;7,27;5,81;9,87;0;2;6;17;14;0;14;0;22,07;0;
IOTTI;397;27;1;39;24;47;2,56;22,95;0;11,99;10,58;0;1,33;00:14:47;2,66;3,02;9,83;6,14;11,8;0,35;5;1;22;12;0;12;1,37;25,15;0;
MARTINIELLO;423;29;2;39;30;41;2,78;25,25;0;15,11;9,95;0;5,97;00:14:47;2,35;3,57;9,29;7,08;9,57;0,44;2;5;16;17;0;17;1,85;23,72;0;
MURONI;448;30;0;49;37;58;3;27,69;0;22,77;13,42;0;3,08;00:14:47;2,99;5,08;11;8,23;12,83;0;2;7;30;25;0;25;0;28,57;0;
OGUNSEYE;439;30;0;43;33;53;2,87;25,1;0;12,98;12,89;0;1,16;00:14:47;2,94;2,96;9,79;7,4;12,13;0;7;3;17;19;0;19;0;24,97;0;
PENNINGTON;409;28;1;35;25;43;2,67;24,45;0;15,56;10,88;0;5,91;00:14:47;2,66;3,8;8,66;6,01;10,47;0,22;4;6;15;15;0;15;0,9;24,84;0;
PINNA S.;443;30;2;34;27;36;2,82;21,4;0;11,19;9,98;0;1,18;00:14:47;2,25;2,52;7,57;6,08;8,08;0,51;6;2;9;17;0;17;2,27;17,57;0;
PIREDDA;337;23;0;30;21;34;2,18;23,48;0;11,89;7,19;0;2,02;00:14:47;2,13;3,53;8,94;6,34;10,23;0;2;4;19;14;0;14;0;24,33;0;
PISANO;426;29;3;43;36;52;2,93;31,6;0;20,08;18,13;0;8,48;00:14:47;4,26;4,72;10,2;8,56;12,17;0,68;7;9;17;19;0;19;2,91;28,42;0;
PITZALIS;421;28;0;31;24;33;2,65;20,1;0;11,12;9,34;0;2,05;00:14:47;2,22;2,64;7,25;5,79;7,82;0;4;1;7;12;0;12;0;17,45;0;
RAGATZU;385;26;0;31;26;33;2,45;21,54;0;10,31;8,91;0;0,22;00:14:47;2,31;2,68;8,09;6,73;8,68;0;2;2;9;9;0;9;0;18,76;0;
SENESI;470;32;0;42;28;43;3,03;22,96;0;17,4;11,85;0;1,64;00:14:47;2,52;3,7;8,87;5,97;9,12;0;6;4;13;13;0;13;0;20,69;0;
TETTEH;387;26;0;34;27;35;2,48;22,4;0;13,43;7,09;0;1,93;00:14:47;1,83;3,47;8,79;7;9,06;0;2;2;7;14;0;14;0;20,97;0;
VALLOCCHIA;337;23;0;27;20;33;2,16;22,81;0;10,22;9,1;0;3,43;00:14:47;2,7;3,04;7,87;5,83;9,83;0;7;7;14;10;0;10;0;24,47;0;
