;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1290;39;79;50;36;148;3,38;12,28;1;15,94;10,13;0;5,32;00:33:12;0,78;1,23;3,84;2,77;11,5;6,17;3,33;4,11;19,72;19,17;0;19,17;67,83;19,72;0;
BELLODI ;1364;41;90;45;30;145;3,5;9,78;0;14,16;6,36;0;4,34;00:33:06;0,47;1,04;3,27;2,23;10,62;6,58;4;4;24;23;0;23;73,8;17,23;0;
BIANCU;1185;36;85;35;35;130;3,04;10,38;2,07;7,97;10,19;0;1,27;00:33:18;0,86;0,67;2,95;2,93;10,93;7,18;3;2;10;22;0;22;64,11;17,49;0;
CALAMAI;1393;42;55;63;43;161;3,68;13,65;0;21,06;12,81;0;5,9;00:33:18;0,92;1,51;4,53;3,12;11,56;3,97;1;3;19;21;0;21;49,57;20,87;0;
CETER;1281;38;78;45;30;145;3,28;11,55;0;15,01;6,85;0;7,43;00:33:44;0,53;1,17;3,51;2,36;11,31;6,13;2;5;10;13;0;13;64,91;19,92;0;
COTALI;1338;40;90;50;36;168;3,48;11,83;0;15,49;9,7;0;3,34;00:33:18;0,72;1,16;3,74;2,67;12,55;6,73;7;2;22;22;0;22;82,66;20,71;0;
IOTTI;1293;39;68;45;35;148;3,38;12,67;0;15,4;13,67;0;5,6;00:33:18;1,06;1,19;3,45;2,69;11,46;5,27;7;5;21;15;0;15;57,82;19,64;0;
MARTINIELLO;1287;39;82;49;31;132;3,35;11,93;0;16,22;6,49;0;9,09;00:33:18;0,5;1,26;3,81;2,38;10,24;6,34;1;6;16;9;0;9;68,71;18;0;
MURONI;1329;40;91;56;35;168;3,51;13,12;0;20,59;12,55;0;5,05;00:33:06;0,94;1,55;4,2;2,64;12,66;6,83;4;5;25;18;0;18;86,78;21,75;0;
OGUNSEYE;1349;41;80;59;43;163;3,59;13,8;0;17,37;11,26;0;8,34;00:33:06;0,83;1,29;4,36;3,19;12,08;5,97;2;3;17;22;0;22;53,07;21,08;0;
PENNINGTON;1326;40;84;52;41;166;3,53;13,85;0;20,2;14,41;0;4,53;00:33:06;1,09;1,52;3,93;3,06;12,5;6,3;6;9;27;22;0;22;80,68;22,01;0;
PINNA S.;1173;35;75;41;29;137;3,06;11,64;0;14,95;9,82;0;2,5;00:33:06;0,84;1,27;3,46;2,49;11,69;6,38;7;8;22;22;0;22;74,87;19,42;0;
PIREDDA;1135;34;85;38;31;137;2,95;11,35;11,14;12,61;6,87;0;6,68;00:33:06;0,6;1,11;3,35;2,76;12,09;7,46;1;2;17;14;0;14;62,96;19,87;0;
PISANO;1323;40;77;49;37;131;3,46;11,81;0;14,73;11,54;0;3,21;00:33:06;0,87;1,11;3,67;2,83;9,92;5,85;3;2;17;22;0;22;61,78;16,92;0;
PITZALIS;1527;46;86;79;58;183;4,12;15,43;0;25,95;19,02;0;5,08;00:33:06;1,25;1,7;5,17;3,81;12,01;5,64;5;5;33;30;0;30;85,06;21,21;0;
RAGATZU;1229;37;82;38;21;133;3,15;9,77;4,74;10,13;2,87;0;7,68;00:33:06;0,23;0,82;3,1;1,72;10,84;6,64;0;2;14;12;0;12;46,69;17,97;0;
TETTEH;1252;38;75;53;37;148;3,29;13,05;0;12,79;8,03;0;5,47;00:33:18;0,64;1,02;4,24;2,98;11,8;5,96;3;4;18;17;0;17;70,09;20,91;0;
VALLOCCHIA;1202;36;65;51;39;146;3,18;13,27;0;16,63;10,75;0;4,85;00:33:06;0,89;1,38;4,22;3,22;12,15;5,44;2;3;27;23;0;23;65,41;21,85;0;
VERGARA;1234;37;79;51;34;131;3,24;12,24;0;15,63;9,15;0;5,46;00:33:06;0,74;1,27;4,17;2,73;10,59;6,39;2;4;16;18;0;18;71,93;18,09;0;
