;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;870;70;38;61;56;158;6,75;23,67;0;22,74;18,05;0;12,39;00:12:23;1,97;2,65;7,01;6,23;17,06;3,9;6;4,42;21,92;22,92;0;22,92;30,86;31,52;0;
BELLODI ;1034;83;60;59;50;200;7,69;19,01;0;13,35;12,81;0;6,43;00:12:23;1,24;1,29;5,75;4,86;19,3;5,81;4;1;18;20;0;20;55,43;32,36;0;
BIANCU;977;79;15;64;62;161;7,5;22,96;0;23,08;16,91;0;5,96;00:12:23;1,73;2,36;6,5;6,36;16,51;1,56;3;4;19;26;0;26;15,22;30,53;0;
CETER;372;30;0;21;15;27;2,71;16,72;0;8,5;3,7;0;1,12;00:12:23;0,99;2,29;5,7;3,95;7,24;0;0;3;11;4;0;4;0;15,31;0;
COTALI;980;79;40;67;61;178;7,53;23,12;0;23,37;22,73;0;9,34;00:12:23;2,32;2,39;6,83;6,25;18,13;4,06;6;5;23;24;0;24;36,96;32,26;0;
CUSUMANO;1003;81;88;82;77;211;8,09;29,21;0;36,32;25,79;0;33,13;00:12:23;2,57;3,62;8,18;7,65;21,04;8,82;8;6;24;30;0;30;53,94;38,68;0;
IOTTI;955;77;60;69;67;209;7,48;25,37;0;25,39;22,42;0;13,59;00:12:23;2,35;2,66;7,22;7,06;21,9;6,3;4;5;27;24;0;24;56,73;37,95;0;
MURONI;1134;92;25;69;72;223;8,91;25,79;0;29,49;27,51;0;16,76;00:12:23;2,43;2,6;6,11;6,38;19,63;2,16;13;6;22;38;0;38;23,38;36,71;0;
OGUNSEYE;494;40;0;38;22;37;3,67;18,99;0;17,95;3,63;0;2,23;00:12:23;0,73;3,64;7,72;4,48;7,45;0;0;4;21;8;0;8;0;18,82;0;
PENNINGTON;861;70;4;51;51;125;6,58;22,23;0;16,95;15,11;0;4,66;00:12:23;1,75;1,97;5,93;5,94;14,48;0,48;4;2;14;16;0;16;4,12;27,51;0;
PISANO;722;58;36;58;49;116;5,64;25,03;0;22,6;15,69;0;14,42;00:12:23;2,17;3,13;7,96;6,81;16,01;4,99;7;4;24;21;0;21;36,03;31,39;0;
PITZALIS;863;70;43;68;62;155;6,8;26,15;0;22,55;24,45;0;16,9;00:12:23;2,83;2,61;7,92;7,14;17,94;4,97;13;6;24;28;0;28;28,75;32,96;0;
VALLOCCHIA;1041;84;79;86;83;261;8,42;29,43;0;33,3;25,81;0;24,14;00:12:23;2,48;3,2;8,27;7,94;25,1;7,62;10;7;36;36;0;36;59,76;43,77;0;
