;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;645;33;27;60;49;107;3,36;28,93;0,6;31,58;18,54;0;18,65;00:19:18;2,78;4,74;8,99;7,33;15,92;3,74;6,54;14,31;31,31;24,15;0;24,15;20,96;33,4;0;
BELLODI ;695;35;12;81;66;123;3,66;35,37;0;43,77;24,56;0;20,84;00:19:52;3,53;6,3;11,68;9,49;17,73;1,71;8;26;44;39;0;39;11,89;39,34;0;
BIANCU;718;34;26;39;29;74;3,02;16,14;0;14,33;8,22;0;4;00:21:21;1,15;2;5,5;4;10,36;3,64;0;1;12;10;0;10;19,07;19,79;0;
CETER;617;31;9;67;56;104;3,27;36,11;0;40,23;18,69;0;22,5;00:19:52;3,03;6,52;10,9;9,1;16,87;1,45;5;15;42;23;0;23;8,94;39,83;0;
COTALI;805;46;73;67;49;157;4,51;26,84;0;32,1;15,99;0;22,55;00:17:32;1,99;3,99;8,34;6,06;19,44;9,03;4;13;27;19;0;19;48,54;36,82;0;
IOTTI;378;31;14;41;36;75;3,32;38,8;0;25,02;15,41;0;14,69;00:12:13;4,08;6,63;10,98;9,5;19,97;3,66;5;10;24;20;0;20;13,82;42,67;0;
MURONI;668;33;7;62;46;98;3,29;28,48;0;36,99;15,44;0;13,74;00:20:11;2,31;5,54;9,28;6,9;14,71;1,04;7;20;38;24;0;24;6,97;33,76;0;
OGUNSEYE;595;30;9;72;61;109;3,19;37,82;0;42,09;20,17;0;23,87;00:19:52;3,39;7,08;12,05;10,17;18,25;1,5;8;23;42;37;0;37;8,93;42,2;0;
PENNINGTON;517;25;16;26;19;58;2,19;15,69;0;11,75;7,83;0;1,83;00:21:05;1,52;2,27;4,94;3,64;11,25;3,14;3;5;17;6;0;6;10,03;21,11;0;
PINNA S.;706;36;22;76;65;141;3,72;35,16;0;43,93;25,85;0;26,07;00:19:52;3,66;6,22;10,78;9,23;20;3,12;12;22;38;35;0;35;17,35;40,89;0;
PISANO;866;44;78;97;83;185;4,6;36,55;7,75;50,34;32,88;0;47,95;00:19:52;3,8;5,81;11,17;9,56;21,35;8,97;10;26;45;38;0;38;59,77;42,33;0;
PITZALIS;698;38;50;75;66;142;4,07;36,95;0;39,78;28,94;0;29,64;00:18:10;4,14;5,7;10,81;9,43;20,29;7,09;10;14;39;30;0;30;34,18;40,88;0;
RAGATZU;453;21;5;15;13;21;1,87;12,64;0;4,85;4,67;0;2,06;00:21:05;1,03;1,07;3,3;2,84;4,53;1,21;2;1;7;6;0;6;5,48;10,76;0;
VALLOCCHIA;666;33;27;59;46;107;3,28;26,56;0;25,37;22,37;0;12,69;00:19:52;3,36;3,81;8,86;6,96;16;4,13;11;10;32;27;0;27;27,48;31,52;0;
