;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;4385;106;572;234;216;1074;9,9;20,68;57,21;82,76;72,02;0;101,22;00:41:23;1,64;1,89;5,33;4,92;24,35;13,02;22,77;15,92;64,69;77,38;1,62;77,38;366,28;39,05;0;
BELLODI ;4694;103;297;176;153;816;9,18;15,22;23,01;57,2;38,15;0;41,31;00:45:36;0,81;1,22;3,75;3,25;17,38;6,32;9;4;39;50;1;50;223,96;29,1;0;
BIANCU;5117;110;700;311;310;1366;10,52;24,05;35,13;115,03;107,27;0;134,13;00:46:41;2,1;2,25;6,07;6,05;26,7;13,68;31;20;75;112;1;112;473,86;42,85;0;
CETER;4631;102;753;299;243;1092;9,64;22,63;130,82;107,39;78,04;0;190,29;00:45:36;1,69;2,32;6,46;5,24;23,58;16,26;21;24;86;68;4;68;392,49;39,74;0;
COTALI;5013;107;768;266;238;1243;10,01;20,89;163,86;98,47;83,36;0;160,07;00:46:52;1,66;1,96;5,31;4,74;24,79;15,32;26;16;76;76;5;76;364,89;39,26;0;
IOTTI;3451;106;825;174;139;1049;9,66;17,49;37,8;50,07;42,2;0;45,36;00:32:29;1,22;1,45;5,04;4,03;30,4;23,92;10;6;45;45;2;45;590,61;43,11;0;
MURONI;5331;114;584;276;252;1487;10,66;20,29;11,04;105,93;86,62;0;81,65;00:46:34;1,62;1,99;5,17;4,72;27,88;10,95;32;22;88;108;0;108;449,64;43,61;0;
OGUNSEYE;4939;108;697;275;266;1261;10,2;21,7;72,23;86,58;79,88;0;128,77;00:45:36;1,62;1,75;5,56;5,4;25,53;14,11;18;16;71;84;1;84;421,16;40,43;0;
PENNINGTON;5144;111;455;215;216;1091;10,18;18,38;36,96;75,54;70,29;0;78,81;00:46:17;1,37;1,47;4,18;4,21;21,21;8,85;28;19;60;73;2;73;283,32;34,87;0;
PINNA S.;4594;100;559;219;202;1027;9,1;18,01;53,81;74,16;62,79;0;86,79;00:46:07;1,37;1,61;4,77;4,41;22,35;12,16;21;10;54;70;2;70;387,99;35,9;0;
PISANO;1965;92;134;88;61;331;8,35;16,74;22,84;31,3;19,94;0;40,68;00:21:15;1,01;1,59;4,48;3,1;16,83;6,84;7;5;18;29;1;29;89,69;29,29;0;
PITZALIS;4490;96;577;288;273;1035;9,21;23,4;80,41;107,88;100,81;0;142,81;00:46:34;2,25;2,4;6,42;6,08;23,05;12,84;25;24;89;93;1;93;322,35;38,39;0;
RAGATZU;5197;112;722;297;311;1478;10,7;23,72;15,89;105,03;109,84;0;103,7;00:46:31;2,11;2,02;5,72;5,98;28,43;13,9;48;21;88;139;0;139;546,61;44,8;0;
VALLOCCHIA;2440;112;366;154;150;681;10,92;25,8;59,88;61,28;57,1;0;81,44;00:21:46;2,34;2,51;6,29;6,16;27,91;15,01;20;20;52;59;1;59;215,03;45,46;0;
