;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;4472;105;537;239;221;1062;9,81;20,64;56,98;84,42;73,27;0;102,59;00:42:35;1,63;1,89;5,34;4,93;23,6;11,96;23;15,58;65,08;78,92;1,67;78,92;339,82;38,27;0;
BELLODI ;4732;102;297;176;153;816;9,1;15,11;23,01;57,2;38,2;0;41,31;00:46:20;0,81;1,21;3,73;3,23;17,24;6,27;9;4;39;50;1;50;223,96;28,9;0;
BIANCU;5124;110;700;311;310;1366;10,57;24,03;35,13;115,03;107,27;0;134,13;00:46:32;2,09;2,24;6,07;6,04;26,67;13,66;31;20;75;112;1;112;473,86;42,8;0;
CETER;4662;101;753;300;243;1092;9,54;22,52;130,82;107,39;78,04;0;190,29;00:46:20;1,67;2,3;6,43;5,21;23,42;16,15;21;24;86;68;4;68;392,49;39,51;0;
COTALI;5013;107;768;266;238;1243;10,01;20,89;163,86;98,47;83,36;0;160,07;00:46:52;1,66;1,96;5,31;4,74;24,79;15,32;26;16;76;76;5;76;364,89;39,26;0;
IOTTI;2472;96;195;151;128;517;9;20,85;37,8;48,31;42,15;0;42,02;00:25:41;1,71;1,95;6,12;5,17;20,93;7,91;10;6;37;45;2;45;121,89;35,25;0;
MURONI;5325;115;584;276;252;1487;10,68;20,31;11,04;105,93;86,62;0;81,65;00:46:25;1,63;1,99;5,18;4,72;27,92;10,96;32;22;88;108;0;108;449,64;43,66;0;
OGUNSEYE;4974;107;697;275;267;1261;10,1;21,58;72,23;86,58;79,88;0;128,77;00:46:20;1,61;1,74;5,52;5,36;25,35;14,01;18;16;71;84;1;84;421,16;40,18;0;
PENNINGTON;5144;111;455;215;216;1091;10,18;18,38;36,96;75,54;70,29;0;78,81;00:46:17;1,37;1,47;4,18;4,21;21,21;8,85;28;19;60;73;2;73;283,32;34,87;0;
PINNA S.;4586;99;559;219;202;1027;9,08;18,03;53,81;74,16;62,79;0;86,79;00:46:07;1,37;1,62;4,78;4,42;22,39;12,18;21;10;54;70;2;70;387,99;35,96;0;
PISANO;1973;92;134;88;61;331;8,33;16,71;22,84;31,55;19,94;0;40,68;00:21:24;1,01;1,6;4,48;3,09;16,77;6,81;7;5;18;29;1;29;89,69;29,21;0;
PITZALIS;4481;97;577;288;273;1035;9,22;23,43;80,41;107,88;100,81;0;142,81;00:46:25;2,25;2,41;6,43;6,09;23,09;12,87;25;24;89;93;1;93;322,35;38,46;0;
RAGATZU;5180;112;722;297;311;1478;10,7;23,76;15,89;105,03;109,84;0;103,7;00:46:22;2,12;2,03;5,73;6;28,52;13,94;48;21;88;139;0;139;546,61;44,92;0;
